Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-26,CA,Canada,AMRO,1.0,1,0.0,0
2020-02-02,CA,Canada,AMRO,3.0,4,0.0,0
2020-02-09,CA,Canada,AMRO,3.0,7,0.0,0
2020-02-16,CA,Canada,AMRO,0.0,7,0.0,0
2020-02-23,CA,Canada,AMRO,2.0,9,0.0,0
2020-03-01,CA,Canada,AMRO,6.0,15,0.0,0
2020-03-08,CA,Canada,AMRO,36.0,51,0.0,0
2020-03-15,CA,Canada,AMRO,125.0,176,1.0,1
2020-03-22,CA,Canada,AMRO,795.0,971,10.0,11
2020-03-29,CA,Canada,AMRO,3704.0,4675,24.0,35
2020-04-05,CA,Canada,AMRO,7844.0,12519,152.0,187
2020-04-12,CA,Canada,AMRO,9614.0,22133,381.0,568
2020-04-19,CA,Canada,AMRO,9739.0,31872,738.0,1306
2020-04-26,CA,Canada,AMRO,12005.0,43877,993.0,2299
2020-05-03,CA,Canada,AMRO,11173.0,55050,1083.0,3382
2020-05-10,CA,Canada,AMRO,11372.0,66422,1174.0,4556
2020-05-17,CA,Canada,AMRO,8180.0,74602,990.0,5546
2020-05-24,CA,Canada,AMRO,7867.0,82469,686.0,6232
2020-05-31,CA,Canada,AMRO,6938.0,89407,727.0,6959
2020-06-07,CA,Canada,AMRO,4917.0,94324,724.0,7683
2020-06-14,CA,Canada,AMRO,3608.0,97932,338.0,8021
2020-06-21,CA,Canada,AMRO,2686.0,100618,297.0,8318
2020-06-28,CA,Canada,AMRO,2165.0,102783,157.0,8475
2020-07-05,CA,Canada,AMRO,2296.0,105079,152.0,8627
2020-07-12,CA,Canada,AMRO,2035.0,107114,96.0,8723
2020-07-19,CA,Canada,AMRO,2544.0,109658,79.0,8802
2020-07-26,CA,Canada,AMRO,3535.0,113193,42.0,8844
2020-08-02,CA,Canada,AMRO,3105.0,116298,53.0,8897
2020-08-09,CA,Canada,AMRO,2672.0,118970,35.0,8932
2020-08-16,CA,Canada,AMRO,2682.0,121652,50.0,8982
2020-08-23,CA,Canada,AMRO,2720.0,124372,44.0,9026
2020-08-30,CA,Canada,AMRO,2938.0,127310,49.0,9075
2020-09-06,CA,Canada,AMRO,3814.0,131124,29.0,9104
2020-09-13,CA,Canada,AMRO,4502.0,135626,22.0,9126
2020-09-20,CA,Canada,AMRO,6285.0,141911,41.0,9167
2020-09-27,CA,Canada,AMRO,8545.0,150456,50.0,9217
2020-10-04,CA,Canada,AMRO,12203.0,162659,153.0,9370
2020-10-11,CA,Canada,AMRO,15458.0,178117,175.0,9545
2020-10-18,CA,Canada,AMRO,15989.0,194106,136.0,9681
2020-10-25,CA,Canada,AMRO,17626.0,211732,163.0,9844
2020-11-01,CA,Canada,AMRO,20267.0,231999,216.0,10060
2020-11-08,CA,Canada,AMRO,23810.0,255809,320.0,10380
2020-11-15,CA,Canada,AMRO,31509.0,287318,391.0,10771
2020-11-22,CA,Canada,AMRO,33401.0,320719,500.0,11271
2020-11-29,CA,Canada,AMRO,38345.0,359064,551.0,11822
2020-12-06,CA,Canada,AMRO,43504.0,402568,596.0,12418
2020-12-13,CA,Canada,AMRO,46271.0,448839,748.0,13166
2020-12-20,CA,Canada,AMRO,46504.0,495343,781.0,13947
2020-12-27,CA,Canada,AMRO,43898.0,539241,787.0,14734
2021-01-03,CA,Canada,AMRO,49698.0,588939,898.0,15632
2021-01-10,CA,Canada,AMRO,55410.0,644349,958.0,16590
2021-01-17,CA,Canada,AMRO,51355.0,695704,1016.0,17606
2021-01-24,CA,Canada,AMRO,41703.0,737407,1091.0,18697
2021-01-31,CA,Canada,AMRO,33386.0,770793,965.0,19662
2021-02-07,CA,Canada,AMRO,26963.0,797756,797.0,20459
2021-02-14,CA,Canada,AMRO,22550.0,820306,542.0,21001
2021-02-21,CA,Canada,AMRO,20280.0,840586,406.0,21407
2021-02-28,CA,Canada,AMRO,20961.0,861547,331.0,21738
2021-03-07,CA,Canada,AMRO,20207.0,881754,272.0,22010
2021-03-14,CA,Canada,AMRO,21462.0,903216,207.0,22217
2021-03-21,CA,Canada,AMRO,23846.0,927062,205.0,22422
2021-03-28,CA,Canada,AMRO,29593.0,956655,207.0,22629
2021-04-04,CA,Canada,AMRO,38181.0,994836,199.0,22828
2021-04-11,CA,Canada,AMRO,50441.0,1045277,209.0,23037
2021-04-18,CA,Canada,AMRO,60788.0,1106065,285.0,23322
2021-04-25,CA,Canada,AMRO,58515.0,1164580,333.0,23655
2021-05-02,CA,Canada,AMRO,54838.0,1219418,339.0,23994
2021-05-09,CA,Canada,AMRO,53748.0,1273166,303.0,24297
2021-05-16,CA,Canada,AMRO,45246.0,1318412,335.0,24632
2021-05-23,CA,Canada,AMRO,33709.0,1352121,290.0,24922
2021-05-30,CA,Canada,AMRO,22152.0,1374273,270.0,25192
2021-06-06,CA,Canada,AMRO,15229.0,1389502,235.0,25427
2021-06-13,CA,Canada,AMRO,10215.0,1399717,205.0,25632
2021-06-20,CA,Canada,AMRO,7541.0,1407258,135.0,25767
2021-06-27,CA,Canada,AMRO,5043.0,1412301,176.0,25943
2021-07-04,CA,Canada,AMRO,4015.0,1416316,138.0,26081
2021-07-11,CA,Canada,AMRO,3648.0,1419964,78.0,26159
2021-07-18,CA,Canada,AMRO,2677.0,1422641,66.0,26225
2021-07-25,CA,Canada,AMRO,3070.0,1425711,49.0,26274
2021-08-01,CA,Canada,AMRO,4772.0,1430483,47.0,26321
2021-08-08,CA,Canada,AMRO,7218.0,1437701,65.0,26386
2021-08-15,CA,Canada,AMRO,12150.0,1449851,42.0,26428
2021-08-22,CA,Canada,AMRO,16015.0,1465866,93.0,26521
2021-08-29,CA,Canada,AMRO,20570.0,1486436,100.0,26621
2021-09-05,CA,Canada,AMRO,24776.0,1511212,115.0,26736
2021-09-12,CA,Canada,AMRO,26881.0,1538093,162.0,26898
2021-09-19,CA,Canada,AMRO,31093.0,1569186,198.0,27096
2021-09-26,CA,Canada,AMRO,29621.0,1598807,248.0,27344
2021-10-03,CA,Canada,AMRO,30335.0,1629142,298.0,27642
2021-10-10,CA,Canada,AMRO,26222.0,1655364,262.0,27904
2021-10-17,CA,Canada,AMRO,21482.0,1676846,282.0,28186
2021-10-24,CA,Canada,AMRO,19068.0,1695914,261.0,28447
2021-10-31,CA,Canada,AMRO,16214.0,1712128,222.0,28669
2021-11-07,CA,Canada,AMRO,15555.0,1727683,178.0,28847
2021-11-14,CA,Canada,AMRO,17666.0,1745349,175.0,29022
2021-11-21,CA,Canada,AMRO,17085.0,1762434,171.0,29193
