Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-15,CF,Central African Republic,AFRO,3.0,3,0.0,0
2020-03-22,CF,Central African Republic,AFRO,4.0,7,0.0,0
2020-03-29,CF,Central African Republic,AFRO,6.0,13,0.0,0
2020-04-05,CF,Central African Republic,AFRO,5.0,18,0.0,0
2020-04-12,CF,Central African Republic,AFRO,2.0,20,0.0,0
2020-04-19,CF,Central African Republic,AFRO,1.0,21,0.0,0
2020-04-26,CF,Central African Republic,AFRO,9.0,30,0.0,0
2020-05-03,CF,Central African Republic,AFRO,58.0,88,0.0,0
2020-05-10,CF,Central African Republic,AFRO,82.0,170,0.0,0
2020-05-17,CF,Central African Republic,AFRO,197.0,367,0.0,0
2020-05-24,CF,Central African Republic,AFRO,237.0,604,1.0,1
2020-05-31,CF,Central African Republic,AFRO,448.0,1052,1.0,2
2020-06-07,CF,Central African Republic,AFRO,690.0,1742,3.0,5
2020-06-14,CF,Central African Republic,AFRO,715.0,2457,2.0,7
2020-06-21,CF,Central African Republic,AFRO,707.0,3164,16.0,23
2020-06-28,CF,Central African Republic,AFRO,872.0,4036,22.0,45
2020-07-05,CF,Central African Republic,AFRO,609.0,4645,6.0,51
2020-07-12,CF,Central African Republic,AFRO,346.0,4991,2.0,53
2020-07-19,CF,Central African Republic,AFRO,229.0,5220,2.0,55
2020-07-26,CF,Central African Republic,AFRO,141.0,5361,4.0,59
2020-08-02,CF,Central African Republic,AFRO,24.0,5385,0.0,59
2020-08-09,CF,Central African Republic,AFRO,50.0,5435,2.0,61
2020-08-16,CF,Central African Republic,AFRO,38.0,5473,0.0,61
2020-08-23,CF,Central African Republic,AFRO,26.0,5499,0.0,61
2020-08-30,CF,Central African Republic,AFRO,17.0,5516,0.0,61
2020-09-06,CF,Central African Republic,AFRO,35.0,5551,1.0,62
2020-09-13,CF,Central African Republic,AFRO,54.0,5605,0.0,62
2020-09-20,CF,Central African Republic,AFRO,32.0,5637,0.0,62
2020-09-27,CF,Central African Republic,AFRO,8.0,5645,0.0,62
2020-10-04,CF,Central African Republic,AFRO,44.0,5689,0.0,62
2020-10-11,CF,Central African Republic,AFRO,3.0,5692,0.0,62
2020-10-18,CF,Central African Republic,AFRO,5.0,5697,0.0,62
2020-10-25,CF,Central African Republic,AFRO,6.0,5703,0.0,62
2020-11-01,CF,Central African Republic,AFRO,11.0,5714,0.0,62
2020-11-08,CF,Central African Republic,AFRO,10.0,5724,0.0,62
2020-11-15,CF,Central African Republic,AFRO,19.0,5743,1.0,63
2020-11-22,CF,Central African Republic,AFRO,8.0,5751,0.0,63
2020-11-29,CF,Central African Republic,AFRO,8.0,5759,0.0,63
2020-12-06,CF,Central African Republic,AFRO,15.0,5774,0.0,63
2020-12-13,CF,Central African Republic,AFRO,10.0,5784,0.0,63
2020-12-20,CF,Central African Republic,AFRO,12.0,5796,0.0,63
2020-12-27,CF,Central African Republic,AFRO,18.0,5814,0.0,63
2021-01-03,CF,Central African Republic,AFRO,30.0,5844,0.0,63
2021-01-10,CF,Central African Republic,AFRO,0.0,5844,0.0,63
2021-01-17,CF,Central African Republic,AFRO,2.0,5846,0.0,63
2021-01-24,CF,Central African Republic,AFRO,15.0,5861,0.0,63
2021-01-31,CF,Central African Republic,AFRO,3.0,5864,0.0,63
2021-02-07,CF,Central African Republic,AFRO,13.0,5877,0.0,63
2021-02-14,CF,Central African Republic,AFRO,1.0,5878,0.0,63
2021-02-21,CF,Central African Republic,AFRO,12.0,5890,0.0,63
2021-02-28,CF,Central African Republic,AFRO,8.0,5898,0.0,63
2021-03-07,CF,Central African Republic,AFRO,35.0,5933,0.0,63
2021-03-14,CF,Central African Republic,AFRO,65.0,5998,1.0,64
2021-03-21,CF,Central African Republic,AFRO,107.0,6105,2.0,66
2021-03-28,CF,Central African Republic,AFRO,180.0,6285,6.0,72
2021-04-04,CF,Central African Republic,AFRO,295.0,6580,1.0,73
2021-04-11,CF,Central African Republic,AFRO,487.0,7067,2.0,75
2021-04-18,CF,Central African Republic,AFRO,1227.0,8294,4.0,79
2021-04-25,CF,Central African Republic,AFRO,874.0,9168,8.0,87
2021-05-02,CF,Central African Republic,AFRO,702.0,9870,4.0,91
2021-05-09,CF,Central African Republic,AFRO,511.0,10381,4.0,95
