Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-15,CI,Côte d'Ivoire,AFRO,9.0,9,0.0,0
2020-03-22,CI,Côte d'Ivoire,AFRO,53.0,62,0.0,0
2020-03-29,CI,Côte d'Ivoire,AFRO,116.0,178,0.0,0
2020-04-05,CI,Côte d'Ivoire,AFRO,160.0,338,4.0,4
2020-04-12,CI,Côte d'Ivoire,AFRO,290.0,628,1.0,5
2020-04-19,CI,Côte d'Ivoire,AFRO,240.0,868,4.0,9
2020-04-26,CI,Côte d'Ivoire,AFRO,282.0,1150,6.0,15
2020-05-03,CI,Côte d'Ivoire,AFRO,212.0,1362,1.0,16
2020-05-10,CI,Côte d'Ivoire,AFRO,305.0,1667,6.0,22
2020-05-17,CI,Côte d'Ivoire,AFRO,394.0,2061,4.0,26
2020-05-24,CI,Côte d'Ivoire,AFRO,305.0,2366,5.0,31
2020-05-31,CI,Côte d'Ivoire,AFRO,433.0,2799,3.0,34
2020-06-07,CI,Côte d'Ivoire,AFRO,758.0,3557,3.0,37
2020-06-14,CI,Côte d'Ivoire,AFRO,1291.0,4848,9.0,46
2020-06-21,CI,Côte d'Ivoire,AFRO,2428.0,7276,7.0,53
2020-06-28,CI,Côte d'Ivoire,AFRO,1668.0,8944,14.0,67
2020-07-05,CI,Côte d'Ivoire,AFRO,1300.0,10244,6.0,73
2020-07-12,CI,Côte d'Ivoire,AFRO,2199.0,12443,10.0,83
2020-07-19,CI,Côte d'Ivoire,AFRO,1469.0,13912,9.0,92
2020-07-26,CI,Côte d'Ivoire,AFRO,1582.0,15494,3.0,95
2020-08-02,CI,Côte d'Ivoire,AFRO,615.0,16109,8.0,103
2020-08-09,CI,Côte d'Ivoire,AFRO,627.0,16736,2.0,105
2020-08-16,CI,Côte d'Ivoire,AFRO,378.0,17114,4.0,109
2020-08-23,CI,Côte d'Ivoire,AFRO,376.0,17490,5.0,114
2020-08-30,CI,Côte d'Ivoire,AFRO,519.0,18009,2.0,116
2020-09-06,CI,Côte d'Ivoire,AFRO,579.0,18588,4.0,120
2020-09-13,CI,Côte d'Ivoire,AFRO,399.0,18987,1.0,121
2020-09-20,CI,Côte d'Ivoire,AFRO,282.0,19269,0.0,121
2020-09-27,CI,Côte d'Ivoire,AFRO,331.0,19600,0.0,121
2020-10-04,CI,Côte d'Ivoire,AFRO,249.0,19849,0.0,121
2020-10-11,CI,Côte d'Ivoire,AFRO,279.0,20128,0.0,121
2020-10-18,CI,Côte d'Ivoire,AFRO,173.0,20301,1.0,122
2020-10-25,CI,Côte d'Ivoire,AFRO,128.0,20429,0.0,122
2020-11-01,CI,Côte d'Ivoire,AFRO,287.0,20716,5.0,127
2020-11-08,CI,Côte d'Ivoire,AFRO,141.0,20857,0.0,127
2020-11-15,CI,Côte d'Ivoire,AFRO,132.0,20989,2.0,129
2020-11-22,CI,Côte d'Ivoire,AFRO,181.0,21170,1.0,130
2020-11-29,CI,Côte d'Ivoire,AFRO,135.0,21305,2.0,132
2020-12-06,CI,Côte d'Ivoire,AFRO,180.0,21485,1.0,133
2020-12-13,CI,Côte d'Ivoire,AFRO,154.0,21639,1.0,134
2020-12-20,CI,Côte d'Ivoire,AFRO,133.0,21772,0.0,134
2020-12-27,CI,Côte d'Ivoire,AFRO,309.0,22081,0.0,134
2021-01-03,CI,Côte d'Ivoire,AFRO,169.0,22250,4.0,138
2021-01-10,CI,Côte d'Ivoire,AFRO,1232.0,23482,2.0,140
2021-01-17,CI,Côte d'Ivoire,AFRO,1546.0,25028,2.0,142
2021-01-24,CI,Côte d'Ivoire,AFRO,1584.0,26612,4.0,146
2021-01-31,CI,Côte d'Ivoire,AFRO,1566.0,28178,7.0,153
2021-02-07,CI,Côte d'Ivoire,AFRO,1389.0,29567,10.0,163
2021-02-14,CI,Côte d'Ivoire,AFRO,1317.0,30884,11.0,174
2021-02-21,CI,Côte d'Ivoire,AFRO,1030.0,31914,11.0,185
2021-02-28,CI,Côte d'Ivoire,AFRO,717.0,32631,7.0,192
2021-03-07,CI,Côte d'Ivoire,AFRO,2304.0,34935,8.0,200
2021-03-14,CI,Côte d'Ivoire,AFRO,2369.0,37304,11.0,211
2021-03-21,CI,Côte d'Ivoire,AFRO,2609.0,39913,6.0,217
2021-03-28,CI,Côte d'Ivoire,AFRO,2555.0,42468,12.0,229
2021-04-04,CI,Côte d'Ivoire,AFRO,1858.0,44326,18.0,247
2021-04-11,CI,Côte d'Ivoire,AFRO,819.0,45145,14.0,261
2021-04-18,CI,Côte d'Ivoire,AFRO,374.0,45519,13.0,274
2021-04-25,CI,Côte d'Ivoire,AFRO,301.0,45820,7.0,281
2021-05-02,CI,Côte d'Ivoire,AFRO,294.0,46114,5.0,286
2021-05-09,CI,Côte d'Ivoire,AFRO,271.0,46385,5.0,291
2021-05-16,CI,Côte d'Ivoire,AFRO,234.0,46619,6.0,297
