Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,CN,China,WPRO,1.0,1,0.0,0
2020-01-12,CN,China,WPRO,44.0,45,1.0,1
2020-01-19,CN,China,WPRO,80.0,125,2.0,3
2020-01-26,CN,China,WPRO,1860.0,1985,53.0,56
2020-02-02,CN,China,WPRO,12426.0,14411,305.0,361
2020-02-09,CN,China,WPRO,22840.0,37251,544.0,905
2020-02-16,CN,China,WPRO,31333.0,68584,862.0,1767
2020-02-23,CN,China,WPRO,8458.0,77042,679.0,2446
2020-03-01,CN,China,WPRO,2926.0,79968,427.0,2873
2020-03-08,CN,China,WPRO,891.0,80859,228.0,3101
2020-03-15,CN,China,WPRO,189.0,81048,103.0,3204
2020-03-22,CN,China,WPRO,450.0,81498,63.0,3267
2020-03-29,CN,China,WPRO,843.0,82341,39.0,3306
2020-04-05,CN,China,WPRO,589.0,82930,32.0,3338
2020-04-12,CN,China,WPRO,552.0,83482,11.0,3349
2020-04-19,CN,China,WPRO,719.0,84201,1293.0,4642
2020-04-26,CN,China,WPRO,137.0,84338,0.0,4642
2020-05-03,CN,China,WPRO,55.0,84393,1.0,4643
2020-05-10,CN,China,WPRO,37.0,84430,0.0,4643
2020-05-17,CN,China,WPRO,54.0,84484,2.0,4645
2020-05-24,CN,China,WPRO,41.0,84525,0.0,4645
2020-05-31,CN,China,WPRO,45.0,84570,0.0,4645
2020-06-07,CN,China,WPRO,59.0,84629,0.0,4645
2020-06-14,CN,China,WPRO,100.0,84729,0.0,4645
2020-06-21,CN,China,WPRO,268.0,84997,1.0,4646
2020-06-28,CN,China,WPRO,193.0,85190,2.0,4648
2020-07-05,CN,China,WPRO,116.0,85306,0.0,4648
2020-07-12,CN,China,WPRO,216.0,85522,0.0,4648
2020-07-19,CN,China,WPRO,415.0,85937,5.0,4653
2020-07-26,CN,China,WPRO,902.0,86839,6.0,4659
2020-08-02,CN,China,WPRO,1463.0,88302,15.0,4674
2020-08-09,CN,China,WPRO,847.0,89149,14.0,4688
2020-08-16,CN,China,WPRO,612.0,89761,22.0,4710
2020-08-23,CN,China,WPRO,380.0,90141,7.0,4717
2020-08-30,CN,China,WPRO,210.0,90351,11.0,4728
2020-09-06,CN,China,WPRO,166.0,90517,7.0,4735
2020-09-13,CN,China,WPRO,149.0,90666,6.0,4741
2020-09-20,CN,China,WPRO,174.0,90840,3.0,4744
2020-09-27,CN,China,WPRO,126.0,90966,2.0,4746
2020-10-04,CN,China,WPRO,155.0,91121,0.0,4746
2020-10-11,CN,China,WPRO,184.0,91305,0.0,4746
2020-10-18,CN,China,WPRO,184.0,91489,0.0,4746
2020-10-25,CN,China,WPRO,185.0,91674,0.0,4746
2020-11-01,CN,China,WPRO,247.0,91921,0.0,4746
2020-11-08,CN,China,WPRO,274.0,92195,2.0,4748
2020-11-15,CN,China,WPRO,233.0,92428,1.0,4749
2020-11-22,CN,China,WPRO,220.0,92648,0.0,4749
2020-11-29,CN,China,WPRO,681.0,93329,1.0,4750
2020-12-06,CN,China,WPRO,831.0,94160,3.0,4753
2020-12-13,CN,China,WPRO,790.0,94950,3.0,4756
2020-12-20,CN,China,WPRO,766.0,95716,14.0,4770
2020-12-27,CN,China,WPRO,608.0,96324,7.0,4777
