Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-08,CO,Colombia,AMRO,1.0,1,0.0,0
2020-03-15,CO,Colombia,AMRO,15.0,16,0.0,0
2020-03-22,CO,Colombia,AMRO,180.0,196,0.0,0
2020-03-29,CO,Colombia,AMRO,527.0,723,6.0,6
2020-04-05,CO,Colombia,AMRO,544.0,1267,19.0,25
2020-04-12,CO,Colombia,AMRO,1206.0,2473,55.0,80
2020-04-19,CO,Colombia,AMRO,966.0,3439,73.0,153
2020-04-26,CO,Colombia,AMRO,1442.0,4881,72.0,225
2020-05-03,CO,Colombia,AMRO,2125.0,7006,89.0,314
2020-05-10,CO,Colombia,AMRO,3045.0,10051,114.0,428
2020-05-17,CO,Colombia,AMRO,4165.0,14216,118.0,546
2020-05-24,CO,Colombia,AMRO,4915.0,19131,136.0,682
2020-05-31,CO,Colombia,AMRO,7557.0,26688,171.0,853
2020-06-07,CO,Colombia,AMRO,9947.0,36635,292.0,1145
2020-06-14,CO,Colombia,AMRO,10223.0,46858,400.0,1545
2020-06-21,CO,Colombia,AMRO,16418.0,63276,500.0,2045
2020-06-28,CO,Colombia,AMRO,21166.0,84442,766.0,2811
2020-07-05,CO,Colombia,AMRO,25063.0,109505,966.0,3777
2020-07-12,CO,Colombia,AMRO,31271.0,140776,1148.0,4925
2020-07-19,CO,Colombia,AMRO,41364.0,182140,1363.0,6288
2020-07-26,CO,Colombia,AMRO,51401.0,233541,1687.0,7975
2020-08-02,CO,Colombia,AMRO,61967.0,295508,2130.0,10105
2020-08-09,CO,Colombia,AMRO,71688.0,367196,2145.0,12250
2020-08-16,CO,Colombia,AMRO,77915.0,445111,2242.0,14492
2020-08-23,CO,Colombia,AMRO,77027.0,522138,2076.0,16568
2020-08-30,CO,Colombia,AMRO,68382.0,590520,2199.0,18767
2020-09-06,CO,Colombia,AMRO,59542.0,650062,2121.0,20888
2020-09-13,CO,Colombia,AMRO,52026.0,702088,1630.0,22518
2020-09-20,CO,Colombia,AMRO,48383.0,750471,1332.0,23850
2020-09-27,CO,Colombia,AMRO,47846.0,798317,1253.0,25103
2020-10-04,CO,Colombia,AMRO,43214.0,841531,1294.0,26397
2020-10-11,CO,Colombia,AMRO,52769.0,894300,1098.0,27495
2020-10-18,CO,Colombia,AMRO,51054.0,945354,1121.0,28616
2020-10-25,CO,Colombia,AMRO,53588.0,998942,1186.0,29802
2020-11-01,CO,Colombia,AMRO,64209.0,1063151,1333.0,31135
2020-11-08,CO,Colombia,AMRO,64582.0,1127733,1270.0,32405
2020-11-15,CO,Colombia,AMRO,54964.0,1182697,1264.0,33669
2020-11-22,CO,Colombia,AMRO,50747.0,1233444,1260.0,34929
2020-11-29,CO,Colombia,AMRO,57066.0,1290510,1285.0,36214
2020-12-06,CO,Colombia,AMRO,62097.0,1352607,1253.0,37467
2020-12-13,CO,Colombia,AMRO,56302.0,1408909,1202.0,38669
2020-12-20,CO,Colombia,AMRO,73163.0,1482072,1350.0,40019
2020-12-27,CO,Colombia,AMRO,92635.0,1574707,1671.0,41690
2021-01-03,CO,Colombia,AMRO,80173.0,1654880,1805.0,43495
2021-01-10,CO,Colombia,AMRO,100688.0,1755568,1936.0,45431
2021-01-17,CO,Colombia,AMRO,114611.0,1870179,2437.0,47868
2021-01-24,CO,Colombia,AMRO,117239.0,1987418,2718.0,50586
2021-01-31,CO,Colombia,AMRO,90215.0,2077633,2698.0,53284
2021-02-07,CO,Colombia,AMRO,65027.0,2142660,2119.0,55403
2021-02-14,CO,Colombia,AMRO,42509.0,2185169,1793.0,57196
2021-02-21,CO,Colombia,AMRO,31832.0,2217001,1315.0,58511
2021-02-28,CO,Colombia,AMRO,27791.0,2244792,1007.0,59518
2021-03-07,CO,Colombia,AMRO,24790.0,2269582,782.0,60300
2021-03-14,CO,Colombia,AMRO,25035.0,2294617,650.0,60950
2021-03-21,CO,Colombia,AMRO,29809.0,2324426,821.0,61771
2021-03-28,CO,Colombia,AMRO,42911.0,2367337,874.0,62645
2021-04-04,CO,Colombia,AMRO,60711.0,2428048,1132.0,63777
2021-04-11,CO,Colombia,AMRO,76158.0,2504206,1506.0,65283
2021-04-18,CO,Colombia,AMRO,115216.0,2619422,2281.0,67564
2021-04-25,CO,Colombia,AMRO,121122.0,2740544,2882.0,70446
2021-05-02,CO,Colombia,AMRO,119180.0,2859724,3274.0,73720
2021-05-09,CO,Colombia,AMRO,108902.0,2968626,3147.0,76867
2021-05-16,CO,Colombia,AMRO,115834.0,3084460,3383.0,80250
2021-05-23,CO,Colombia,AMRO,107590.0,3192050,3469.0,83719
2021-05-30,CO,Colombia,AMRO,150517.0,3342567,3488.0,87207
2021-06-06,CO,Colombia,AMRO,175479.0,3518046,3683.0,90890
2021-06-13,CO,Colombia,AMRO,176661.0,3694707,3725.0,94615
2021-06-20,CO,Colombia,AMRO,193907.0,3888614,4131.0,98746
2021-06-27,CO,Colombia,AMRO,204132.0,4092746,4575.0,103321
2021-07-04,CO,Colombia,AMRO,204556.0,4297302,4402.0,107723
2021-07-11,CO,Colombia,AMRO,174320.0,4471622,4008.0,111731
2021-07-18,CO,Colombia,AMRO,129713.0,4601335,3602.0,115333
2021-07-25,CO,Colombia,AMRO,104399.0,4705734,2855.0,118188
2021-08-01,CO,Colombia,AMRO,70557.0,4776291,2244.0,120432
2021-08-08,CO,Colombia,AMRO,52292.0,4828583,1655.0,122087
2021-08-15,CO,Colombia,AMRO,32039.0,4860622,1134.0,123221
2021-08-22,CO,Colombia,AMRO,23310.0,4883932,802.0,124023
2021-08-29,CO,Colombia,AMRO,17231.0,4901163,625.0,124648
2021-09-05,CO,Colombia,AMRO,13718.0,4914881,510.0,125158
2021-09-12,CO,Colombia,AMRO,11891.0,4926772,371.0,125529
2021-09-19,CO,Colombia,AMRO,10824.0,4937596,297.0,125826
2021-09-26,CO,Colombia,AMRO,10917.0,4948513,242.0,126068
2021-10-03,CO,Colombia,AMRO,10631.0,4959144,268.0,126336
2021-10-10,CO,Colombia,AMRO,9987.0,4969131,216.0,126552
2021-10-17,CO,Colombia,AMRO,9558.0,4978689,244.0,126796
2021-10-24,CO,Colombia,AMRO,9332.0,4988021,198.0,126994
2021-10-31,CO,Colombia,AMRO,11027.0,4999048,231.0,127225
2021-11-07,CO,Colombia,AMRO,11934.0,5010982,231.0,127456
2021-11-14,CO,Colombia,AMRO,15840.0,5026822,265.0,127721
2021-11-21,CO,Colombia,AMRO,16000.0,5042822,292.0,128013
2021-11-28,CO,Colombia,AMRO,17735.0,5060557,330.0,128343
2021-12-05,CO,Colombia,AMRO,15821.0,5076378,342.0,128685
2021-12-12,CO,Colombia,AMRO,13317.0,5089695,326.0,129011
2021-12-19,CO,Colombia,AMRO,13574.0,5103269,334.0,129345
2021-12-26,CO,Colombia,AMRO,14985.0,5118254,341.0,129686
2022-01-02,CO,Colombia,AMRO,39186.0,5157440,256.0,129942
2022-01-09,CO,Colombia,AMRO,111422.0,5268862,308.0,130250
2022-01-16,CO,Colombia,AMRO,207042.0,5475904,481.0,130731
2022-01-23,CO,Colombia,AMRO,210161.0,5686065,1093.0,131824
2022-01-30,CO,Colombia,AMRO,151343.0,5837408,1736.0,133560
2022-02-06,CO,Colombia,AMRO,106375.0,5943783,1722.0,135282
2022-02-13,CO,Colombia,AMRO,64208.0,6007991,1482.0,136764
2022-02-20,CO,Colombia,AMRO,31172.0,6039163,1105.0,137869
2022-02-27,CO,Colombia,AMRO,19552.0,6058715,632.0,138501
2022-03-06,CO,Colombia,AMRO,10710.0,6069425,483.0,138984
2022-03-13,CO,Colombia,AMRO,6231.0,6075656,271.0,139255
2022-03-20,CO,Colombia,AMRO,4240.0,6079896,160.0,139415
2022-03-27,CO,Colombia,AMRO,3047.0,6082943,129.0,139544
2022-04-03,CO,Colombia,AMRO,2327.0,6085270,92.0,139636
2022-04-10,CO,Colombia,AMRO,2173.0,6087443,67.0,139703
2022-04-17,CO,Colombia,AMRO,1938.0,6089381,38.0,139741
2022-04-24,CO,Colombia,AMRO,1422.0,6090803,24.0,139765
2022-05-01,CO,Colombia,AMRO,1600.0,6092403,28.0,139793
2022-05-08,CO,Colombia,AMRO,1242.0,6093645,16.0,139809
2022-05-15,CO,Colombia,AMRO,1671.0,6095316,12.0,139821
2022-05-22,CO,Colombia,AMRO,3795.0,6099111,12.0,139833
2022-05-29,CO,Colombia,AMRO,4344.0,6103455,21.0,139854
2022-06-05,CO,Colombia,AMRO,5650.0,6109105,13.0,139867
2022-06-12,CO,Colombia,AMRO,8742.0,6117847,27.0,139894
2022-06-19,CO,Colombia,AMRO,13810.0,6131657,24.0,139918
2022-06-26,CO,Colombia,AMRO,19697.0,6151354,52.0,139970
2022-07-03,CO,Colombia,AMRO,23827.0,6175181,100.0,140070
2022-07-10,CO,Colombia,AMRO,23667.0,6198848,132.0,140202
2022-07-17,CO,Colombia,AMRO,24649.0,6223497,163.0,140365
2022-07-24,CO,Colombia,AMRO,24137.0,6247634,238.0,140603
2022-07-31,CO,Colombia,AMRO,18164.0,6265798,242.0,140845
2022-08-07,CO,Colombia,AMRO,13200.0,6278998,230.0,141075
2022-08-14,CO,Colombia,AMRO,7394.0,6286392,212.0,141287
2022-08-21,CO,Colombia,AMRO,6738.0,6293130,119.0,141406
2022-08-28,CO,Colombia,AMRO,6465.0,6299595,113.0,141519
2022-09-04,CO,Colombia,AMRO,3214.0,6302809,127.0,141646
2022-09-11,CO,Colombia,AMRO,1508.0,6304317,62.0,141708
2022-09-18,CO,Colombia,AMRO,1245.0,6305562,38.0,141746
2022-09-25,CO,Colombia,AMRO,990.0,6306552,23.0,141769
2022-10-02,CO,Colombia,AMRO,820.0,6307372,25.0,141794
2022-10-09,CO,Colombia,AMRO,715.0,6308087,13.0,141807
2022-10-16,CO,Colombia,AMRO,471.0,6308558,13.0,141820
2022-10-23,CO,Colombia,AMRO,610.0,6309168,7.0,141827
2022-10-30,CO,Colombia,AMRO,548.0,6309716,10.0,141837
2022-11-06,CO,Colombia,AMRO,616.0,6310332,13.0,141850
2022-11-13,CO,Colombia,AMRO,1027.0,6311359,12.0,141862
2022-11-20,CO,Colombia,AMRO,1298.0,6312657,19.0,141881
2022-11-27,CO,Colombia,AMRO,2112.0,6314769,14.0,141895
2022-12-04,CO,Colombia,AMRO,3252.0,6318021,16.0,141911
2022-12-11,CO,Colombia,AMRO,5336.0,6323357,32.0,141943
2022-12-18,CO,Colombia,AMRO,7052.0,6330409,53.0,141996
2022-12-25,CO,Colombia,AMRO,7930.0,6338339,80.0,142076
2023-01-01,CO,Colombia,AMRO,6776.0,6345115,103.0,142179
2023-01-08,CO,Colombia,AMRO,4856.0,6349971,80.0,142259
2023-01-15,CO,Colombia,AMRO,0.0,6349971,0.0,142259
2023-01-22,CO,Colombia,AMRO,4820.0,6354791,126.0,142385
2023-01-29,CO,Colombia,AMRO,1518.0,6356309,101.0,142486
2023-02-05,CO,Colombia,AMRO,891.0,6357200,58.0,142544
2023-02-12,CO,Colombia,AMRO,868.0,6358068,32.0,142576
2023-02-19,CO,Colombia,AMRO,707.0,6358775,20.0,142596
2023-02-26,CO,Colombia,AMRO,689.0,6359464,19.0,142615
2023-03-05,CO,Colombia,AMRO,625.0,6360089,14.0,142629
2023-03-12,CO,Colombia,AMRO,691.0,6360780,10.0,142639
2023-03-19,CO,Colombia,AMRO,513.0,6361293,13.0,142652
2023-03-26,CO,Colombia,AMRO,517.0,6361810,13.0,142665
2023-04-02,CO,Colombia,AMRO,502.0,6362312,13.0,142678
2023-04-09,CO,Colombia,AMRO,746.0,6363058,12.0,142690
2023-04-16,CO,Colombia,AMRO,486.0,6363544,8.0,142698
2023-04-23,CO,Colombia,AMRO,470.0,6364014,8.0,142706
2023-04-30,CO,Colombia,AMRO,622.0,6364636,7.0,142713
2023-05-07,CO,Colombia,AMRO,626.0,6365262,9.0,142722
2023-05-14,CO,Colombia,AMRO,732.0,6365994,5.0,142727
2023-05-21,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-05-28,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-06-04,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-06-11,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-06-18,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-06-25,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-07-02,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-07-09,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-07-16,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-07-23,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-07-30,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-08-06,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-08-13,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-08-20,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-08-27,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-09-03,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-09-10,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-09-17,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-09-24,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-10-01,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-10-08,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-10-15,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-10-22,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-10-29,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-11-05,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-11-12,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-11-19,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-11-26,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-12-03,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-12-10,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-12-17,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-12-24,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2023-12-31,CO,Colombia,AMRO,0.0,6365994,0.0,142727
2024-01-07,CO,Colombia,AMRO,978.0,6366972,0.0,142727
2024-01-14,CO,Colombia,AMRO,2156.0,6369128,0.0,142727
2024-01-21,CO,Colombia,AMRO,2307.0,6371435,0.0,142727
2024-01-28,CO,Colombia,AMRO,1878.0,6373313,0.0,142727
2024-02-04,CO,Colombia,AMRO,2964.0,6376277,0.0,142727
2024-02-11,CO,Colombia,AMRO,923.0,6377200,0.0,142727
2024-02-18,CO,Colombia,AMRO,1130.0,6378330,0.0,142727
2024-02-25,CO,Colombia,AMRO,1696.0,6380026,0.0,142727
2024-03-03,CO,Colombia,AMRO,2339.0,6382365,0.0,142727
2024-03-10,CO,Colombia,AMRO,1056.0,6383421,0.0,142727
