Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-08,CR,Costa Rica,AMRO,2.0,2,0.0,0
2020-03-15,CR,Costa Rica,AMRO,24.0,26,0.0,0
2020-03-22,CR,Costa Rica,AMRO,87.0,113,2.0,2
2020-03-29,CR,Costa Rica,AMRO,150.0,263,0.0,2
2020-04-05,CR,Costa Rica,AMRO,153.0,416,0.0,2
2020-04-12,CR,Costa Rica,AMRO,142.0,558,1.0,3
2020-04-19,CR,Costa Rica,AMRO,91.0,649,1.0,4
2020-04-26,CR,Costa Rica,AMRO,38.0,687,2.0,6
2020-05-03,CR,Costa Rica,AMRO,38.0,725,0.0,6
2020-05-10,CR,Costa Rica,AMRO,48.0,773,0.0,6
2020-05-17,CR,Costa Rica,AMRO,70.0,843,2.0,8
2020-05-24,CR,Costa Rica,AMRO,68.0,911,2.0,10
2020-05-31,CR,Costa Rica,AMRO,111.0,1022,0.0,10
2020-06-07,CR,Costa Rica,AMRO,206.0,1228,0.0,10
2020-06-14,CR,Costa Rica,AMRO,384.0,1612,2.0,12
2020-06-21,CR,Costa Rica,AMRO,446.0,2058,0.0,12
2020-06-28,CR,Costa Rica,AMRO,778.0,2836,0.0,12
2020-07-05,CR,Costa Rica,AMRO,1475.0,4311,6.0,18
2020-07-12,CR,Costa Rica,AMRO,2534.0,6845,8.0,26
2020-07-19,CR,Costa Rica,AMRO,3124.0,9969,21.0,47
2020-07-26,CR,Costa Rica,AMRO,3700.0,13669,40.0,87
2020-08-02,CR,Costa Rica,AMRO,4151.0,17820,63.0,150
2020-08-09,CR,Costa Rica,AMRO,4261.0,22081,68.0,218
2020-08-16,CR,Costa Rica,AMRO,4850.0,26931,63.0,281
2020-08-23,CR,Costa Rica,AMRO,5203.0,32134,59.0,340
2020-08-30,CR,Costa Rica,AMRO,6351.0,38485,67.0,407
2020-09-06,CR,Costa Rica,AMRO,7195.0,45680,62.0,469
2020-09-13,CR,Costa Rica,AMRO,8289.0,53969,114.0,583
2020-09-20,CR,Costa Rica,AMRO,8405.0,62374,103.0,686
2020-09-27,CR,Costa Rica,AMRO,8442.0,70816,126.0,812
2020-10-04,CR,Costa Rica,AMRO,7013.0,77829,118.0,930
2020-10-11,CR,Costa Rica,AMRO,8224.0,86053,125.0,1055
2020-10-18,CR,Costa Rica,AMRO,8295.0,94348,113.0,1168
2020-10-25,CR,Costa Rica,AMRO,7478.0,101826,97.0,1265
2020-11-01,CR,Costa Rica,AMRO,7040.0,108866,106.0,1371
2020-11-08,CR,Costa Rica,AMRO,6551.0,115417,82.0,1453
2020-11-15,CR,Costa Rica,AMRO,6706.0,122123,84.0,1537
2020-11-22,CR,Costa Rica,AMRO,7295.0,129418,71.0,1608
2020-11-29,CR,Costa Rica,AMRO,7675.0,137093,82.0,1690
2020-12-06,CR,Costa Rica,AMRO,6592.0,143685,83.0,1773
2020-12-13,CR,Costa Rica,AMRO,7262.0,150947,122.0,1895
2020-12-20,CR,Costa Rica,AMRO,6525.0,157472,101.0,1996
2020-12-27,CR,Costa Rica,AMRO,6590.0,164062,107.0,2103
2021-01-03,CR,Costa Rica,AMRO,6529.0,170591,90.0,2193
2021-01-10,CR,Costa Rica,AMRO,7023.0,177614,112.0,2305
2021-01-17,CR,Costa Rica,AMRO,6573.0,184187,111.0,2416
2021-01-24,CR,Costa Rica,AMRO,5121.0,189308,102.0,2518
2021-01-31,CR,Costa Rica,AMRO,3968.0,193276,86.0,2604
2021-02-07,CR,Costa Rica,AMRO,3162.0,196438,68.0,2672
2021-02-14,CR,Costa Rica,AMRO,2749.0,199187,42.0,2714
2021-02-21,CR,Costa Rica,AMRO,2491.0,201678,49.0,2763
2021-02-28,CR,Costa Rica,AMRO,2663.0,204341,37.0,2800
2021-03-07,CR,Costa Rica,AMRO,2299.0,206640,33.0,2833
2021-03-14,CR,Costa Rica,AMRO,2453.0,209093,29.0,2862
2021-03-21,CR,Costa Rica,AMRO,2810.0,211903,34.0,2896
2021-03-28,CR,Costa Rica,AMRO,3275.0,215178,35.0,2931
2021-04-04,CR,Costa Rica,AMRO,2978.0,218156,43.0,2974
2021-04-11,CR,Costa Rica,AMRO,4388.0,222544,44.0,3018
2021-04-18,CR,Costa Rica,AMRO,6033.0,228577,53.0,3071
2021-04-25,CR,Costa Rica,AMRO,8353.0,236930,65.0,3136
2021-05-02,CR,Costa Rica,AMRO,14061.0,250991,95.0,3231
2021-05-09,CR,Costa Rica,AMRO,14495.0,265486,134.0,3365
2021-05-16,CR,Costa Rica,AMRO,17255.0,282741,182.0,3547
2021-05-23,CR,Costa Rica,AMRO,16478.0,299219,218.0,3765
2021-05-30,CR,Costa Rica,AMRO,14883.0,314102,197.0,3962
2021-06-06,CR,Costa Rica,AMRO,13877.0,327979,191.0,4153
2021-06-13,CR,Costa Rica,AMRO,11921.0,339900,169.0,4322
2021-06-20,CR,Costa Rica,AMRO,10730.0,350630,151.0,4473
2021-06-27,CR,Costa Rica,AMRO,10375.0,361005,129.0,4602
2021-07-04,CR,Costa Rica,AMRO,10201.0,371206,84.0,4686
2021-07-11,CR,Costa Rica,AMRO,9276.0,380482,87.0,4773
2021-07-18,CR,Costa Rica,AMRO,9316.0,389798,101.0,4874
2021-07-25,CR,Costa Rica,AMRO,8810.0,398608,67.0,4941
2021-08-01,CR,Costa Rica,AMRO,8206.0,406814,89.0,5030
2021-08-08,CR,Costa Rica,AMRO,9863.0,416677,94.0,5124
2021-08-15,CR,Costa Rica,AMRO,11618.0,428295,87.0,5211
2021-08-22,CR,Costa Rica,AMRO,12352.0,440647,101.0,5312
2021-08-29,CR,Costa Rica,AMRO,15137.0,455784,119.0,5431
2021-09-05,CR,Costa Rica,AMRO,16531.0,472315,137.0,5568
2021-09-12,CR,Costa Rica,AMRO,17469.0,489784,186.0,5754
2021-09-19,CR,Costa Rica,AMRO,15379.0,505163,195.0,5949
2021-09-26,CR,Costa Rica,AMRO,16019.0,521182,240.0,6189
