Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-15,CU,Cuba,AMRO,4.0,4,0.0,0
2020-03-22,CU,Cuba,AMRO,12.0,16,1.0,1
2020-03-29,CU,Cuba,AMRO,103.0,119,2.0,3
2020-04-05,CU,Cuba,AMRO,169.0,288,3.0,6
2020-04-12,CU,Cuba,AMRO,332.0,620,10.0,16
2020-04-19,CU,Cuba,AMRO,366.0,986,16.0,32
2020-04-26,CU,Cuba,AMRO,351.0,1337,19.0,51
2020-05-03,CU,Cuba,AMRO,274.0,1611,15.0,66
2020-05-10,CU,Cuba,AMRO,143.0,1754,8.0,74
2020-05-17,CU,Cuba,AMRO,108.0,1862,5.0,79
2020-05-24,CU,Cuba,AMRO,69.0,1931,2.0,81
2020-05-31,CU,Cuba,AMRO,94.0,2025,2.0,83
2020-06-07,CU,Cuba,AMRO,148.0,2173,0.0,83
2020-06-14,CU,Cuba,AMRO,65.0,2238,1.0,84
2020-06-21,CU,Cuba,AMRO,71.0,2309,1.0,85
2020-06-28,CU,Cuba,AMRO,21.0,2330,1.0,86
2020-07-05,CU,Cuba,AMRO,39.0,2369,0.0,86
2020-07-12,CU,Cuba,AMRO,51.0,2420,1.0,87
2020-07-19,CU,Cuba,AMRO,25.0,2445,0.0,87
2020-07-26,CU,Cuba,AMRO,33.0,2478,0.0,87
2020-08-02,CU,Cuba,AMRO,155.0,2633,0.0,87
2020-08-09,CU,Cuba,AMRO,255.0,2888,1.0,88
2020-08-16,CU,Cuba,AMRO,404.0,3292,0.0,88
2020-08-23,CU,Cuba,AMRO,325.0,3617,1.0,89
2020-08-30,CU,Cuba,AMRO,308.0,3925,5.0,94
2020-09-06,CU,Cuba,AMRO,373.0,4298,6.0,100
2020-09-13,CU,Cuba,AMRO,355.0,4653,8.0,108
2020-09-20,CU,Cuba,AMRO,402.0,5055,5.0,113
2020-09-27,CU,Cuba,AMRO,357.0,5412,7.0,120
2020-10-04,CU,Cuba,AMRO,368.0,5780,2.0,122
2020-10-11,CU,Cuba,AMRO,168.0,5948,1.0,123
2020-10-18,CU,Cuba,AMRO,222.0,6170,2.0,125
2020-10-25,CU,Cuba,AMRO,364.0,6534,3.0,128
2020-11-01,CU,Cuba,AMRO,353.0,6887,0.0,128
2020-11-08,CU,Cuba,AMRO,380.0,7267,2.0,130
2020-11-15,CU,Cuba,AMRO,301.0,7568,1.0,131
2020-11-22,CU,Cuba,AMRO,230.0,7798,1.0,132
2020-11-29,CU,Cuba,AMRO,375.0,8173,1.0,133
2020-12-06,CU,Cuba,AMRO,541.0,8714,3.0,136
2020-12-13,CU,Cuba,AMRO,640.0,9354,1.0,137
2020-12-20,CU,Cuba,AMRO,670.0,10024,0.0,137
2020-12-27,CU,Cuba,AMRO,1014.0,11038,4.0,141
2021-01-03,CU,Cuba,AMRO,1187.0,12225,5.0,146
2021-01-10,CU,Cuba,AMRO,1963.0,14188,2.0,148
2021-01-17,CU,Cuba,AMRO,3313.0,17501,18.0,166
2021-01-24,CU,Cuba,AMRO,3126.0,20627,25.0,191
2021-01-31,CU,Cuba,AMRO,5047.0,25674,22.0,213
2021-02-07,CU,Cuba,AMRO,6337.0,32011,20.0,233
2021-02-14,CU,Cuba,AMRO,5472.0,37483,28.0,261
2021-02-21,CU,Cuba,AMRO,6001.0,43484,30.0,291
2021-02-28,CU,Cuba,AMRO,5677.0,49161,27.0,318
2021-03-07,CU,Cuba,AMRO,5674.0,54835,26.0,344
2021-03-14,CU,Cuba,AMRO,5723.0,60558,22.0,366
2021-03-21,CU,Cuba,AMRO,5404.0,65962,26.0,392
2021-03-28,CU,Cuba,AMRO,5622.0,71584,22.0,414
2021-04-04,CU,Cuba,AMRO,6798.0,78382,17.0,431
2021-04-11,CU,Cuba,AMRO,7190.0,85572,22.0,453
2021-04-18,CU,Cuba,AMRO,6902.0,92474,59.0,512
2021-04-25,CU,Cuba,AMRO,7844.0,100318,69.0,581
2021-05-02,CU,Cuba,AMRO,7304.0,107622,73.0,654
2021-05-09,CU,Cuba,AMRO,7290.0,114912,68.0,722
2021-05-16,CU,Cuba,AMRO,8309.0,123221,74.0,796
2021-05-23,CU,Cuba,AMRO,8611.0,131832,67.0,863
