Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,DE,Germany,EURO,1.0,1,3.0,3
2020-01-12,DE,Germany,EURO,0.0,1,0.0,3
2020-01-19,DE,Germany,EURO,0.0,1,0.0,3
2020-01-26,DE,Germany,EURO,1.0,2,3.0,6
2020-02-02,DE,Germany,EURO,9.0,11,3.0,9
2020-02-09,DE,Germany,EURO,9.0,20,0.0,9
2020-02-16,DE,Germany,EURO,5.0,25,0.0,9
2020-02-23,DE,Germany,EURO,6.0,31,1.0,10
2020-03-01,DE,Germany,EURO,139.0,170,1.0,11
2020-03-08,DE,Germany,EURO,905.0,1075,12.0,23
2020-03-15,DE,Germany,EURO,6441.0,7516,84.0,107
2020-03-22,DE,Germany,EURO,22407.0,29923,479.0,586
2020-03-29,DE,Germany,EURO,33981.0,63904,1459.0,2045
2020-04-05,DE,Germany,EURO,36067.0,99971,2273.0,4318
2020-04-12,DE,Germany,EURO,27145.0,127116,1878.0,6196
2020-04-19,DE,Germany,EURO,17345.0,144461,1226.0,7422
2020-04-26,DE,Germany,EURO,12351.0,156812,727.0,8149
2020-05-03,DE,Germany,EURO,7442.0,164254,388.0,8537
2020-05-10,DE,Germany,EURO,6243.0,170497,258.0,8795
2020-05-17,DE,Germany,EURO,4775.0,175272,165.0,8960
2020-05-24,DE,Germany,EURO,3604.0,178876,111.0,9071
2020-05-31,DE,Germany,EURO,3206.0,182082,65.0,9136
2020-06-07,DE,Germany,EURO,2354.0,184436,44.0,9180
2020-06-14,DE,Germany,EURO,2348.0,186784,35.0,9215
2020-06-21,DE,Germany,EURO,4192.0,190976,41.0,9256
2020-06-28,DE,Germany,EURO,3167.0,194143,21.0,9277
2020-07-05,DE,Germany,EURO,2691.0,196834,26.0,9303
2020-07-12,DE,Germany,EURO,2429.0,199263,25.0,9328
2020-07-19,DE,Germany,EURO,3044.0,202307,31.0,9359
2020-07-26,DE,Germany,EURO,3936.0,206243,33.0,9392
2020-08-02,DE,Germany,EURO,4843.0,211086,37.0,9429
2020-08-09,DE,Germany,EURO,6067.0,217153,34.0,9463
2020-08-16,DE,Germany,EURO,7971.0,225124,31.0,9494
2020-08-23,DE,Germany,EURO,9580.0,234704,31.0,9525
2020-08-30,DE,Germany,EURO,8844.0,243548,18.0,9543
2020-09-06,DE,Germany,EURO,8609.0,252157,35.0,9578
2020-09-13,DE,Germany,EURO,9785.0,261942,68.0,9646
2020-09-20,DE,Germany,EURO,12285.0,274227,82.0,9728
2020-09-27,DE,Germany,EURO,13064.0,287291,110.0,9838
2020-10-04,DE,Germany,EURO,15946.0,303237,121.0,9959
2020-10-11,DE,Germany,EURO,26145.0,329382,247.0,10206
2020-10-18,DE,Germany,EURO,42031.0,371413,464.0,10670
2020-10-25,DE,Germany,EURO,74792.0,446205,1015.0,11685
2020-11-01,DE,Germany,EURO,111009.0,557214,1621.0,13306
2020-11-08,DE,Germany,EURO,125692.0,682906,1910.0,15216
2020-11-15,DE,Germany,EURO,127862.0,810768,2536.0,17752
2020-11-22,DE,Germany,EURO,128400.0,939168,3226.0,20978
2020-11-29,DE,Germany,EURO,123122.0,1062290,3601.0,24579
2020-12-06,DE,Germany,EURO,128258.0,1190548,4480.0,29059
2020-12-13,DE,Germany,EURO,156213.0,1346761,5762.0,34821
2020-12-20,DE,Germany,EURO,174589.0,1521350,6460.0,41281
2020-12-27,DE,Germany,EURO,138828.0,1660178,5728.0,47009
2021-01-03,DE,Germany,EURO,122953.0,1783131,5744.0,52753
2021-01-10,DE,Germany,EURO,145505.0,1928636,5759.0,58512
2021-01-17,DE,Germany,EURO,118929.0,2047565,5096.0,63608
2021-01-24,DE,Germany,EURO,95553.0,2143118,4107.0,67715
2021-01-31,DE,Germany,EURO,78172.0,2221290,3102.0,70817
2021-02-07,DE,Germany,EURO,64596.0,2285886,2268.0,73085
2021-02-14,DE,Germany,EURO,50827.0,2336713,1680.0,74765
2021-02-21,DE,Germany,EURO,52329.0,2389042,1478.0,76243
2021-02-28,DE,Germany,EURO,56356.0,2445398,1227.0,77470
2021-03-07,DE,Germany,EURO,58425.0,2503823,1049.0,78519
2021-03-14,DE,Germany,EURO,71391.0,2575214,1104.0,79623
2021-03-21,DE,Germany,EURO,92610.0,2667824,1277.0,80900
2021-03-28,DE,Germany,EURO,116309.0,2784133,1526.0,82426
2021-04-04,DE,Germany,EURO,110007.0,2894140,1590.0,84016
2021-04-11,DE,Germany,EURO,118188.0,3012328,1582.0,85598
2021-04-18,DE,Germany,EURO,142021.0,3154349,1627.0,87225
2021-04-25,DE,Germany,EURO,144678.0,3299027,1622.0,88847
2021-05-02,DE,Germany,EURO,124684.0,3423711,1307.0,90154
2021-05-09,DE,Germany,EURO,100847.0,3524558,1010.0,91164
2021-05-16,DE,Germany,EURO,70746.0,3595304,676.0,91840
2021-05-23,DE,Germany,EURO,52670.0,3647974,448.0,92288
2021-05-30,DE,Germany,EURO,29867.0,3677841,261.0,92549
