Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-22,DJ,Djibouti,EMRO,1.0,1,0.0,0
2020-03-29,DJ,Djibouti,EMRO,14.0,15,0.0,0
2020-04-05,DJ,Djibouti,EMRO,36.0,51,0.0,0
2020-04-12,DJ,Djibouti,EMRO,136.0,187,2.0,2
2020-04-19,DJ,Djibouti,EMRO,545.0,732,0.0,2
2020-04-26,DJ,Djibouti,EMRO,276.0,1008,0.0,2
2020-05-03,DJ,Djibouti,EMRO,104.0,1112,0.0,2
2020-05-10,DJ,Djibouti,EMRO,77.0,1189,1.0,3
2020-05-17,DJ,Djibouti,EMRO,142.0,1331,1.0,4
2020-05-24,DJ,Djibouti,EMRO,939.0,2270,6.0,10
2020-05-31,DJ,Djibouti,EMRO,924.0,3194,12.0,22
2020-06-07,DJ,Djibouti,EMRO,975.0,4169,4.0,26
2020-06-14,DJ,Djibouti,EMRO,280.0,4449,15.0,41
2020-06-21,DJ,Djibouti,EMRO,116.0,4565,4.0,45
2020-06-28,DJ,Djibouti,EMRO,78.0,4643,7.0,52
2020-07-05,DJ,Djibouti,EMRO,93.0,4736,3.0,55
2020-07-12,DJ,Djibouti,EMRO,232.0,4968,1.0,56
2020-07-19,DJ,Djibouti,EMRO,35.0,5003,0.0,56
2020-07-26,DJ,Djibouti,EMRO,36.0,5039,2.0,58
2020-08-02,DJ,Djibouti,EMRO,42.0,5081,0.0,58
2020-08-09,DJ,Djibouti,EMRO,257.0,5338,1.0,59
2020-08-16,DJ,Djibouti,EMRO,29.0,5367,0.0,59
2020-08-23,DJ,Djibouti,EMRO,15.0,5382,1.0,60
2020-08-30,DJ,Djibouti,EMRO,3.0,5385,0.0,60
2020-09-06,DJ,Djibouti,EMRO,2.0,5387,0.0,60
2020-09-13,DJ,Djibouti,EMRO,7.0,5394,1.0,61
2020-09-20,DJ,Djibouti,EMRO,9.0,5403,0.0,61
2020-09-27,DJ,Djibouti,EMRO,6.0,5409,0.0,61
2020-10-04,DJ,Djibouti,EMRO,9.0,5418,0.0,61
2020-10-11,DJ,Djibouti,EMRO,5.0,5423,0.0,61
2020-10-18,DJ,Djibouti,EMRO,29.0,5452,0.0,61
2020-10-25,DJ,Djibouti,EMRO,78.0,5530,0.0,61
2020-11-01,DJ,Djibouti,EMRO,31.0,5561,0.0,61
2020-11-08,DJ,Djibouti,EMRO,44.0,5605,0.0,61
2020-11-15,DJ,Djibouti,EMRO,40.0,5645,0.0,61
2020-11-22,DJ,Djibouti,EMRO,16.0,5661,0.0,61
2020-11-29,DJ,Djibouti,EMRO,15.0,5676,0.0,61
2020-12-06,DJ,Djibouti,EMRO,16.0,5692,0.0,61
