Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-29,DM,Dominica,AMRO,11.0,11,0.0,0
2020-04-05,DM,Dominica,AMRO,0.0,11,0.0,0
2020-04-12,DM,Dominica,AMRO,5.0,16,0.0,0
2020-04-19,DM,Dominica,AMRO,0.0,16,0.0,0
2020-04-26,DM,Dominica,AMRO,0.0,16,0.0,0
2020-05-03,DM,Dominica,AMRO,0.0,16,0.0,0
2020-05-10,DM,Dominica,AMRO,0.0,16,0.0,0
2020-05-17,DM,Dominica,AMRO,0.0,16,0.0,0
2020-05-24,DM,Dominica,AMRO,0.0,16,0.0,0
2020-05-31,DM,Dominica,AMRO,0.0,16,0.0,0
2020-06-07,DM,Dominica,AMRO,0.0,16,0.0,0
2020-06-14,DM,Dominica,AMRO,2.0,18,0.0,0
2020-06-21,DM,Dominica,AMRO,0.0,18,0.0,0
2020-06-28,DM,Dominica,AMRO,0.0,18,0.0,0
2020-07-05,DM,Dominica,AMRO,0.0,18,0.0,0
2020-07-12,DM,Dominica,AMRO,0.0,18,0.0,0
2020-07-19,DM,Dominica,AMRO,0.0,18,0.0,0
2020-07-26,DM,Dominica,AMRO,0.0,18,0.0,0
2020-08-02,DM,Dominica,AMRO,0.0,18,0.0,0
2020-08-09,DM,Dominica,AMRO,0.0,18,0.0,0
2020-08-16,DM,Dominica,AMRO,0.0,18,0.0,0
2020-08-23,DM,Dominica,AMRO,1.0,19,0.0,0
2020-08-30,DM,Dominica,AMRO,1.0,20,0.0,0
2020-09-06,DM,Dominica,AMRO,2.0,22,0.0,0
2020-09-13,DM,Dominica,AMRO,2.0,24,0.0,0
2020-09-20,DM,Dominica,AMRO,0.0,24,0.0,0
2020-09-27,DM,Dominica,AMRO,0.0,24,0.0,0
2020-10-04,DM,Dominica,AMRO,7.0,31,0.0,0
2020-10-11,DM,Dominica,AMRO,1.0,32,0.0,0
2020-10-18,DM,Dominica,AMRO,1.0,33,0.0,0
2020-10-25,DM,Dominica,AMRO,5.0,38,0.0,0
2020-11-01,DM,Dominica,AMRO,12.0,50,0.0,0
2020-11-08,DM,Dominica,AMRO,13.0,63,0.0,0
2020-11-15,DM,Dominica,AMRO,5.0,68,0.0,0
2020-11-22,DM,Dominica,AMRO,4.0,72,0.0,0
2020-11-29,DM,Dominica,AMRO,13.0,85,0.0,0
2020-12-06,DM,Dominica,AMRO,0.0,85,0.0,0
2020-12-13,DM,Dominica,AMRO,2.0,87,0.0,0
2020-12-20,DM,Dominica,AMRO,5.0,92,0.0,0
2020-12-27,DM,Dominica,AMRO,4.0,96,0.0,0
2021-01-03,DM,Dominica,AMRO,0.0,96,0.0,0
2021-01-10,DM,Dominica,AMRO,10.0,106,0.0,0
2021-01-17,DM,Dominica,AMRO,4.0,110,0.0,0
2021-01-24,DM,Dominica,AMRO,3.0,113,0.0,0
