Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-08,DO,Dominican Republic,AMRO,2.0,2,0.0,0
2020-03-15,DO,Dominican Republic,AMRO,3.0,5,0.0,0
2020-03-22,DO,Dominican Republic,AMRO,67.0,72,2.0,2
2020-03-29,DO,Dominican Republic,AMRO,509.0,581,18.0,20
2020-04-05,DO,Dominican Republic,AMRO,907.0,1488,48.0,68
2020-04-12,DO,Dominican Republic,AMRO,1132.0,2620,58.0,126
2020-04-19,DO,Dominican Republic,AMRO,1715.0,4335,91.0,217
2020-04-26,DO,Dominican Republic,AMRO,1591.0,5926,56.0,273
2020-05-03,DO,Dominican Republic,AMRO,1652.0,7578,53.0,326
2020-05-10,DO,Dominican Republic,AMRO,2304.0,9882,59.0,385
2020-05-17,DO,Dominican Republic,AMRO,2228.0,12110,43.0,428
2020-05-24,DO,Dominican Republic,AMRO,2312.0,14422,30.0,458
2020-05-31,DO,Dominican Republic,AMRO,2486.0,16908,40.0,498
2020-06-07,DO,Dominican Republic,AMRO,2287.0,19195,38.0,536
2020-06-14,DO,Dominican Republic,AMRO,3377.0,22572,41.0,577
2020-06-21,DO,Dominican Republic,AMRO,3206.0,25778,78.0,655
2020-06-28,DO,Dominican Republic,AMRO,4841.0,30619,63.0,718
2020-07-05,DO,Dominican Republic,AMRO,5565.0,36184,68.0,786
2020-07-12,DO,Dominican Republic,AMRO,6930.0,43114,94.0,880
2020-07-19,DO,Dominican Republic,AMRO,8405.0,51519,91.0,971
2020-07-26,DO,Dominican Republic,AMRO,9377.0,60896,84.0,1055
2020-08-02,DO,Dominican Republic,AMRO,10519.0,71415,115.0,1170
2020-08-09,DO,Dominican Republic,AMRO,7363.0,78778,119.0,1289
2020-08-16,DO,Dominican Republic,AMRO,6767.0,85545,149.0,1438
2020-08-23,DO,Dominican Republic,AMRO,5016.0,90561,116.0,1554
2020-08-30,DO,Dominican Republic,AMRO,3165.0,93726,119.0,1673
2020-09-06,DO,Dominican Republic,AMRO,5050.0,98776,167.0,1840
