Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-01,EE,Estonia,EURO,1.0,1,0.0,0
2020-03-08,EE,Estonia,EURO,9.0,10,0.0,0
2020-03-15,EE,Estonia,EURO,210.0,220,0.0,0
2020-03-22,EE,Estonia,EURO,165.0,385,0.0,0
2020-03-29,EE,Estonia,EURO,5570.0,5955,73.0,73
2020-04-05,EE,Estonia,EURO,404.0,6359,16.0,89
2020-04-12,EE,Estonia,EURO,223.0,6582,9.0,98
2020-04-19,EE,Estonia,EURO,199.0,6781,14.0,112
2020-04-26,EE,Estonia,EURO,109.0,6890,9.0,121
2020-05-03,EE,Estonia,EURO,56.0,6946,4.0,125
2020-05-10,EE,Estonia,EURO,38.0,6984,4.0,129
2020-05-17,EE,Estonia,EURO,43.0,7027,2.0,131
2020-05-24,EE,Estonia,EURO,39.0,7066,1.0,132
2020-05-31,EE,Estonia,EURO,46.0,7112,3.0,135
2020-06-07,EE,Estonia,EURO,71.0,7183,1.0,136
2020-06-14,EE,Estonia,EURO,35.0,7218,1.0,137
2020-06-21,EE,Estonia,EURO,8.0,7226,0.0,137
2020-06-28,EE,Estonia,EURO,6.0,7232,0.0,137
2020-07-05,EE,Estonia,EURO,6.0,7238,0.0,137
2020-07-12,EE,Estonia,EURO,21.0,7259,0.0,137
2020-07-19,EE,Estonia,EURO,4.0,7263,0.0,137
2020-07-26,EE,Estonia,EURO,11.0,7274,0.0,137
2020-08-02,EE,Estonia,EURO,45.0,7319,0.0,137
2020-08-09,EE,Estonia,EURO,74.0,7393,0.0,137
2020-08-16,EE,Estonia,EURO,35.0,7428,0.0,137
2020-08-23,EE,Estonia,EURO,88.0,7516,1.0,138
2020-08-30,EE,Estonia,EURO,100.0,7616,0.0,138
2020-09-06,EE,Estonia,EURO,157.0,7773,0.0,138
2020-09-13,EE,Estonia,EURO,160.0,7933,0.0,138
2020-09-20,EE,Estonia,EURO,244.0,8177,0.0,138
2020-09-27,EE,Estonia,EURO,337.0,8514,0.0,138
2020-10-04,EE,Estonia,EURO,344.0,8858,3.0,141
2020-10-11,EE,Estonia,EURO,255.0,9113,1.0,142
2020-10-18,EE,Estonia,EURO,211.0,9324,0.0,142
2020-10-25,EE,Estonia,EURO,343.0,9667,5.0,147
2020-11-01,EE,Estonia,EURO,614.0,10281,0.0,147
2020-11-08,EE,Estonia,EURO,1202.0,11483,3.0,150
2020-11-15,EE,Estonia,EURO,1591.0,13074,5.0,155
2020-11-22,EE,Estonia,EURO,2104.0,15178,10.0,165
2020-11-29,EE,Estonia,EURO,2350.0,17528,24.0,189
2020-12-06,EE,Estonia,EURO,2921.0,20449,16.0,205
