Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-22,ER,Eritrea,AFRO,1.0,1,0.0,0
2020-03-29,ER,Eritrea,AFRO,5.0,6,0.0,0
2020-04-05,ER,Eritrea,AFRO,14.0,20,0.0,0
2020-04-12,ER,Eritrea,AFRO,14.0,34,0.0,0
2020-04-19,ER,Eritrea,AFRO,5.0,39,0.0,0
2020-04-26,ER,Eritrea,AFRO,0.0,39,0.0,0
2020-05-03,ER,Eritrea,AFRO,0.0,39,0.0,0
2020-05-10,ER,Eritrea,AFRO,0.0,39,0.0,0
2020-05-17,ER,Eritrea,AFRO,0.0,39,0.0,0
2020-05-24,ER,Eritrea,AFRO,0.0,39,0.0,0
2020-05-31,ER,Eritrea,AFRO,0.0,39,0.0,0
2020-06-07,ER,Eritrea,AFRO,2.0,41,0.0,0
2020-06-14,ER,Eritrea,AFRO,24.0,65,0.0,0
2020-06-21,ER,Eritrea,AFRO,78.0,143,0.0,0
2020-06-28,ER,Eritrea,AFRO,48.0,191,0.0,0
2020-07-05,ER,Eritrea,AFRO,24.0,215,0.0,0
2020-07-12,ER,Eritrea,AFRO,17.0,232,0.0,0
2020-07-19,ER,Eritrea,AFRO,19.0,251,0.0,0
2020-07-26,ER,Eritrea,AFRO,12.0,263,0.0,0
2020-08-02,ER,Eritrea,AFRO,16.0,279,0.0,0
2020-08-09,ER,Eritrea,AFRO,6.0,285,0.0,0
2020-08-16,ER,Eritrea,AFRO,0.0,285,0.0,0
2020-08-23,ER,Eritrea,AFRO,21.0,306,0.0,0
2020-08-30,ER,Eritrea,AFRO,12.0,318,0.0,0
2020-09-06,ER,Eritrea,AFRO,12.0,330,0.0,0
2020-09-13,ER,Eritrea,AFRO,31.0,361,0.0,0
2020-09-20,ER,Eritrea,AFRO,3.0,364,0.0,0
2020-09-27,ER,Eritrea,AFRO,11.0,375,0.0,0
2020-10-04,ER,Eritrea,AFRO,23.0,398,0.0,0
2020-10-11,ER,Eritrea,AFRO,16.0,414,0.0,0
2020-10-18,ER,Eritrea,AFRO,38.0,452,0.0,0
2020-10-25,ER,Eritrea,AFRO,9.0,461,0.0,0
2020-11-01,ER,Eritrea,AFRO,2.0,463,0.0,0
2020-11-08,ER,Eritrea,AFRO,28.0,491,0.0,0
2020-11-15,ER,Eritrea,AFRO,2.0,493,0.0,0
