Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-04-05,FK,Falkland Islands (Malvinas),,1.0,1,0.0,0
2020-04-12,FK,Falkland Islands (Malvinas),,4.0,5,0.0,0
2020-04-19,FK,Falkland Islands (Malvinas),,6.0,11,0.0,0
2020-04-26,FK,Falkland Islands (Malvinas),,2.0,13,0.0,0
2020-05-03,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-05-10,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-05-17,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-05-24,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-05-31,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-06-07,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-06-14,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-06-21,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-06-28,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-07-05,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-07-12,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-07-19,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-07-26,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-08-02,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-08-09,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-08-16,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-08-23,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-08-30,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-09-06,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-09-13,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-09-20,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-09-27,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-10-04,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-10-11,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-10-18,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-10-25,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-11-01,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-11-08,FK,Falkland Islands (Malvinas),,0.0,13,0.0,0
2020-11-15,FK,Falkland Islands (Malvinas),,2.0,15,0.0,0
2020-11-22,FK,Falkland Islands (Malvinas),,1.0,16,0.0,0
2020-11-29,FK,Falkland Islands (Malvinas),,1.0,17,0.0,0
2020-12-06,FK,Falkland Islands (Malvinas),,0.0,17,0.0,0
2020-12-13,FK,Falkland Islands (Malvinas),,2.0,19,0.0,0
2020-12-20,FK,Falkland Islands (Malvinas),,4.0,23,0.0,0
2020-12-27,FK,Falkland Islands (Malvinas),,6.0,29,0.0,0
2021-01-03,FK,Falkland Islands (Malvinas),,0.0,29,0.0,0
2021-01-10,FK,Falkland Islands (Malvinas),,0.0,29,0.0,0
2021-01-17,FK,Falkland Islands (Malvinas),,3.0,32,0.0,0
2021-01-24,FK,Falkland Islands (Malvinas),,5.0,37,0.0,0
2021-01-31,FK,Falkland Islands (Malvinas),,3.0,40,0.0,0
2021-02-07,FK,Falkland Islands (Malvinas),,4.0,44,0.0,0
2021-02-14,FK,Falkland Islands (Malvinas),,5.0,49,0.0,0
2021-02-21,FK,Falkland Islands (Malvinas),,0.0,49,0.0,0
2021-02-28,FK,Falkland Islands (Malvinas),,2.0,51,0.0,0
2021-03-07,FK,Falkland Islands (Malvinas),,0.0,51,0.0,0
2021-03-14,FK,Falkland Islands (Malvinas),,0.0,51,0.0,0
2021-03-21,FK,Falkland Islands (Malvinas),,0.0,51,0.0,0
2021-03-28,FK,Falkland Islands (Malvinas),,0.0,51,0.0,0
2021-04-04,FK,Falkland Islands (Malvinas),,1.0,52,0.0,0
2021-04-11,FK,Falkland Islands (Malvinas),,8.0,60,0.0,0
2021-04-18,FK,Falkland Islands (Malvinas),,0.0,60,0.0,0
2021-04-25,FK,Falkland Islands (Malvinas),,0.0,60,0.0,0
2021-05-02,FK,Falkland Islands (Malvinas),,0.0,60,0.0,0
2021-05-09,FK,Falkland Islands (Malvinas),,0.0,60,0.0,0
2021-05-16,FK,Falkland Islands (Malvinas),,0.0,60,0.0,0
2021-05-23,FK,Falkland Islands (Malvinas),,0.0,60,0.0,0
2021-05-30,FK,Falkland Islands (Malvinas),,0.0,60,0.0,0
2021-06-06,FK,Falkland Islands (Malvinas),,0.0,60,0.0,0
2021-06-13,FK,Falkland Islands (Malvinas),,0.0,60,0.0,0
2021-06-20,FK,Falkland Islands (Malvinas),,0.0,60,0.0,0
2021-06-27,FK,Falkland Islands (Malvinas),,0.0,60,0.0,0
2021-07-04,FK,Falkland Islands (Malvinas),,0.0,60,0.0,0
2021-07-11,FK,Falkland Islands (Malvinas),,0.0,60,0.0,0
2021-07-18,FK,Falkland Islands (Malvinas),,0.0,60,0.0,0
2021-07-25,FK,Falkland Islands (Malvinas),,0.0,60,0.0,0
2021-08-01,FK,Falkland Islands (Malvinas),,0.0,60,0.0,0
2021-08-08,FK,Falkland Islands (Malvinas),,4.0,64,0.0,0
2021-08-15,FK,Falkland Islands (Malvinas),,0.0,64,0.0,0
2021-08-22,FK,Falkland Islands (Malvinas),,0.0,64,0.0,0
2021-08-29,FK,Falkland Islands (Malvinas),,0.0,64,0.0,0
2021-09-05,FK,Falkland Islands (Malvinas),,0.0,64,0.0,0
2021-09-12,FK,Falkland Islands (Malvinas),,0.0,64,0.0,0
2021-09-19,FK,Falkland Islands (Malvinas),,0.0,64,0.0,0
2021-09-26,FK,Falkland Islands (Malvinas),,3.0,67,0.0,0
2021-10-03,FK,Falkland Islands (Malvinas),,0.0,67,0.0,0
2021-10-10,FK,Falkland Islands (Malvinas),,2.0,69,0.0,0
2021-10-17,FK,Falkland Islands (Malvinas),,0.0,69,0.0,0
2021-10-24,FK,Falkland Islands (Malvinas),,0.0,69,0.0,0
2021-10-31,FK,Falkland Islands (Malvinas),,0.0,69,0.0,0
2021-11-07,FK,Falkland Islands (Malvinas),,9.0,78,0.0,0
2021-11-14,FK,Falkland Islands (Malvinas),,1.0,79,0.0,0
2021-11-21,FK,Falkland Islands (Malvinas),,0.0,79,0.0,0
2021-11-28,FK,Falkland Islands (Malvinas),,0.0,79,0.0,0
2021-12-05,FK,Falkland Islands (Malvinas),,0.0,79,0.0,0
2021-12-12,FK,Falkland Islands (Malvinas),,1.0,80,0.0,0
2021-12-19,FK,Falkland Islands (Malvinas),,1.0,81,0.0,0
