Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2022-04-24,FM,Micronesia (Federated States of),WPRO,2.0,2,0.0,0
2022-05-01,FM,Micronesia (Federated States of),WPRO,5.0,7,0.0,0
2022-05-08,FM,Micronesia (Federated States of),WPRO,0.0,7,0.0,0
2022-05-15,FM,Micronesia (Federated States of),WPRO,0.0,7,0.0,0
2022-05-22,FM,Micronesia (Federated States of),WPRO,23.0,30,0.0,0
2022-05-29,FM,Micronesia (Federated States of),WPRO,0.0,30,0.0,0
2022-06-05,FM,Micronesia (Federated States of),WPRO,8.0,38,0.0,0
2022-06-12,FM,Micronesia (Federated States of),WPRO,0.0,38,0.0,0
2022-06-19,FM,Micronesia (Federated States of),WPRO,0.0,38,0.0,0
2022-06-26,FM,Micronesia (Federated States of),WPRO,0.0,38,0.0,0
2022-07-03,FM,Micronesia (Federated States of),WPRO,0.0,38,0.0,0
2022-07-10,FM,Micronesia (Federated States of),WPRO,0.0,38,0.0,0
2022-07-17,FM,Micronesia (Federated States of),WPRO,0.0,38,0.0,0
2022-07-24,FM,Micronesia (Federated States of),WPRO,111.0,149,1.0,1
2022-07-31,FM,Micronesia (Federated States of),WPRO,5109.0,5258,9.0,10
2022-08-07,FM,Micronesia (Federated States of),WPRO,1176.0,6434,6.0,16
2022-08-14,FM,Micronesia (Federated States of),WPRO,447.0,6881,5.0,21
2022-08-21,FM,Micronesia (Federated States of),WPRO,0.0,6881,0.0,21
2022-08-28,FM,Micronesia (Federated States of),WPRO,182.0,7063,5.0,26
2022-09-04,FM,Micronesia (Federated States of),WPRO,1486.0,8549,1.0,27
2022-09-11,FM,Micronesia (Federated States of),WPRO,827.0,9376,2.0,29
2022-09-18,FM,Micronesia (Federated States of),WPRO,660.0,10036,2.0,31
2022-09-25,FM,Micronesia (Federated States of),WPRO,47.0,10083,0.0,31
2022-10-02,FM,Micronesia (Federated States of),WPRO,4383.0,14466,2.0,33
2022-10-09,FM,Micronesia (Federated States of),WPRO,6367.0,20833,18.0,51
2022-10-16,FM,Micronesia (Federated States of),WPRO,982.0,21815,4.0,55
2022-10-23,FM,Micronesia (Federated States of),WPRO,217.0,22032,0.0,55
2022-10-30,FM,Micronesia (Federated States of),WPRO,0.0,22032,0.0,55
2022-11-06,FM,Micronesia (Federated States of),WPRO,0.0,22032,0.0,55
2022-11-13,FM,Micronesia (Federated States of),WPRO,0.0,22032,0.0,55
2022-11-20,FM,Micronesia (Federated States of),WPRO,2.0,22034,3.0,58
2022-11-27,FM,Micronesia (Federated States of),WPRO,2.0,22036,0.0,58
2022-12-04,FM,Micronesia (Federated States of),WPRO,0.0,22036,0.0,58
2022-12-11,FM,Micronesia (Federated States of),WPRO,0.0,22036,0.0,58
2022-12-18,FM,Micronesia (Federated States of),WPRO,12.0,22048,0.0,58
2022-12-25,FM,Micronesia (Federated States of),WPRO,21.0,22069,0.0,58
2023-01-01,FM,Micronesia (Federated States of),WPRO,165.0,22234,0.0,58
2023-01-08,FM,Micronesia (Federated States of),WPRO,13.0,22247,0.0,58
2023-01-15,FM,Micronesia (Federated States of),WPRO,1219.0,23466,0.0,58
2023-01-22,FM,Micronesia (Federated States of),WPRO,0.0,23466,0.0,58
2023-01-29,FM,Micronesia (Federated States of),WPRO,205.0,23671,0.0,58
2023-02-05,FM,Micronesia (Federated States of),WPRO,0.0,23671,2.0,60
2023-02-12,FM,Micronesia (Federated States of),WPRO,277.0,23948,1.0,61
2023-02-19,FM,Micronesia (Federated States of),WPRO,0.0,23948,0.0,61
2023-02-26,FM,Micronesia (Federated States of),WPRO,0.0,23948,0.0,61
2023-03-05,FM,Micronesia (Federated States of),WPRO,247.0,24195,2.0,63
2023-03-12,FM,Micronesia (Federated States of),WPRO,0.0,24195,0.0,63
2023-03-19,FM,Micronesia (Federated States of),WPRO,1066.0,25261,0.0,63
2023-03-26,FM,Micronesia (Federated States of),WPRO,442.0,25703,0.0,63
2023-04-02,FM,Micronesia (Federated States of),WPRO,0.0,25703,0.0,63
2023-04-09,FM,Micronesia (Federated States of),WPRO,226.0,25929,0.0,63
2023-04-16,FM,Micronesia (Federated States of),WPRO,115.0,26044,1.0,64
2023-04-23,FM,Micronesia (Federated States of),WPRO,36.0,26080,0.0,64
2023-04-30,FM,Micronesia (Federated States of),WPRO,0.0,26080,0.0,64
2023-05-07,FM,Micronesia (Federated States of),WPRO,373.0,26453,0.0,64
2023-05-14,FM,Micronesia (Federated States of),WPRO,0.0,26453,1.0,65
2023-05-21,FM,Micronesia (Federated States of),WPRO,5.0,26458,0.0,65
2023-05-28,FM,Micronesia (Federated States of),WPRO,0.0,26458,0.0,65
2023-06-04,FM,Micronesia (Federated States of),WPRO,0.0,26458,0.0,65
2023-06-11,FM,Micronesia (Federated States of),WPRO,1.0,26459,0.0,65
2023-06-18,FM,Micronesia (Federated States of),WPRO,0.0,26459,0.0,65
2023-06-25,FM,Micronesia (Federated States of),WPRO,0.0,26459,0.0,65
2023-07-02,FM,Micronesia (Federated States of),WPRO,1.0,26460,0.0,65
2023-07-09,FM,Micronesia (Federated States of),WPRO,2.0,26462,0.0,65
2023-07-16,FM,Micronesia (Federated States of),WPRO,4.0,26466,0.0,65
2023-07-23,FM,Micronesia (Federated States of),WPRO,6.0,26472,0.0,65
2023-07-30,FM,Micronesia (Federated States of),WPRO,0.0,26472,0.0,65
2023-08-06,FM,Micronesia (Federated States of),WPRO,0.0,26472,0.0,65
2023-08-13,FM,Micronesia (Federated States of),WPRO,69.0,26541,0.0,65
2023-08-20,FM,Micronesia (Federated States of),WPRO,0.0,26541,0.0,65
2023-08-27,FM,Micronesia (Federated States of),WPRO,0.0,26541,0.0,65
2023-09-03,FM,Micronesia (Federated States of),WPRO,0.0,26541,0.0,65
2023-09-10,FM,Micronesia (Federated States of),WPRO,5.0,26546,0.0,65
2023-09-17,FM,Micronesia (Federated States of),WPRO,1.0,26547,0.0,65
2023-09-24,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2023-10-01,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2023-10-08,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2023-10-15,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2023-10-22,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2023-10-29,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2023-11-05,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2023-11-12,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2023-11-19,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2023-11-26,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2023-12-03,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2023-12-10,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2023-12-17,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2023-12-24,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2023-12-31,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2024-01-07,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2024-01-14,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2024-01-21,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2024-01-28,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2024-02-04,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2024-02-11,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2024-02-18,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2024-02-25,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2024-03-03,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2024-03-10,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2024-03-17,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2024-03-24,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2024-03-31,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2024-04-07,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2024-04-14,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2024-04-21,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
2024-04-28,FM,Micronesia (Federated States of),WPRO,0.0,26547,0.0,65
