Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-15,GA,Gabon,AFRO,1.0,1,0.0,0
2020-03-22,GA,Gabon,AFRO,5.0,6,0.0,0
2020-03-29,GA,Gabon,AFRO,1.0,7,0.0,0
2020-04-05,GA,Gabon,AFRO,14.0,21,3.0,3
2020-04-12,GA,Gabon,AFRO,29.0,50,0.0,3
2020-04-19,GA,Gabon,AFRO,60.0,110,0.0,3
2020-04-26,GA,Gabon,AFRO,67.0,177,2.0,5
2020-05-03,GA,Gabon,AFRO,159.0,336,2.0,7
2020-05-10,GA,Gabon,AFRO,325.0,661,1.0,8
2020-05-17,GA,Gabon,AFRO,659.0,1320,3.0,11
2020-05-24,GA,Gabon,AFRO,614.0,1934,1.0,12
2020-05-31,GA,Gabon,AFRO,721.0,2655,5.0,17
2020-06-07,GA,Gabon,AFRO,446.0,3101,4.0,21
2020-06-14,GA,Gabon,AFRO,362.0,3463,2.0,23
2020-06-21,GA,Gabon,AFRO,965.0,4428,11.0,34
2020-06-28,GA,Gabon,AFRO,781.0,5209,6.0,40
2020-07-05,GA,Gabon,AFRO,411.0,5620,4.0,44
2020-07-12,GA,Gabon,AFRO,322.0,5942,2.0,46
2020-07-19,GA,Gabon,AFRO,373.0,6315,0.0,46
2020-07-26,GA,Gabon,AFRO,669.0,6984,3.0,49
2020-08-02,GA,Gabon,AFRO,547.0,7531,1.0,50
2020-08-09,GA,Gabon,AFRO,392.0,7923,1.0,51
2020-08-16,GA,Gabon,AFRO,302.0,8225,0.0,51
2020-08-23,GA,Gabon,AFRO,163.0,8388,2.0,53
2020-08-30,GA,Gabon,AFRO,117.0,8505,0.0,53
2020-09-06,GA,Gabon,AFRO,96.0,8601,0.0,53
2020-09-13,GA,Gabon,AFRO,42.0,8643,0.0,53
2020-09-20,GA,Gabon,AFRO,53.0,8696,0.0,53
2020-09-27,GA,Gabon,AFRO,32.0,8728,1.0,54
2020-10-04,GA,Gabon,AFRO,69.0,8797,0.0,54
2020-10-11,GA,Gabon,AFRO,18.0,8815,0.0,54
2020-10-18,GA,Gabon,AFRO,66.0,8881,0.0,54
2020-10-25,GA,Gabon,AFRO,38.0,8919,0.0,54
2020-11-01,GA,Gabon,AFRO,49.0,8968,1.0,55
2020-11-08,GA,Gabon,AFRO,54.0,9022,0.0,55
2020-11-15,GA,Gabon,AFRO,40.0,9062,3.0,58
2020-11-22,GA,Gabon,AFRO,69.0,9131,1.0,59
2020-11-29,GA,Gabon,AFRO,60.0,9191,0.0,59
2020-12-06,GA,Gabon,AFRO,63.0,9254,1.0,60
2020-12-13,GA,Gabon,AFRO,76.0,9330,3.0,63
2020-12-20,GA,Gabon,AFRO,70.0,9400,1.0,64
2020-12-27,GA,Gabon,AFRO,97.0,9497,0.0,64
2021-01-03,GA,Gabon,AFRO,74.0,9571,0.0,64
2021-01-10,GA,Gabon,AFRO,123.0,9694,2.0,66
2021-01-17,GA,Gabon,AFRO,205.0,9899,0.0,66
2021-01-24,GA,Gabon,AFRO,379.0,10278,1.0,67
2021-01-31,GA,Gabon,AFRO,470.0,10748,1.0,68
2021-02-07,GA,Gabon,AFRO,709.0,11457,3.0,71
2021-02-14,GA,Gabon,AFRO,1120.0,12577,2.0,73
2021-02-21,GA,Gabon,AFRO,976.0,13553,2.0,75
2021-02-28,GA,Gabon,AFRO,1011.0,14564,8.0,83
2021-03-07,GA,Gabon,AFRO,953.0,15517,7.0,90
2021-03-14,GA,Gabon,AFRO,1143.0,16660,6.0,96
2021-03-21,GA,Gabon,AFRO,637.0,17297,9.0,105
2021-03-28,GA,Gabon,AFRO,1129.0,18426,4.0,109
2021-04-04,GA,Gabon,AFRO,1437.0,19863,10.0,119
2021-04-11,GA,Gabon,AFRO,773.0,20636,8.0,127
2021-04-18,GA,Gabon,AFRO,1222.0,21858,6.0,133
2021-04-25,GA,Gabon,AFRO,575.0,22433,5.0,138
2021-05-02,GA,Gabon,AFRO,642.0,23075,1.0,139
2021-05-09,GA,Gabon,AFRO,357.0,23432,4.0,143
2021-05-16,GA,Gabon,AFRO,367.0,23799,0.0,143
2021-05-23,GA,Gabon,AFRO,308.0,24107,4.0,147
2021-05-30,GA,Gabon,AFRO,258.0,24365,3.0,150
2021-06-06,GA,Gabon,AFRO,226.0,24591,4.0,154
2021-06-13,GA,Gabon,AFRO,145.0,24736,2.0,156
2021-06-20,GA,Gabon,AFRO,0.0,24736,0.0,156
2021-06-27,GA,Gabon,AFRO,248.0,24984,3.0,159
2021-07-04,GA,Gabon,AFRO,92.0,25076,0.0,159
2021-07-11,GA,Gabon,AFRO,88.0,25164,3.0,162
2021-07-18,GA,Gabon,AFRO,96.0,25260,0.0,162
2021-07-25,GA,Gabon,AFRO,65.0,25325,1.0,163
2021-08-01,GA,Gabon,AFRO,59.0,25384,1.0,164
2021-08-08,GA,Gabon,AFRO,78.0,25462,1.0,165
2021-08-15,GA,Gabon,AFRO,102.0,25564,0.0,165
2021-08-22,GA,Gabon,AFRO,103.0,25667,0.0,165
2021-08-29,GA,Gabon,AFRO,152.0,25819,0.0,165
2021-09-05,GA,Gabon,AFRO,260.0,26079,2.0,167
2021-09-12,GA,Gabon,AFRO,559.0,26638,3.0,170
2021-09-19,GA,Gabon,AFRO,1005.0,27643,5.0,175
2021-09-26,GA,Gabon,AFRO,1483.0,29126,3.0,178
2021-10-03,GA,Gabon,AFRO,1522.0,30648,12.0,190
2021-10-10,GA,Gabon,AFRO,1487.0,32135,11.0,201
2021-10-17,GA,Gabon,AFRO,1307.0,33442,12.0,213
2021-10-24,GA,Gabon,AFRO,1159.0,34601,11.0,224
2021-10-31,GA,Gabon,AFRO,924.0,35525,15.0,239
2021-11-07,GA,Gabon,AFRO,669.0,36194,15.0,254
2021-11-14,GA,Gabon,AFRO,498.0,36692,12.0,266
2021-11-21,GA,Gabon,AFRO,353.0,37045,7.0,273
2021-11-28,GA,Gabon,AFRO,253.0,37298,6.0,279
2021-12-05,GA,Gabon,AFRO,44.0,37342,0.0,279
2021-12-12,GA,Gabon,AFRO,249.0,37591,3.0,282
2021-12-19,GA,Gabon,AFRO,152.0,37743,3.0,285
2021-12-26,GA,Gabon,AFRO,1127.0,38870,2.0,287
2022-01-02,GA,Gabon,AFRO,2928.0,41798,1.0,288
2022-01-09,GA,Gabon,AFRO,2141.0,43939,7.0,295
2022-01-16,GA,Gabon,AFRO,1213.0,45152,2.0,297
2022-01-23,GA,Gabon,AFRO,1046.0,46198,3.0,300
2022-01-30,GA,Gabon,AFRO,524.0,46722,1.0,301
2022-02-06,GA,Gabon,AFRO,426.0,47148,0.0,301
2022-02-13,GA,Gabon,AFRO,251.0,47399,1.0,302
2022-02-20,GA,Gabon,AFRO,85.0,47484,1.0,303
2022-02-27,GA,Gabon,AFRO,50.0,47534,0.0,303
2022-03-06,GA,Gabon,AFRO,25.0,47559,0.0,303
2022-03-13,GA,Gabon,AFRO,5.0,47564,0.0,303
2022-03-20,GA,Gabon,AFRO,6.0,47570,0.0,303
2022-03-27,GA,Gabon,AFRO,14.0,47584,0.0,303
2022-04-03,GA,Gabon,AFRO,2.0,47586,0.0,303
2022-04-10,GA,Gabon,AFRO,5.0,47591,0.0,303
2022-04-17,GA,Gabon,AFRO,3.0,47594,0.0,303
2022-04-24,GA,Gabon,AFRO,3.0,47597,0.0,303
2022-05-01,GA,Gabon,AFRO,5.0,47602,1.0,304
2022-05-08,GA,Gabon,AFRO,0.0,47602,0.0,304
2022-05-15,GA,Gabon,AFRO,6.0,47608,0.0,304
2022-05-22,GA,Gabon,AFRO,14.0,47622,0.0,304
2022-05-29,GA,Gabon,AFRO,28.0,47650,0.0,304
2022-06-05,GA,Gabon,AFRO,27.0,47677,0.0,304
2022-06-12,GA,Gabon,AFRO,34.0,47711,0.0,304
2022-06-19,GA,Gabon,AFRO,31.0,47742,0.0,304
2022-06-26,GA,Gabon,AFRO,82.0,47824,1.0,305
2022-07-03,GA,Gabon,AFRO,115.0,47939,0.0,305
2022-07-10,GA,Gabon,AFRO,218.0,48157,0.0,305
2022-07-17,GA,Gabon,AFRO,132.0,48289,1.0,306
2022-07-24,GA,Gabon,AFRO,128.0,48417,0.0,306
2022-07-31,GA,Gabon,AFRO,94.0,48511,0.0,306
2022-08-07,GA,Gabon,AFRO,81.0,48592,0.0,306
2022-08-14,GA,Gabon,AFRO,43.0,48635,0.0,306
2022-08-21,GA,Gabon,AFRO,0.0,48635,0.0,306
2022-08-28,GA,Gabon,AFRO,14.0,48649,0.0,306
2022-09-04,GA,Gabon,AFRO,6.0,48655,0.0,306
2022-09-11,GA,Gabon,AFRO,13.0,48668,0.0,306
2022-09-18,GA,Gabon,AFRO,14.0,48682,0.0,306
2022-09-25,GA,Gabon,AFRO,9.0,48691,0.0,306
2022-10-02,GA,Gabon,AFRO,22.0,48713,0.0,306
2022-10-09,GA,Gabon,AFRO,59.0,48772,0.0,306
2022-10-16,GA,Gabon,AFRO,38.0,48810,0.0,306
2022-10-23,GA,Gabon,AFRO,104.0,48914,0.0,306
2022-10-30,GA,Gabon,AFRO,31.0,48945,0.0,306
2022-11-06,GA,Gabon,AFRO,14.0,48959,0.0,306
2022-11-13,GA,Gabon,AFRO,0.0,48959,0.0,306
2022-11-20,GA,Gabon,AFRO,13.0,48972,0.0,306
2022-11-27,GA,Gabon,AFRO,1.0,48973,0.0,306
2022-12-04,GA,Gabon,AFRO,0.0,48973,0.0,306
2022-12-11,GA,Gabon,AFRO,0.0,48973,0.0,306
2022-12-18,GA,Gabon,AFRO,3.0,48976,0.0,306
2022-12-25,GA,Gabon,AFRO,3.0,48979,0.0,306
2023-01-01,GA,Gabon,AFRO,1.0,48980,0.0,306
2023-01-08,GA,Gabon,AFRO,0.0,48980,0.0,306
2023-01-15,GA,Gabon,AFRO,0.0,48980,0.0,306
2023-01-22,GA,Gabon,AFRO,1.0,48981,0.0,306
2023-01-29,GA,Gabon,AFRO,0.0,48981,0.0,306
2023-02-05,GA,Gabon,AFRO,0.0,48981,0.0,306
2023-02-12,GA,Gabon,AFRO,0.0,48981,0.0,306
2023-02-19,GA,Gabon,AFRO,0.0,48981,0.0,306
2023-02-26,GA,Gabon,AFRO,0.0,48981,0.0,306
2023-03-05,GA,Gabon,AFRO,0.0,48981,0.0,306
2023-03-12,GA,Gabon,AFRO,0.0,48981,0.0,306
2023-03-19,GA,Gabon,AFRO,0.0,48981,0.0,306
2023-03-26,GA,Gabon,AFRO,0.0,48981,0.0,306
2023-04-02,GA,Gabon,AFRO,0.0,48981,0.0,306
2023-04-09,GA,Gabon,AFRO,11.0,48992,1.0,307
2023-04-16,GA,Gabon,AFRO,0.0,48992,0.0,307
2023-04-23,GA,Gabon,AFRO,0.0,48992,0.0,307
2023-04-30,GA,Gabon,AFRO,0.0,48992,0.0,307
2023-05-07,GA,Gabon,AFRO,0.0,48992,0.0,307
2023-05-14,GA,Gabon,AFRO,0.0,48992,0.0,307
2023-05-21,GA,Gabon,AFRO,0.0,48992,0.0,307
2023-05-28,GA,Gabon,AFRO,0.0,48992,0.0,307
2023-06-04,GA,Gabon,AFRO,0.0,48992,0.0,307
2023-06-11,GA,Gabon,AFRO,0.0,48992,0.0,307
2023-06-18,GA,Gabon,AFRO,0.0,48992,0.0,307
2023-06-25,GA,Gabon,AFRO,0.0,48992,0.0,307
2023-07-02,GA,Gabon,AFRO,0.0,48992,0.0,307
2023-07-09,GA,Gabon,AFRO,0.0,48992,0.0,307
2023-07-16,GA,Gabon,AFRO,0.0,48992,0.0,307
2023-07-23,GA,Gabon,AFRO,0.0,48992,0.0,307
2023-07-30,GA,Gabon,AFRO,0.0,48992,0.0,307
2023-08-06,GA,Gabon,AFRO,0.0,48992,0.0,307
2023-08-13,GA,Gabon,AFRO,0.0,48992,0.0,307
