Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-02-02,GB,United Kingdom of Great Britain and Northern Ireland,EURO,1.0,1,1.0,1
2020-02-09,GB,United Kingdom of Great Britain and Northern Ireland,EURO,20.0,21,1.0,2
2020-02-16,GB,United Kingdom of Great Britain and Northern Ireland,EURO,11.0,32,0.0,2
2020-02-23,GB,United Kingdom of Great Britain and Northern Ireland,EURO,3.0,35,0.0,2
2020-03-01,GB,United Kingdom of Great Britain and Northern Ireland,EURO,33.0,68,1.0,3
2020-03-08,GB,United Kingdom of Great Britain and Northern Ireland,EURO,311.0,379,6.0,9
2020-03-15,GB,United Kingdom of Great Britain and Northern Ireland,EURO,1901.0,2280,46.0,55
2020-03-22,GB,United Kingdom of Great Britain and Northern Ireland,EURO,5455.0,7735,429.0,484
2020-03-29,GB,United Kingdom of Great Britain and Northern Ireland,EURO,16046.0,23781,2005.0,2489
2020-04-05,GB,United Kingdom of Great Britain and Northern Ireland,EURO,28818.0,52599,5622.0,8111
2020-04-12,GB,United Kingdom of Great Britain and Northern Ireland,EURO,32630.0,85229,8974.0,17085
2020-04-19,GB,United Kingdom of Great Britain and Northern Ireland,EURO,30969.0,116198,9082.0,26167
2020-04-26,GB,United Kingdom of Great Britain and Northern Ireland,EURO,33506.0,149704,7693.0,33860
2020-05-03,GB,United Kingdom of Great Britain and Northern Ireland,EURO,31851.0,181555,5860.0,39720
2020-05-10,GB,United Kingdom of Great Britain and Northern Ireland,EURO,24027.0,205582,4508.0,44228
2020-05-17,GB,United Kingdom of Great Britain and Northern Ireland,EURO,20019.0,225601,3240.0,47468
2020-05-24,GB,United Kingdom of Great Britain and Northern Ireland,EURO,16906.0,242507,2569.0,50037
2020-05-31,GB,United Kingdom of Great Britain and Northern Ireland,EURO,11713.0,254220,1966.0,52003
2020-06-07,GB,United Kingdom of Great Britain and Northern Ireland,EURO,8884.0,263104,1416.0,53419
2020-06-14,GB,United Kingdom of Great Britain and Northern Ireland,EURO,7052.0,270156,1034.0,54453
2020-06-21,GB,United Kingdom of Great Britain and Northern Ireland,EURO,6892.0,277048,746.0,55199
2020-06-28,GB,United Kingdom of Great Britain and Northern Ireland,EURO,5270.0,282318,635.0,55834
2020-07-05,GB,United Kingdom of Great Britain and Northern Ireland,EURO,4275.0,286593,456.0,56290
2020-07-12,GB,United Kingdom of Great Britain and Northern Ireland,EURO,4283.0,290876,353.0,56643
2020-07-19,GB,United Kingdom of Great Britain and Northern Ireland,EURO,4340.0,295216,253.0,56896
2020-07-26,GB,United Kingdom of Great Britain and Northern Ireland,EURO,4969.0,300185,206.0,57102
2020-08-02,GB,United Kingdom of Great Britain and Northern Ireland,EURO,5524.0,305709,175.0,57277
2020-08-09,GB,United Kingdom of Great Britain and Northern Ireland,EURO,6418.0,312127,145.0,57422
2020-08-16,GB,United Kingdom of Great Britain and Northern Ireland,EURO,7797.0,319924,151.0,57573
2020-08-23,GB,United Kingdom of Great Britain and Northern Ireland,EURO,7728.0,327652,113.0,57686
2020-08-30,GB,United Kingdom of Great Britain and Northern Ireland,EURO,8854.0,336506,100.0,57786
2020-09-06,GB,United Kingdom of Great Britain and Northern Ireland,EURO,15523.0,352029,87.0,57873
2020-09-13,GB,United Kingdom of Great Britain and Northern Ireland,EURO,22634.0,374663,116.0,57989
2020-09-20,GB,United Kingdom of Great Britain and Northern Ireland,EURO,25850.0,400513,189.0,58178
