Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-08,GF,French Guiana,,5.0,5,0.0,0
2020-03-15,GF,French Guiana,,1.0,6,0.0,0
2020-03-22,GF,French Guiana,,9.0,15,0.0,0
2020-03-29,GF,French Guiana,,16.0,31,0.0,0
2020-04-05,GF,French Guiana,,31.0,62,0.0,0
2020-04-12,GF,French Guiana,,24.0,86,0.0,0
2020-04-19,GF,French Guiana,,10.0,96,0.0,0
2020-04-26,GF,French Guiana,,13.0,109,1.0,1
2020-05-03,GF,French Guiana,,19.0,128,0.0,1
2020-05-10,GF,French Guiana,,13.0,141,0.0,1
2020-05-17,GF,French Guiana,,48.0,189,0.0,1
2020-05-24,GF,French Guiana,,72.0,261,0.0,1
2020-05-31,GF,French Guiana,,175.0,436,0.0,1
2020-06-07,GF,French Guiana,,203.0,639,0.0,1
2020-06-14,GF,French Guiana,,522.0,1161,1.0,2
2020-06-21,GF,French Guiana,,1002.0,2163,3.0,5
2020-06-28,GF,French Guiana,,1298.0,3461,7.0,12
2020-07-05,GF,French Guiana,,1452.0,4913,4.0,16
2020-07-12,GF,French Guiana,,1036.0,5949,10.0,26
2020-07-19,GF,French Guiana,,706.0,6655,11.0,37
2020-07-26,GF,French Guiana,,677.0,7332,4.0,41
2020-08-02,GF,French Guiana,,525.0,7857,2.0,43
2020-08-09,GF,French Guiana,,410.0,8267,5.0,48
2020-08-16,GF,French Guiana,,321.0,8588,5.0,53
2020-08-23,GF,French Guiana,,209.0,8797,2.0,55
2020-08-30,GF,French Guiana,,279.0,9076,3.0,58
2020-09-06,GF,French Guiana,,246.0,9322,4.0,62
2020-09-13,GF,French Guiana,,199.0,9521,1.0,63
2020-09-20,GF,French Guiana,,171.0,9692,2.0,65
2020-09-27,GF,French Guiana,,171.0,9863,0.0,65
2020-10-04,GF,French Guiana,,166.0,10029,2.0,67
2020-10-11,GF,French Guiana,,115.0,10144,2.0,69
2020-10-18,GF,French Guiana,,95.0,10239,0.0,69
2020-10-25,GF,French Guiana,,137.0,10376,0.0,69
2020-11-01,GF,French Guiana,,160.0,10536,1.0,70
2020-11-08,GF,French Guiana,,168.0,10704,0.0,70
2020-11-15,GF,French Guiana,,140.0,10844,0.0,70
2020-11-22,GF,French Guiana,,170.0,11014,0.0,70
2020-11-29,GF,French Guiana,,165.0,11179,0.0,70
2020-12-06,GF,French Guiana,,228.0,11407,1.0,71
2020-12-13,GF,French Guiana,,393.0,11800,0.0,71
2020-12-20,GF,French Guiana,,569.0,12369,0.0,71
2020-12-27,GF,French Guiana,,404.0,12773,0.0,71
2021-01-03,GF,French Guiana,,500.0,13273,0.0,71
2021-01-10,GF,French Guiana,,840.0,14113,3.0,74
2021-01-17,GF,French Guiana,,862.0,14975,1.0,75
2021-01-24,GF,French Guiana,,689.0,15664,1.0,76
2021-01-31,GF,French Guiana,,419.0,16083,0.0,76
2021-02-07,GF,French Guiana,,213.0,16296,3.0,79
2021-02-14,GF,French Guiana,,160.0,16456,1.0,80
2021-02-21,GF,French Guiana,,73.0,16529,3.0,83
2021-02-28,GF,French Guiana,,98.0,16627,2.0,85
2021-03-07,GF,French Guiana,,66.0,16693,2.0,87
2021-03-14,GF,French Guiana,,71.0,16764,0.0,87
2021-03-21,GF,French Guiana,,0.0,16764,0.0,87
2021-03-28,GF,French Guiana,,158.0,16922,2.0,89
2021-04-04,GF,French Guiana,,210.0,17132,4.0,93
2021-04-11,GF,French Guiana,,417.0,17549,1.0,94
2021-04-18,GF,French Guiana,,532.0,18081,1.0,95
2021-04-25,GF,French Guiana,,745.0,18826,3.0,98
2021-05-02,GF,French Guiana,,717.0,19543,3.0,101
2021-05-09,GF,French Guiana,,823.0,20366,3.0,104
2021-05-16,GF,French Guiana,,1099.0,21465,4.0,108
2021-05-23,GF,French Guiana,,1315.0,22780,4.0,112
2021-05-30,GF,French Guiana,,983.0,23763,4.0,116
2021-06-06,GF,French Guiana,,962.0,24725,5.0,121
2021-06-13,GF,French Guiana,,781.0,25506,12.0,133
2021-06-20,GF,French Guiana,,944.0,26450,8.0,141
2021-06-27,GF,French Guiana,,836.0,27286,1.0,142
2021-07-04,GF,French Guiana,,444.0,27730,6.0,148
2021-07-11,GF,French Guiana,,551.0,28281,9.0,157
2021-07-18,GF,French Guiana,,522.0,28803,6.0,163
2021-07-25,GF,French Guiana,,730.0,29533,11.0,174
2021-08-01,GF,French Guiana,,631.0,30164,13.0,187
2021-08-08,GF,French Guiana,,711.0,30875,6.0,193
