Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-15,GH,Ghana,AFRO,8.0,8,0.0,0
2020-03-22,GH,Ghana,AFRO,23.0,31,0.0,0
2020-03-29,GH,Ghana,AFRO,110.0,141,0.0,0
2020-04-05,GH,Ghana,AFRO,73.0,214,0.0,0
2020-04-12,GH,Ghana,AFRO,352.0,566,0.0,0
2020-04-19,GH,Ghana,AFRO,268.0,834,0.0,0
2020-04-26,GH,Ghana,AFRO,445.0,1279,0.0,0
2020-05-03,GH,Ghana,AFRO,890.0,2169,0.0,0
2020-05-10,GH,Ghana,AFRO,2094.0,4263,0.0,0
2020-05-17,GH,Ghana,AFRO,1472.0,5735,0.0,0
2020-05-24,GH,Ghana,AFRO,882.0,6617,0.0,0
2020-05-31,GH,Ghana,AFRO,1151.0,7768,0.0,0
2020-06-07,GH,Ghana,AFRO,1694.0,9462,0.0,0
2020-06-14,GH,Ghana,AFRO,2502.0,11964,0.0,0
2020-06-21,GH,Ghana,AFRO,2190.0,14154,0.0,0
2020-06-28,GH,Ghana,AFRO,3197.0,17351,0.0,0
2020-07-05,GH,Ghana,AFRO,4617.0,21968,0.0,0
2020-07-12,GH,Ghana,AFRO,3284.0,25252,0.0,0
2020-07-19,GH,Ghana,AFRO,3737.0,28989,0.0,0
2020-07-26,GH,Ghana,AFRO,4635.0,33624,0.0,0
2020-08-02,GH,Ghana,AFRO,4877.0,38501,0.0,0
2020-08-09,GH,Ghana,AFRO,2903.0,41404,0.0,0
2020-08-16,GH,Ghana,AFRO,1249.0,42653,0.0,0
2020-08-23,GH,Ghana,AFRO,1064.0,43717,0.0,0
2020-08-30,GH,Ghana,AFRO,743.0,44460,0.0,0
2020-09-06,GH,Ghana,AFRO,728.0,45188,0.0,0
2020-09-13,GH,Ghana,AFRO,467.0,45655,0.0,0
2020-09-20,GH,Ghana,AFRO,461.0,46116,0.0,0
2020-09-27,GH,Ghana,AFRO,510.0,46626,301.0,301
2020-10-04,GH,Ghana,AFRO,203.0,46829,2.0,303
2020-10-11,GH,Ghana,AFRO,297.0,47126,7.0,310
2020-10-18,GH,Ghana,AFRO,335.0,47461,2.0,312
2020-10-25,GH,Ghana,AFRO,314.0,47775,4.0,316
2020-11-01,GH,Ghana,AFRO,736.0,48511,4.0,320
2020-11-08,GH,Ghana,AFRO,791.0,49302,0.0,320
2020-11-15,GH,Ghana,AFRO,1155.0,50457,3.0,323
2020-11-22,GH,Ghana,AFRO,727.0,51184,0.0,323
2020-11-29,GH,Ghana,AFRO,606.0,51790,0.0,323
2020-12-06,GH,Ghana,AFRO,832.0,52622,3.0,326
2020-12-13,GH,Ghana,AFRO,764.0,53386,1.0,327
2020-12-20,GH,Ghana,AFRO,657.0,54043,6.0,333
2020-12-27,GH,Ghana,AFRO,638.0,54681,2.0,335
2021-01-03,GH,Ghana,AFRO,487.0,55168,0.0,335
2021-01-10,GH,Ghana,AFRO,1253.0,56421,3.0,338
2021-01-17,GH,Ghana,AFRO,2010.0,58431,20.0,358
2021-01-24,GH,Ghana,AFRO,4320.0,62751,19.0,377
2021-01-31,GH,Ghana,AFRO,5031.0,67782,47.0,424
2021-02-07,GH,Ghana,AFRO,5221.0,73003,58.0,482
2021-02-14,GH,Ghana,AFRO,4745.0,77748,79.0,561
2021-02-21,GH,Ghana,AFRO,3497.0,81245,23.0,584
2021-02-28,GH,Ghana,AFRO,3104.0,84349,27.0,611
2021-03-07,GH,Ghana,AFRO,2624.0,86973,51.0,662
2021-03-14,GH,Ghana,AFRO,1448.0,88421,43.0,705
2021-03-21,GH,Ghana,AFRO,1472.0,89893,29.0,734
2021-03-28,GH,Ghana,AFRO,659.0,90552,8.0,742
2021-04-04,GH,Ghana,AFRO,457.0,91009,10.0,752
2021-04-11,GH,Ghana,AFRO,468.0,91477,11.0,763
2021-04-18,GH,Ghana,AFRO,306.0,91783,9.0,772
2021-04-25,GH,Ghana,AFRO,681.0,92464,7.0,779
2021-05-02,GH,Ghana,AFRO,276.0,92740,1.0,780
2021-05-09,GH,Ghana,AFRO,271.0,93011,3.0,783
2021-05-16,GH,Ghana,AFRO,445.0,93456,0.0,783
2021-05-23,GH,Ghana,AFRO,255.0,93711,0.0,783
2021-05-30,GH,Ghana,AFRO,300.0,94011,2.0,785
2021-06-06,GH,Ghana,AFRO,358.0,94369,4.0,789
2021-06-13,GH,Ghana,AFRO,455.0,94824,1.0,790
2021-06-20,GH,Ghana,AFRO,412.0,95236,4.0,794
