Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-08,GI,Gibraltar,,1.0,1,0.0,0
2020-03-15,GI,Gibraltar,,0.0,1,0.0,0
2020-03-22,GI,Gibraltar,,9.0,10,0.0,0
2020-03-29,GI,Gibraltar,,38.0,48,0.0,0
2020-04-05,GI,Gibraltar,,42.0,90,0.0,0
2020-04-12,GI,Gibraltar,,15.0,105,0.0,0
2020-04-19,GI,Gibraltar,,20.0,125,0.0,0
2020-04-26,GI,Gibraltar,,3.0,128,0.0,0
2020-05-03,GI,Gibraltar,,8.0,136,0.0,0
2020-05-10,GI,Gibraltar,,2.0,138,0.0,0
2020-05-17,GI,Gibraltar,,1.0,139,0.0,0
2020-05-24,GI,Gibraltar,,4.0,143,0.0,0
2020-05-31,GI,Gibraltar,,10.0,153,0.0,0
2020-06-07,GI,Gibraltar,,13.0,166,0.0,0
2020-06-14,GI,Gibraltar,,2.0,168,0.0,0
2020-06-21,GI,Gibraltar,,0.0,168,0.0,0
2020-06-28,GI,Gibraltar,,0.0,168,0.0,0
2020-07-05,GI,Gibraltar,,2.0,170,0.0,0
2020-07-12,GI,Gibraltar,,2.0,172,0.0,0
2020-07-19,GI,Gibraltar,,0.0,172,0.0,0
2020-07-26,GI,Gibraltar,,5.0,177,0.0,0
2020-08-02,GI,Gibraltar,,2.0,179,0.0,0
2020-08-09,GI,Gibraltar,,6.0,185,0.0,0
2020-08-16,GI,Gibraltar,,13.0,198,0.0,0
2020-08-23,GI,Gibraltar,,23.0,221,0.0,0
2020-08-30,GI,Gibraltar,,45.0,266,0.0,0
2020-09-06,GI,Gibraltar,,31.0,297,0.0,0
2020-09-13,GI,Gibraltar,,18.0,315,0.0,0
2020-09-20,GI,Gibraltar,,23.0,338,0.0,0
2020-09-27,GI,Gibraltar,,18.0,356,0.0,0
2020-10-04,GI,Gibraltar,,52.0,408,0.0,0
2020-10-11,GI,Gibraltar,,52.0,460,0.0,0
2020-10-18,GI,Gibraltar,,76.0,536,0.0,0
2020-10-25,GI,Gibraltar,,97.0,633,0.0,0
2020-11-01,GI,Gibraltar,,52.0,685,0.0,0
2020-11-08,GI,Gibraltar,,77.0,762,0.0,0
2020-11-15,GI,Gibraltar,,106.0,868,1.0,1
2020-11-22,GI,Gibraltar,,67.0,935,2.0,3
2020-11-29,GI,Gibraltar,,56.0,991,2.0,5
2020-12-06,GI,Gibraltar,,43.0,1034,0.0,5
2020-12-13,GI,Gibraltar,,28.0,1062,0.0,5
2020-12-20,GI,Gibraltar,,114.0,1176,1.0,6
2020-12-27,GI,Gibraltar,,350.0,1526,0.0,6
2021-01-03,GI,Gibraltar,,678.0,2204,1.0,7
2021-01-10,GI,Gibraltar,,809.0,3013,5.0,12
2021-01-17,GI,Gibraltar,,554.0,3567,18.0,30
2021-01-24,GI,Gibraltar,,330.0,3897,29.0,59
2021-01-31,GI,Gibraltar,,191.0,4088,14.0,73
2021-02-07,GI,Gibraltar,,74.0,4162,7.0,80
2021-02-14,GI,Gibraltar,,42.0,4204,4.0,84
2021-02-21,GI,Gibraltar,,16.0,4220,4.0,88
