Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-22,GL,Greenland,EURO,2.0,2,0.0,0
2020-03-29,GL,Greenland,EURO,8.0,10,0.0,0
2020-04-05,GL,Greenland,EURO,0.0,10,0.0,0
2020-04-12,GL,Greenland,EURO,1.0,11,0.0,0
2020-04-19,GL,Greenland,EURO,0.0,11,0.0,0
2020-04-26,GL,Greenland,EURO,0.0,11,0.0,0
2020-05-03,GL,Greenland,EURO,0.0,11,0.0,0
2020-05-10,GL,Greenland,EURO,0.0,11,0.0,0
2020-05-17,GL,Greenland,EURO,0.0,11,0.0,0
2020-05-24,GL,Greenland,EURO,0.0,11,0.0,0
2020-05-31,GL,Greenland,EURO,2.0,13,0.0,0
2020-06-07,GL,Greenland,EURO,0.0,13,0.0,0
2020-06-14,GL,Greenland,EURO,0.0,13,0.0,0
2020-06-21,GL,Greenland,EURO,0.0,13,0.0,0
2020-06-28,GL,Greenland,EURO,0.0,13,0.0,0
2020-07-05,GL,Greenland,EURO,0.0,13,0.0,0
2020-07-12,GL,Greenland,EURO,0.0,13,0.0,0
2020-07-19,GL,Greenland,EURO,0.0,13,0.0,0
2020-07-26,GL,Greenland,EURO,0.0,13,0.0,0
2020-08-02,GL,Greenland,EURO,1.0,14,0.0,0
2020-08-09,GL,Greenland,EURO,0.0,14,0.0,0
2020-08-16,GL,Greenland,EURO,0.0,14,0.0,0
2020-08-23,GL,Greenland,EURO,0.0,14,0.0,0
2020-08-30,GL,Greenland,EURO,0.0,14,0.0,0
2020-09-06,GL,Greenland,EURO,0.0,14,0.0,0
2020-09-13,GL,Greenland,EURO,0.0,14,0.0,0
2020-09-20,GL,Greenland,EURO,0.0,14,0.0,0
2020-09-27,GL,Greenland,EURO,0.0,14,0.0,0
2020-10-04,GL,Greenland,EURO,0.0,14,0.0,0
2020-10-11,GL,Greenland,EURO,2.0,16,0.0,0
2020-10-18,GL,Greenland,EURO,0.0,16,0.0,0
2020-10-25,GL,Greenland,EURO,1.0,17,0.0,0
2020-11-01,GL,Greenland,EURO,0.0,17,0.0,0
2020-11-08,GL,Greenland,EURO,0.0,17,0.0,0
2020-11-15,GL,Greenland,EURO,0.0,17,0.0,0
2020-11-22,GL,Greenland,EURO,1.0,18,0.0,0
2020-11-29,GL,Greenland,EURO,0.0,18,0.0,0
2020-12-06,GL,Greenland,EURO,0.0,18,0.0,0
2020-12-13,GL,Greenland,EURO,1.0,19,0.0,0
