Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-15,GQ,Equatorial Guinea,AFRO,1.0,1,0.0,0
2020-03-22,GQ,Equatorial Guinea,AFRO,5.0,6,0.0,0
2020-03-29,GQ,Equatorial Guinea,AFRO,7.0,13,0.0,0
2020-04-05,GQ,Equatorial Guinea,AFRO,3.0,16,0.0,0
2020-04-12,GQ,Equatorial Guinea,AFRO,5.0,21,0.0,0
2020-04-19,GQ,Equatorial Guinea,AFRO,58.0,79,0.0,0
2020-04-26,GQ,Equatorial Guinea,AFRO,206.0,285,1.0,1
2020-05-03,GQ,Equatorial Guinea,AFRO,220.0,505,3.0,4
2020-05-10,GQ,Equatorial Guinea,AFRO,183.0,688,3.0,7
2020-05-17,GQ,Equatorial Guinea,AFRO,239.0,927,0.0,7
2020-05-24,GQ,Equatorial Guinea,AFRO,386.0,1313,5.0,12
2020-05-31,GQ,Equatorial Guinea,AFRO,415.0,1728,0.0,12
2020-06-07,GQ,Equatorial Guinea,AFRO,460.0,2188,0.0,12
2020-06-14,GQ,Equatorial Guinea,AFRO,306.0,2494,0.0,12
2020-06-21,GQ,Equatorial Guinea,AFRO,298.0,2792,29.0,41
2020-06-28,GQ,Equatorial Guinea,AFRO,683.0,3475,0.0,41
2020-07-05,GQ,Equatorial Guinea,AFRO,446.0,3921,0.0,41
2020-07-12,GQ,Equatorial Guinea,AFRO,316.0,4237,0.0,41
2020-07-19,GQ,Equatorial Guinea,AFRO,398.0,4635,0.0,41
2020-07-26,GQ,Equatorial Guinea,AFRO,143.0,4778,0.0,41
2020-08-02,GQ,Equatorial Guinea,AFRO,43.0,4821,42.0,83
2020-08-09,GQ,Equatorial Guinea,AFRO,0.0,4821,0.0,83
2020-08-16,GQ,Equatorial Guinea,AFRO,0.0,4821,0.0,83
2020-08-23,GQ,Equatorial Guinea,AFRO,105.0,4926,0.0,83
2020-08-30,GQ,Equatorial Guinea,AFRO,15.0,4941,0.0,83
2020-09-06,GQ,Equatorial Guinea,AFRO,31.0,4972,0.0,83
2020-09-13,GQ,Equatorial Guinea,AFRO,24.0,4996,0.0,83
2020-09-20,GQ,Equatorial Guinea,AFRO,6.0,5002,0.0,83
2020-09-27,GQ,Equatorial Guinea,AFRO,26.0,5028,0.0,83
2020-10-04,GQ,Equatorial Guinea,AFRO,17.0,5045,0.0,83
2020-10-11,GQ,Equatorial Guinea,AFRO,21.0,5066,0.0,83
2020-10-18,GQ,Equatorial Guinea,AFRO,4.0,5070,0.0,83
2020-10-25,GQ,Equatorial Guinea,AFRO,9.0,5079,0.0,83
2020-11-01,GQ,Equatorial Guinea,AFRO,9.0,5088,0.0,83
2020-11-08,GQ,Equatorial Guinea,AFRO,4.0,5092,2.0,85
2020-11-15,GQ,Equatorial Guinea,AFRO,12.0,5104,0.0,85
2020-11-22,GQ,Equatorial Guinea,AFRO,26.0,5130,0.0,85
2020-11-29,GQ,Equatorial Guinea,AFRO,23.0,5153,0.0,85
2020-12-06,GQ,Equatorial Guinea,AFRO,13.0,5166,0.0,85
2020-12-13,GQ,Equatorial Guinea,AFRO,19.0,5185,0.0,85
2020-12-20,GQ,Equatorial Guinea,AFRO,29.0,5214,0.0,85
2020-12-27,GQ,Equatorial Guinea,AFRO,22.0,5236,1.0,86
2021-01-03,GQ,Equatorial Guinea,AFRO,43.0,5279,0.0,86
2021-01-10,GQ,Equatorial Guinea,AFRO,17.0,5296,0.0,86
2021-01-17,GQ,Equatorial Guinea,AFRO,69.0,5365,0.0,86
2021-01-24,GQ,Equatorial Guinea,AFRO,89.0,5454,0.0,86
2021-01-31,GQ,Equatorial Guinea,AFRO,80.0,5534,0.0,86
2021-02-07,GQ,Equatorial Guinea,AFRO,80.0,5614,1.0,87
2021-02-14,GQ,Equatorial Guinea,AFRO,80.0,5694,0.0,87
2021-02-21,GQ,Equatorial Guinea,AFRO,104.0,5798,2.0,89
2021-02-28,GQ,Equatorial Guinea,AFRO,297.0,6095,3.0,92
