Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-15,GY,Guyana,AMRO,1.0,1,1.0,1
2020-03-22,GY,Guyana,AMRO,4.0,5,0.0,1
2020-03-29,GY,Guyana,AMRO,0.0,5,0.0,1
2020-04-05,GY,Guyana,AMRO,18.0,23,3.0,4
2020-04-12,GY,Guyana,AMRO,14.0,37,2.0,6
2020-04-19,GY,Guyana,AMRO,26.0,63,0.0,6
2020-04-26,GY,Guyana,AMRO,10.0,73,1.0,7
2020-05-03,GY,Guyana,AMRO,9.0,82,2.0,9
2020-05-10,GY,Guyana,AMRO,11.0,93,1.0,10
2020-05-17,GY,Guyana,AMRO,23.0,116,0.0,10
2020-05-24,GY,Guyana,AMRO,11.0,127,0.0,10
2020-05-31,GY,Guyana,AMRO,23.0,150,1.0,11
2020-06-07,GY,Guyana,AMRO,3.0,153,1.0,12
2020-06-14,GY,Guyana,AMRO,6.0,159,0.0,12
2020-06-21,GY,Guyana,AMRO,24.0,183,0.0,12
2020-06-28,GY,Guyana,AMRO,47.0,230,0.0,12
2020-07-05,GY,Guyana,AMRO,26.0,256,2.0,14
2020-07-12,GY,Guyana,AMRO,34.0,290,2.0,16
2020-07-19,GY,Guyana,AMRO,30.0,320,3.0,19
2020-07-26,GY,Guyana,AMRO,32.0,352,1.0,20
2020-08-02,GY,Guyana,AMRO,61.0,413,0.0,20
2020-08-09,GY,Guyana,AMRO,125.0,538,2.0,22
2020-08-16,GY,Guyana,AMRO,111.0,649,0.0,22
2020-08-23,GY,Guyana,AMRO,232.0,881,8.0,30
2020-08-30,GY,Guyana,AMRO,299.0,1180,5.0,35
2020-09-06,GY,Guyana,AMRO,236.0,1416,9.0,44
2020-09-13,GY,Guyana,AMRO,347.0,1763,8.0,52
2020-09-20,GY,Guyana,AMRO,339.0,2102,10.0,62
2020-09-27,GY,Guyana,AMRO,607.0,2709,11.0,73
2020-10-04,GY,Guyana,AMRO,259.0,2968,12.0,85
2020-10-11,GY,Guyana,AMRO,390.0,3358,15.0,100
2020-10-18,GY,Guyana,AMRO,314.0,3672,7.0,107
2020-10-25,GY,Guyana,AMRO,288.0,3960,10.0,117
2020-11-01,GY,Guyana,AMRO,183.0,4143,7.0,124
2020-11-08,GY,Guyana,AMRO,314.0,4457,9.0,133
2020-11-15,GY,Guyana,AMRO,267.0,4724,5.0,138
2020-11-22,GY,Guyana,AMRO,281.0,5005,5.0,143
2020-11-29,GY,Guyana,AMRO,305.0,5310,6.0,149
2020-12-06,GY,Guyana,AMRO,291.0,5601,2.0,151
2020-12-13,GY,Guyana,AMRO,238.0,5839,3.0,154
2020-12-20,GY,Guyana,AMRO,237.0,6076,5.0,159
2020-12-27,GY,Guyana,AMRO,213.0,6289,3.0,162
2021-01-03,GY,Guyana,AMRO,62.0,6351,2.0,164
2021-01-10,GY,Guyana,AMRO,118.0,6469,3.0,167
2021-01-17,GY,Guyana,AMRO,336.0,6805,3.0,170
2021-01-24,GY,Guyana,AMRO,338.0,7143,0.0,170
