Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-22,HT,Haiti,AMRO,2.0,2,0.0,0
2020-03-29,HT,Haiti,AMRO,6.0,8,0.0,0
2020-04-05,HT,Haiti,AMRO,10.0,18,0.0,0
2020-04-12,HT,Haiti,AMRO,13.0,31,2.0,2
2020-04-19,HT,Haiti,AMRO,13.0,44,1.0,3
2020-04-26,HT,Haiti,AMRO,28.0,72,3.0,6
2020-05-03,HT,Haiti,AMRO,13.0,85,2.0,8
2020-05-10,HT,Haiti,AMRO,61.0,146,4.0,12
2020-05-17,HT,Haiti,AMRO,164.0,310,8.0,20
2020-05-24,HT,Haiti,AMRO,502.0,812,5.0,25
2020-05-31,HT,Haiti,AMRO,772.0,1584,10.0,35
2020-06-07,HT,Haiti,AMRO,1340.0,2924,15.0,50
2020-06-14,HT,Haiti,AMRO,1017.0,3941,14.0,64
2020-06-21,HT,Haiti,AMRO,1039.0,4980,23.0,87
2020-06-28,HT,Haiti,AMRO,742.0,5722,11.0,98
2020-07-05,HT,Haiti,AMRO,508.0,6230,12.0,110
2020-07-12,HT,Haiti,AMRO,387.0,6617,25.0,135
2020-07-19,HT,Haiti,AMRO,358.0,6975,11.0,146
2020-07-26,HT,Haiti,AMRO,285.0,7260,10.0,156
2020-08-02,HT,Haiti,AMRO,164.0,7424,5.0,161
2020-08-09,HT,Haiti,AMRO,175.0,7599,16.0,177
2020-08-16,HT,Haiti,AMRO,232.0,7831,19.0,196
2020-08-23,HT,Haiti,AMRO,219.0,8050,0.0,196
2020-08-30,HT,Haiti,AMRO,124.0,8174,5.0,201
2020-09-06,HT,Haiti,AMRO,152.0,8326,11.0,212
2020-09-13,HT,Haiti,AMRO,131.0,8457,4.0,216
2020-09-20,HT,Haiti,AMRO,143.0,8600,5.0,221
2020-09-27,HT,Haiti,AMRO,84.0,8684,6.0,227
2020-10-04,HT,Haiti,AMRO,108.0,8792,2.0,229
2020-10-11,HT,Haiti,AMRO,68.0,8860,1.0,230
2020-10-18,HT,Haiti,AMRO,65.0,8925,1.0,231
