Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-08,HU,Hungary,EURO,7.0,7,0.0,0
2020-03-15,HU,Hungary,EURO,24.0,31,0.0,0
2020-03-22,HU,Hungary,EURO,100.0,131,4.0,4
2020-03-29,HU,Hungary,EURO,277.0,408,9.0,13
2020-04-05,HU,Hungary,EURO,325.0,733,21.0,34
2020-04-12,HU,Hungary,EURO,677.0,1410,65.0,99
2020-04-19,HU,Hungary,EURO,506.0,1916,90.0,189
2020-04-26,HU,Hungary,EURO,584.0,2500,83.0,272
2020-05-03,HU,Hungary,EURO,498.0,2998,68.0,340
2020-05-10,HU,Hungary,EURO,265.0,3263,73.0,413
2020-05-17,HU,Hungary,EURO,246.0,3509,38.0,451
2020-05-24,HU,Hungary,EURO,232.0,3741,35.0,486
2020-05-31,HU,Hungary,EURO,126.0,3867,38.0,524
2020-06-07,HU,Hungary,EURO,103.0,3970,18.0,542
2020-06-14,HU,Hungary,EURO,94.0,4064,17.0,559
2020-06-21,HU,Hungary,EURO,30.0,4094,11.0,570
2020-06-28,HU,Hungary,EURO,44.0,4138,8.0,578
2020-07-05,HU,Hungary,EURO,45.0,4183,11.0,589
2020-07-12,HU,Hungary,EURO,46.0,4229,6.0,595
2020-07-19,HU,Hungary,EURO,86.0,4315,1.0,596
2020-07-26,HU,Hungary,EURO,120.0,4435,0.0,596
2020-08-02,HU,Hungary,EURO,91.0,4526,1.0,597
2020-08-09,HU,Hungary,EURO,127.0,4653,5.0,602
2020-08-16,HU,Hungary,EURO,224.0,4877,5.0,607
2020-08-23,HU,Hungary,EURO,256.0,5133,4.0,611
2020-08-30,HU,Hungary,EURO,536.0,5669,3.0,614
2020-09-06,HU,Hungary,EURO,2223.0,7892,10.0,624
2020-09-13,HU,Hungary,EURO,3933.0,11825,9.0,633
2020-09-20,HU,Hungary,EURO,6165.0,17990,50.0,683
2020-09-27,HU,Hungary,EURO,6024.0,24014,53.0,736
2020-10-04,HU,Hungary,EURO,6561.0,30575,86.0,822
2020-10-11,HU,Hungary,EURO,7089.0,37664,132.0,954
2020-10-18,HU,Hungary,EURO,8626.0,46290,188.0,1142
2020-10-25,HU,Hungary,EURO,12957.0,59247,283.0,1425
2020-11-01,HU,Hungary,EURO,19952.0,79199,394.0,1819
2020-11-08,HU,Hungary,EURO,30417.0,109616,619.0,2438
2020-11-15,HU,Hungary,EURO,31345.0,140961,659.0,3097
2020-11-22,HU,Hungary,EURO,33657.0,174618,703.0,3800
2020-11-29,HU,Hungary,EURO,36909.0,211527,872.0,4672
2020-12-06,HU,Hungary,EURO,38751.0,250278,1196.0,5868
2020-12-13,HU,Hungary,EURO,30122.0,280400,1097.0,6965
2020-12-20,HU,Hungary,EURO,22589.0,302989,1134.0,8099
2020-12-27,HU,Hungary,EURO,13071.0,316060,948.0,9047
2021-01-03,HU,Hungary,EURO,11935.0,327995,837.0,9884
2021-01-10,HU,Hungary,EURO,14242.0,342237,764.0,10648
2021-01-17,HU,Hungary,EURO,9591.0,351828,693.0,11341
2021-01-24,HU,Hungary,EURO,7746.0,359574,627.0,11968
2021-01-31,HU,Hungary,EURO,8012.0,367586,556.0,12524
2021-02-07,HU,Hungary,EURO,8909.0,376495,566.0,13090
2021-02-14,HU,Hungary,EURO,10967.0,387462,616.0,13706
2021-02-21,HU,Hungary,EURO,15561.0,403023,593.0,14299
2021-02-28,HU,Hungary,EURO,25576.0,428599,675.0,14974
2021-03-07,HU,Hungary,EURO,37418.0,466017,899.0,15873
2021-03-14,HU,Hungary,EURO,50473.0,516490,1079.0,16952
2021-03-21,HU,Hungary,EURO,55106.0,571596,1310.0,18262
2021-03-28,HU,Hungary,EURO,62265.0,633861,1710.0,19972
2021-04-04,HU,Hungary,EURO,52118.0,685979,1743.0,21715
2021-04-11,HU,Hungary,EURO,34185.0,720164,1702.0,23417
2021-04-18,HU,Hungary,EURO,30344.0,750508,1767.0,25184
2021-04-25,HU,Hungary,EURO,19010.0,769518,1441.0,26625
2021-05-02,HU,Hungary,EURO,13374.0,782892,1177.0,27802
2021-05-09,HU,Hungary,EURO,8817.0,791709,800.0,28602
2021-05-16,HU,Hungary,EURO,6438.0,798147,573.0,29175
2021-05-23,HU,Hungary,EURO,3941.0,802088,344.0,29519
2021-05-30,HU,Hungary,EURO,1944.0,804032,190.0,29709
