Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-22,IM,Isle of Man,,2.0,2,0.0,0
2020-03-29,IM,Isle of Man,,30.0,32,0.0,0
2020-04-05,IM,Isle of Man,,88.0,120,1.0,1
2020-04-12,IM,Isle of Man,,86.0,206,5.0,6
2020-04-19,IM,Isle of Man,,87.0,293,3.0,9
2020-04-26,IM,Isle of Man,,17.0,310,14.0,23
2020-05-03,IM,Isle of Man,,11.0,321,5.0,28
2020-05-10,IM,Isle of Man,,10.0,331,5.0,33
2020-05-17,IM,Isle of Man,,6.0,337,1.0,34
2020-05-24,IM,Isle of Man,,1.0,338,0.0,34
2020-05-31,IM,Isle of Man,,0.0,338,0.0,34
2020-06-07,IM,Isle of Man,,0.0,338,0.0,34
2020-06-14,IM,Isle of Man,,0.0,338,0.0,34
2020-06-21,IM,Isle of Man,,0.0,338,0.0,34
2020-06-28,IM,Isle of Man,,0.0,338,0.0,34
2020-07-05,IM,Isle of Man,,0.0,338,0.0,34
2020-07-12,IM,Isle of Man,,0.0,338,0.0,34
2020-07-19,IM,Isle of Man,,0.0,338,0.0,34
2020-07-26,IM,Isle of Man,,0.0,338,0.0,34
2020-08-02,IM,Isle of Man,,0.0,338,0.0,34
2020-08-09,IM,Isle of Man,,0.0,338,0.0,34
2020-08-16,IM,Isle of Man,,0.0,338,0.0,34
2020-08-23,IM,Isle of Man,,0.0,338,0.0,34
2020-08-30,IM,Isle of Man,,0.0,338,0.0,34
2020-09-06,IM,Isle of Man,,0.0,338,0.0,34
2020-09-13,IM,Isle of Man,,1.0,339,0.0,34
2020-09-20,IM,Isle of Man,,2.0,341,0.0,34
2020-09-27,IM,Isle of Man,,1.0,342,0.0,34
2020-10-04,IM,Isle of Man,,1.0,343,0.0,34
2020-10-11,IM,Isle of Man,,4.0,347,0.0,34
2020-10-18,IM,Isle of Man,,3.0,350,0.0,34
2020-10-25,IM,Isle of Man,,0.0,350,0.0,34
2020-11-01,IM,Isle of Man,,5.0,355,0.0,34
2020-11-08,IM,Isle of Man,,4.0,359,0.0,34
2020-11-15,IM,Isle of Man,,6.0,365,1.0,35
2020-11-22,IM,Isle of Man,,5.0,370,0.0,35
2020-11-29,IM,Isle of Man,,1.0,371,0.0,35
2020-12-06,IM,Isle of Man,,1.0,372,0.0,35
2020-12-13,IM,Isle of Man,,0.0,372,0.0,35
2020-12-20,IM,Isle of Man,,3.0,375,0.0,35
2020-12-27,IM,Isle of Man,,2.0,377,0.0,35
2021-01-03,IM,Isle of Man,,5.0,382,0.0,35
2021-01-10,IM,Isle of Man,,14.0,396,0.0,35
2021-01-17,IM,Isle of Man,,32.0,428,0.0,35
2021-01-24,IM,Isle of Man,,4.0,432,0.0,35
2021-01-31,IM,Isle of Man,,2.0,434,0.0,35
2021-02-07,IM,Isle of Man,,0.0,434,0.0,35
