Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-02-23,IR,Iran (Islamic Republic of),EMRO,28.0,28,5.0,5
2020-03-01,IR,Iran (Islamic Republic of),EMRO,565.0,593,38.0,43
2020-03-08,IR,Iran (Islamic Republic of),EMRO,5230.0,5823,102.0,145
2020-03-15,IR,Iran (Islamic Republic of),EMRO,6906.0,12729,466.0,611
2020-03-22,IR,Iran (Islamic Republic of),EMRO,7881.0,20610,945.0,1556
2020-03-29,IR,Iran (Islamic Republic of),EMRO,14798.0,35408,961.0,2517
2020-04-05,IR,Iran (Islamic Republic of),EMRO,20335.0,55743,935.0,3452
2020-04-12,IR,Iran (Islamic Republic of),EMRO,14286.0,70029,905.0,4357
2020-04-19,IR,Iran (Islamic Republic of),EMRO,10839.0,80868,674.0,5031
2020-04-26,IR,Iran (Islamic Republic of),EMRO,8460.0,89328,619.0,5650
2020-05-03,IR,Iran (Islamic Republic of),EMRO,7120.0,96448,506.0,6156
2020-05-10,IR,Iran (Islamic Republic of),EMRO,9772.0,106220,433.0,6589
2020-05-17,IR,Iran (Islamic Republic of),EMRO,12172.0,118392,348.0,6937
2020-05-24,IR,Iran (Islamic Republic of),EMRO,15129.0,133521,422.0,7359
2020-05-31,IR,Iran (Islamic Republic of),EMRO,15429.0,148950,375.0,7734
2020-06-07,IR,Iran (Islamic Republic of),EMRO,20475.0,169425,475.0,8209
2020-06-14,IR,Iran (Islamic Republic of),EMRO,15530.0,184955,521.0,8730
2020-06-21,IR,Iran (Islamic Republic of),EMRO,17629.0,202584,777.0,9507
2020-06-28,IR,Iran (Islamic Republic of),EMRO,17596.0,220180,857.0,10364
2020-07-05,IR,Iran (Islamic Republic of),EMRO,17698.0,237878,1044.0,11408
2020-07-12,IR,Iran (Islamic Republic of),EMRO,17239.0,255117,1227.0,12635
2020-07-19,IR,Iran (Islamic Republic of),EMRO,16489.0,271606,1344.0,13979
2020-07-26,IR,Iran (Islamic Republic of),EMRO,17233.0,288839,1505.0,15484
2020-08-02,IR,Iran (Islamic Republic of),EMRO,17913.0,306752,1498.0,16982
2020-08-09,IR,Iran (Islamic Republic of),EMRO,17940.0,324692,1282.0,18264
2020-08-16,IR,Iran (Islamic Republic of),EMRO,16378.0,341070,1228.0,19492
2020-08-23,IR,Iran (Islamic Republic of),EMRO,15722.0,356792,1010.0,20502
2020-08-30,IR,Iran (Islamic Republic of),EMRO,15024.0,371816,857.0,21359
2020-09-06,IR,Iran (Islamic Republic of),EMRO,12850.0,384666,795.0,22154
2020-09-13,IR,Iran (Islamic Republic of),EMRO,15274.0,399940,875.0,23029
2020-09-20,IR,Iran (Islamic Republic of),EMRO,19103.0,419043,1089.0,24118
2020-09-27,IR,Iran (Islamic Republic of),EMRO,24043.0,443086,1276.0,25394
2020-10-04,IR,Iran (Islamic Republic of),EMRO,25033.0,468119,1352.0,26746
