Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-02-09,IS,Iceland,EURO,15.0,15,0.0,0
2020-02-16,IS,Iceland,EURO,0.0,15,0.0,0
2020-02-23,IS,Iceland,EURO,0.0,15,0.0,0
2020-03-01,IS,Iceland,EURO,7.0,22,0.0,0
2020-03-08,IS,Iceland,EURO,53.0,75,0.0,0
2020-03-15,IS,Iceland,EURO,117.0,192,0.0,0
2020-03-22,IS,Iceland,EURO,461.0,653,1.0,1
2020-03-29,IS,Iceland,EURO,509.0,1162,1.0,2
2020-04-05,IS,Iceland,EURO,440.0,1602,4.0,6
2020-04-12,IS,Iceland,EURO,135.0,1737,2.0,8
2020-04-19,IS,Iceland,EURO,53.0,1790,1.0,9
2020-04-26,IS,Iceland,EURO,16.0,1806,1.0,10
2020-05-03,IS,Iceland,EURO,7.0,1813,0.0,10
2020-05-10,IS,Iceland,EURO,2.0,1815,0.0,10
2020-05-17,IS,Iceland,EURO,1.0,1816,0.0,10
2020-05-24,IS,Iceland,EURO,2.0,1818,0.0,10
2020-05-31,IS,Iceland,EURO,2.0,1820,0.0,10
2020-06-07,IS,Iceland,EURO,1.0,1821,0.0,10
2020-06-14,IS,Iceland,EURO,2.0,1823,0.0,10
2020-06-21,IS,Iceland,EURO,5.0,1828,0.0,10
2020-06-28,IS,Iceland,EURO,6.0,1834,0.0,10
2020-07-05,IS,Iceland,EURO,9.0,1843,0.0,10
2020-07-12,IS,Iceland,EURO,3.0,1846,0.0,10
2020-07-19,IS,Iceland,EURO,6.0,1852,0.0,10
2020-07-26,IS,Iceland,EURO,16.0,1868,0.0,10
2020-08-02,IS,Iceland,EURO,59.0,1927,0.0,10
2020-08-09,IS,Iceland,EURO,47.0,1974,0.0,10
2020-08-16,IS,Iceland,EURO,54.0,2028,0.0,10
2020-08-23,IS,Iceland,EURO,55.0,2083,0.0,10
2020-08-30,IS,Iceland,EURO,41.0,2124,0.0,10
2020-09-06,IS,Iceland,EURO,32.0,2156,0.0,10
2020-09-13,IS,Iceland,EURO,25.0,2181,0.0,10
2020-09-20,IS,Iceland,EURO,212.0,2393,0.0,10
2020-09-27,IS,Iceland,EURO,280.0,2673,0.0,10
2020-10-04,IS,Iceland,EURO,321.0,2994,0.0,10
2020-10-11,IS,Iceland,EURO,603.0,3597,1.0,11
2020-10-18,IS,Iceland,EURO,532.0,4129,1.0,12
2020-10-25,IS,Iceland,EURO,397.0,4526,0.0,12
2020-11-01,IS,Iceland,EURO,408.0,4934,5.0,17
2020-11-08,IS,Iceland,EURO,174.0,5108,7.0,24
2020-11-15,IS,Iceland,EURO,108.0,5216,1.0,25
2020-11-22,IS,Iceland,EURO,80.0,5296,1.0,26
2020-11-29,IS,Iceland,EURO,107.0,5403,0.0,26
2020-12-06,IS,Iceland,EURO,105.0,5508,1.0,27
2020-12-13,IS,Iceland,EURO,64.0,5572,1.0,28
2020-12-20,IS,Iceland,EURO,89.0,5661,0.0,28
2020-12-27,IS,Iceland,EURO,82.0,5743,0.0,28
2021-01-03,IS,Iceland,EURO,73.0,5816,1.0,29
2021-01-10,IS,Iceland,EURO,102.0,5918,0.0,29
2021-01-17,IS,Iceland,EURO,70.0,5988,0.0,29
2021-01-24,IS,Iceland,EURO,19.0,6007,0.0,29
2021-01-31,IS,Iceland,EURO,22.0,6029,0.0,29
2021-02-07,IS,Iceland,EURO,12.0,6041,0.0,29
2021-02-14,IS,Iceland,EURO,15.0,6056,0.0,29
2021-02-21,IS,Iceland,EURO,10.0,6066,0.0,29
2021-02-28,IS,Iceland,EURO,10.0,6076,0.0,29
2021-03-07,IS,Iceland,EURO,11.0,6087,0.0,29
2021-03-14,IS,Iceland,EURO,19.0,6106,0.0,29
2021-03-21,IS,Iceland,EURO,38.0,6144,0.0,29
2021-03-28,IS,Iceland,EURO,61.0,6205,0.0,29
2021-04-04,IS,Iceland,EURO,50.0,6255,0.0,29
2021-04-11,IS,Iceland,EURO,34.0,6289,0.0,29
2021-04-18,IS,Iceland,EURO,62.0,6351,0.0,29
2021-04-25,IS,Iceland,EURO,65.0,6416,0.0,29
2021-05-02,IS,Iceland,EURO,54.0,6470,0.0,29
2021-05-09,IS,Iceland,EURO,35.0,6505,0.0,29
2021-05-16,IS,Iceland,EURO,30.0,6535,0.0,29
2021-05-23,IS,Iceland,EURO,7.0,6542,1.0,30
2021-05-30,IS,Iceland,EURO,30.0,6572,0.0,30
2021-06-06,IS,Iceland,EURO,28.0,6600,0.0,30
2021-06-13,IS,Iceland,EURO,11.0,6611,0.0,30
2021-06-20,IS,Iceland,EURO,10.0,6621,0.0,30
2021-06-27,IS,Iceland,EURO,17.0,6638,0.0,30
2021-07-04,IS,Iceland,EURO,16.0,6654,0.0,30
2021-07-11,IS,Iceland,EURO,25.0,6679,0.0,30
2021-07-18,IS,Iceland,EURO,99.0,6778,0.0,30
2021-07-25,IS,Iceland,EURO,519.0,7297,0.0,30
2021-08-01,IS,Iceland,EURO,815.0,8112,0.0,30
2021-08-08,IS,Iceland,EURO,776.0,8888,0.0,30
2021-08-15,IS,Iceland,EURO,680.0,9568,0.0,30
2021-08-22,IS,Iceland,EURO,605.0,10173,0.0,30
2021-08-29,IS,Iceland,EURO,525.0,10698,3.0,33
2021-09-05,IS,Iceland,EURO,355.0,11053,0.0,33
2021-09-12,IS,Iceland,EURO,219.0,11272,0.0,33
2021-09-19,IS,Iceland,EURO,189.0,11461,0.0,33
2021-09-26,IS,Iceland,EURO,251.0,11712,0.0,33
2021-10-03,IS,Iceland,EURO,235.0,11947,0.0,33
2021-10-10,IS,Iceland,EURO,285.0,12232,0.0,33
2021-10-17,IS,Iceland,EURO,373.0,12605,0.0,33
2021-10-24,IS,Iceland,EURO,525.0,13130,0.0,33
2021-10-31,IS,Iceland,EURO,601.0,13731,1.0,34
2021-11-07,IS,Iceland,EURO,827.0,14558,0.0,34
2021-11-14,IS,Iceland,EURO,1175.0,15733,0.0,34
2021-11-21,IS,Iceland,EURO,1058.0,16791,0.0,34
2021-11-28,IS,Iceland,EURO,975.0,17766,1.0,35
2021-12-05,IS,Iceland,EURO,868.0,18634,0.0,35
2021-12-12,IS,Iceland,EURO,901.0,19535,1.0,36
2021-12-19,IS,Iceland,EURO,1352.0,20887,1.0,37
2021-12-26,IS,Iceland,EURO,3319.0,24206,0.0,37
2022-01-02,IS,Iceland,EURO,6853.0,31059,1.0,38
2022-01-09,IS,Iceland,EURO,8921.0,39980,3.0,41
2022-01-16,IS,Iceland,EURO,131.0,40111,0.0,41
2022-01-23,IS,Iceland,EURO,9874.0,49985,0.0,41
2022-01-30,IS,Iceland,EURO,9188.0,59173,2.0,43
2022-02-06,IS,Iceland,EURO,10475.0,69648,3.0,46
2022-02-13,IS,Iceland,EURO,13792.0,83440,5.0,51
2022-02-20,IS,Iceland,EURO,17366.0,100806,5.0,56
2022-02-27,IS,Iceland,EURO,13322.0,114128,3.0,59
