Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-02-02,IT,Italy,EURO,3.0,3,0.0,0
2020-02-09,IT,Italy,EURO,0.0,3,0.0,0
2020-02-16,IT,Italy,EURO,0.0,3,0.0,0
2020-02-23,IT,Italy,EURO,76.0,79,2.0,2
2020-03-01,IT,Italy,EURO,1049.0,1128,27.0,29
2020-03-08,IT,Italy,EURO,4755.0,5883,204.0,233
2020-03-15,IT,Italy,EURO,15274.0,21157,1208.0,1441
2020-03-22,IT,Italy,EURO,32421.0,53578,3384.0,4825
2020-03-29,IT,Italy,EURO,38894.0,92472,5198.0,10023
2020-04-05,IT,Italy,EURO,32160.0,124632,5339.0,15362
2020-04-12,IT,Italy,EURO,27639.0,152271,4106.0,19468
2020-04-19,IT,Italy,EURO,23654.0,175925,3759.0,23227
2020-04-26,IT,Italy,EURO,19426.0,195351,3157.0,26384
2020-05-03,IT,Italy,EURO,13977.0,209328,2326.0,28710
2020-05-10,IT,Italy,EURO,8940.0,218268,1685.0,30395
2020-05-17,IT,Italy,EURO,6492.0,224760,1368.0,31763
2020-05-24,IT,Italy,EURO,4567.0,229327,972.0,32735
2020-05-31,IT,Italy,EURO,3337.0,232664,605.0,33340
2020-06-07,IT,Italy,EURO,2137.0,234801,506.0,33846
2020-06-14,IT,Italy,EURO,1850.0,236651,455.0,34301
2020-06-21,IT,Italy,EURO,2023.0,238674,309.0,34610
2020-06-28,IT,Italy,EURO,1861.0,240535,106.0,34716
2020-07-05,IT,Italy,EURO,1283.0,241818,138.0,34854
2020-07-12,IT,Italy,EURO,1408.0,243226,91.0,34945
2020-07-19,IT,Italy,EURO,1389.0,244615,97.0,35042
2020-07-26,IT,Italy,EURO,1648.0,246263,60.0,35102
2020-08-02,IT,Italy,EURO,1968.0,248231,44.0,35146
2020-08-09,IT,Italy,EURO,2271.0,250502,57.0,35203
2020-08-16,IT,Italy,EURO,3335.0,253837,189.0,35392
2020-08-23,IT,Italy,EURO,4698.0,258535,38.0,35430
2020-08-30,IT,Italy,EURO,8717.0,267252,43.0,35473
2020-09-06,IT,Italy,EURO,9484.0,276736,60.0,35533
2020-09-13,IT,Italy,EURO,9960.0,286696,70.0,35603
2020-09-20,IT,Italy,EURO,10272.0,296968,89.0,35692
2020-09-27,IT,Italy,EURO,11535.0,308503,126.0,35818
2020-10-04,IT,Italy,EURO,14647.0,323150,150.0,35968
2020-10-11,IT,Italy,EURO,26743.0,349893,172.0,36140
2020-10-18,IT,Italy,EURO,53042.0,402935,334.0,36474
2020-10-25,IT,Italy,EURO,101973.0,504908,736.0,37210
2020-11-01,IT,Italy,EURO,174921.0,679829,1408.0,38618
2020-11-08,IT,Italy,EURO,223060.0,902889,2445.0,41063
2020-11-15,IT,Italy,EURO,242062.0,1144951,3620.0,44683
2020-11-22,IT,Italy,EURO,235979.0,1380930,4578.0,49261
2020-11-29,IT,Italy,EURO,184001.0,1564931,5102.0,54363
2020-12-06,IT,Italy,EURO,145459.0,1710390,5151.0,59514
2020-12-13,IT,Italy,EURO,115784.0,1826174,4522.0,64036
2020-12-20,IT,Italy,EURO,112308.0,1938482,4411.0,68447
2020-12-27,IT,Italy,EURO,100700.0,2039182,3180.0,71627
2021-01-03,IT,Italy,EURO,102019.0,2141201,3358.0,74985
2021-01-10,IT,Italy,EURO,116665.0,2257866,3409.0,78394
2021-01-17,IT,Italy,EURO,110867.0,2368733,3406.0,81800
2021-01-24,IT,Italy,EURO,86452.0,2455185,3362.0,85162
2021-01-31,IT,Italy,EURO,86598.0,2541783,3117.0,88279
2021-02-07,IT,Italy,EURO,83315.0,2625098,2724.0,91003
2021-02-14,IT,Italy,EURO,85721.0,2710819,2353.0,93356
2021-02-21,IT,Italy,EURO,84977.0,2795796,2130.0,95486
2021-02-28,IT,Italy,EURO,112029.0,2907825,2021.0,97507
2021-03-07,IT,Italy,EURO,138937.0,3046762,2071.0,99578
2021-03-14,IT,Italy,EURO,155076.0,3201838,2303.0,101881
2021-03-21,IT,Italy,EURO,154493.0,3356331,2761.0,104642
2021-03-28,IT,Italy,EURO,156059.0,3512390,2994.0,107636
2021-04-04,IT,Italy,EURO,137857.0,3650247,3068.0,110704
2021-04-11,IT,Italy,EURO,103830.0,3754077,3219.0,113923
2021-04-18,IT,Italy,EURO,103366.0,3857443,2753.0,116676
2021-04-25,IT,Italy,EURO,92074.0,3949517,2345.0,119021
2021-05-02,IT,Italy,EURO,86100.0,4035617,2012.0,121033
2021-05-09,IT,Italy,EURO,67304.0,4102921,1661.0,122694
2021-05-16,IT,Italy,EURO,50453.0,4153374,1369.0,124063
2021-05-23,IT,Italy,EURO,34816.0,4188190,1090.0,125153
2021-05-30,IT,Italy,EURO,24865.0,4213055,849.0,126002
2021-06-06,IT,Italy,EURO,17098.0,4230153,470.0,126472
2021-06-13,IT,Italy,EURO,13329.0,4243482,504.0,126976
2021-06-20,IT,Italy,EURO,8613.0,4252095,277.0,127253
