Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-15,JE,Jersey,,2.0,2,0.0,0
2020-03-22,JE,Jersey,,13.0,15,0.0,0
2020-03-29,JE,Jersey,,30.0,45,2.0,2
2020-04-05,JE,Jersey,,102.0,147,1.0,3
2020-04-12,JE,Jersey,,51.0,198,1.0,4
2020-04-19,JE,Jersey,,47.0,245,8.0,12
2020-04-26,JE,Jersey,,19.0,264,7.0,19
2020-05-03,JE,Jersey,,11.0,275,5.0,24
2020-05-10,JE,Jersey,,2.0,277,1.0,25
2020-05-17,JE,Jersey,,4.0,281,2.0,27
2020-05-24,JE,Jersey,,9.0,290,2.0,29
2020-05-31,JE,Jersey,,2.0,292,0.0,29
2020-06-07,JE,Jersey,,3.0,295,1.0,30
2020-06-14,JE,Jersey,,2.0,297,0.0,30
2020-06-21,JE,Jersey,,5.0,302,1.0,31
2020-06-28,JE,Jersey,,2.0,304,0.0,31
2020-07-05,JE,Jersey,,0.0,304,0.0,31
2020-07-12,JE,Jersey,,5.0,309,0.0,31
2020-07-19,JE,Jersey,,6.0,315,0.0,31
2020-07-26,JE,Jersey,,1.0,316,0.0,31
2020-08-02,JE,Jersey,,4.0,320,0.0,31
2020-08-09,JE,Jersey,,7.0,327,0.0,31
2020-08-16,JE,Jersey,,9.0,336,0.0,31
2020-08-23,JE,Jersey,,8.0,344,1.0,32
2020-08-30,JE,Jersey,,10.0,354,0.0,32
2020-09-06,JE,Jersey,,6.0,360,0.0,32
2020-09-13,JE,Jersey,,9.0,369,0.0,32
2020-09-20,JE,Jersey,,12.0,381,0.0,32
2020-09-27,JE,Jersey,,10.0,391,0.0,32
2020-10-04,JE,Jersey,,20.0,411,0.0,32
2020-10-11,JE,Jersey,,39.0,450,0.0,32
2020-10-18,JE,Jersey,,36.0,486,0.0,32
2020-10-25,JE,Jersey,,42.0,528,0.0,32
2020-11-01,JE,Jersey,,40.0,568,0.0,32
2020-11-08,JE,Jersey,,76.0,644,0.0,32
2020-11-15,JE,Jersey,,90.0,734,0.0,32
2020-11-22,JE,Jersey,,73.0,807,0.0,32
2020-11-29,JE,Jersey,,137.0,944,0.0,32
2020-12-06,JE,Jersey,,309.0,1253,0.0,32
2020-12-13,JE,Jersey,,433.0,1686,0.0,32
2020-12-20,JE,Jersey,,578.0,2264,4.0,36
2020-12-27,JE,Jersey,,379.0,2643,5.0,41
2021-01-03,JE,Jersey,,144.0,2787,3.0,44
2021-01-10,JE,Jersey,,165.0,2952,13.0,57
2021-01-17,JE,Jersey,,87.0,3039,5.0,62
2021-01-24,JE,Jersey,,65.0,3104,1.0,63
2021-01-31,JE,Jersey,,34.0,3138,3.0,66
2021-02-07,JE,Jersey,,23.0,3161,1.0,67
2021-02-14,JE,Jersey,,25.0,3186,0.0,67
2021-02-21,JE,Jersey,,13.0,3199,1.0,68
2021-02-28,JE,Jersey,,4.0,3203,1.0,69
2021-03-07,JE,Jersey,,4.0,3207,0.0,69
2021-03-14,JE,Jersey,,2.0,3209,0.0,69
2021-03-21,JE,Jersey,,1.0,3210,0.0,69
2021-03-28,JE,Jersey,,2.0,3212,0.0,69
2021-04-04,JE,Jersey,,3.0,3215,0.0,69
2021-04-11,JE,Jersey,,1.0,3216,0.0,69
2021-04-18,JE,Jersey,,2.0,3218,0.0,69
2021-04-25,JE,Jersey,,1.0,3219,0.0,69
2021-05-02,JE,Jersey,,1.0,3220,0.0,69
2021-05-09,JE,Jersey,,1.0,3221,0.0,69
2021-05-16,JE,Jersey,,2.0,3223,0.0,69
2021-05-23,JE,Jersey,,5.0,3228,0.0,69
2021-05-30,JE,Jersey,,1.0,3229,0.0,69
2021-06-06,JE,Jersey,,4.0,3233,0.0,69
2021-06-13,JE,Jersey,,39.0,3272,0.0,69
2021-06-20,JE,Jersey,,23.0,3295,0.0,69
2021-06-27,JE,Jersey,,131.0,3426,0.0,69
2021-07-04,JE,Jersey,,366.0,3792,0.0,69
2021-07-11,JE,Jersey,,874.0,4666,0.0,69
2021-07-18,JE,Jersey,,1650.0,6316,0.0,69
2021-07-25,JE,Jersey,,1434.0,7750,0.0,69
2021-08-01,JE,Jersey,,620.0,8370,0.0,69
2021-08-08,JE,Jersey,,280.0,8650,4.0,73
2021-08-15,JE,Jersey,,225.0,8875,1.0,74
2021-08-22,JE,Jersey,,223.0,9098,1.0,75
2021-08-29,JE,Jersey,,166.0,9264,2.0,77
2021-09-05,JE,Jersey,,187.0,9451,0.0,77
2021-09-12,JE,Jersey,,201.0,9652,1.0,78
2021-09-19,JE,Jersey,,137.0,9789,0.0,78
2021-09-26,JE,Jersey,,143.0,9932,0.0,78
2021-10-03,JE,Jersey,,117.0,10049,0.0,78
2021-10-10,JE,Jersey,,164.0,10213,1.0,79
2021-10-17,JE,Jersey,,212.0,10425,0.0,79
2021-10-24,JE,Jersey,,251.0,10676,1.0,80
2021-10-31,JE,Jersey,,393.0,11069,0.0,80
2021-11-07,JE,Jersey,,423.0,11492,0.0,80
2021-11-14,JE,Jersey,,681.0,12173,0.0,80
2021-11-21,JE,Jersey,,768.0,12941,0.0,80
2021-11-28,JE,Jersey,,901.0,13842,0.0,80
2021-12-05,JE,Jersey,,903.0,14745,1.0,81
2021-12-12,JE,Jersey,,776.0,15521,3.0,84
2021-12-19,JE,Jersey,,809.0,16330,3.0,87
2021-12-26,JE,Jersey,,1142.0,17472,2.0,89
2022-01-02,JE,Jersey,,2770.0,20242,0.0,89
2022-01-09,JE,Jersey,,3535.0,23777,1.0,90
2022-01-16,JE,Jersey,,2375.0,26152,2.0,92
2022-01-23,JE,Jersey,,1945.0,28097,4.0,96
2022-01-30,JE,Jersey,,2381.0,30478,4.0,100
2022-02-06,JE,Jersey,,2122.0,32600,4.0,104
2022-02-13,JE,Jersey,,1758.0,34358,2.0,106
2022-02-20,JE,Jersey,,1455.0,35813,3.0,109
2022-02-27,JE,Jersey,,1459.0,37272,3.0,112
2022-03-06,JE,Jersey,,1988.0,39260,2.0,114
2022-03-13,JE,Jersey,,2122.0,41382,2.0,116
2022-03-20,JE,Jersey,,2160.0,43542,0.0,116
2022-03-27,JE,Jersey,,2069.0,45611,3.0,119
2022-04-03,JE,Jersey,,1414.0,47025,1.0,120
2022-04-10,JE,Jersey,,1103.0,48128,1.0,121
2022-04-17,JE,Jersey,,794.0,48922,1.0,122
2022-04-24,JE,Jersey,,600.0,49522,1.0,123
2022-05-01,JE,Jersey,,364.0,49886,3.0,126
2022-05-08,JE,Jersey,,213.0,50099,1.0,127
2022-05-15,JE,Jersey,,211.0,50310,0.0,127
2022-05-22,JE,Jersey,,200.0,50510,2.0,129
2022-05-29,JE,Jersey,,168.0,50678,0.0,129
2022-06-05,JE,Jersey,,180.0,50858,0.0,129
2022-06-12,JE,Jersey,,470.0,51328,0.0,129
2022-06-19,JE,Jersey,,616.0,51944,2.0,131
2022-06-26,JE,Jersey,,1139.0,53083,0.0,131
2022-07-03,JE,Jersey,,1395.0,54478,0.0,131
2022-07-10,JE,Jersey,,1610.0,56088,0.0,131
2022-07-17,JE,Jersey,,1079.0,57167,0.0,131
2022-07-24,JE,Jersey,,597.0,57764,1.0,132
2022-07-31,JE,Jersey,,357.0,58121,1.0,133
2022-08-07,JE,Jersey,,302.0,58423,2.0,135
2022-08-14,JE,Jersey,,199.0,58622,0.0,135
2022-08-21,JE,Jersey,,181.0,58803,0.0,135
2022-08-28,JE,Jersey,,143.0,58946,1.0,136
2022-09-04,JE,Jersey,,202.0,59148,0.0,136
2022-09-11,JE,Jersey,,229.0,59377,1.0,137
2022-09-18,JE,Jersey,,304.0,59681,1.0,138
2022-09-25,JE,Jersey,,322.0,60003,0.0,138
2022-10-02,JE,Jersey,,384.0,60387,1.0,139
2022-10-09,JE,Jersey,,408.0,60795,2.0,141
2022-10-16,JE,Jersey,,368.0,61163,0.0,141
2022-10-23,JE,Jersey,,333.0,61496,0.0,141
2022-10-30,JE,Jersey,,321.0,61817,0.0,141
2022-11-06,JE,Jersey,,307.0,62124,0.0,141
2022-11-13,JE,Jersey,,302.0,62426,0.0,141
2022-11-20,JE,Jersey,,250.0,62676,1.0,142
2022-11-27,JE,Jersey,,228.0,62904,0.0,142
2022-12-04,JE,Jersey,,348.0,63252,0.0,142
2022-12-11,JE,Jersey,,583.0,63835,0.0,142
2022-12-18,JE,Jersey,,769.0,64604,2.0,144
2022-12-25,JE,Jersey,,782.0,65386,2.0,146
2023-01-01,JE,Jersey,,416.0,65802,0.0,146
2023-01-08,JE,Jersey,,271.0,66073,4.0,150
2023-01-15,JE,Jersey,,142.0,66215,4.0,154
2023-01-22,JE,Jersey,,69.0,66284,1.0,155
2023-01-29,JE,Jersey,,94.0,66378,2.0,157
2023-02-05,JE,Jersey,,13.0,66391,4.0,161
2023-02-12,JE,Jersey,,0.0,66391,0.0,161
2023-02-19,JE,Jersey,,0.0,66391,0.0,161
2023-02-26,JE,Jersey,,0.0,66391,0.0,161
2023-03-05,JE,Jersey,,0.0,66391,0.0,161
2023-03-12,JE,Jersey,,0.0,66391,0.0,161
2023-03-19,JE,Jersey,,0.0,66391,0.0,161
2023-03-26,JE,Jersey,,0.0,66391,0.0,161
2023-04-02,JE,Jersey,,0.0,66391,0.0,161
2023-04-09,JE,Jersey,,0.0,66391,0.0,161
2023-04-16,JE,Jersey,,0.0,66391,0.0,161
2023-04-23,JE,Jersey,,0.0,66391,0.0,161
2023-04-30,JE,Jersey,,0.0,66391,0.0,161
2023-05-07,JE,Jersey,,0.0,66391,0.0,161
2023-05-14,JE,Jersey,,0.0,66391,0.0,161
2023-05-21,JE,Jersey,,0.0,66391,0.0,161
2023-05-28,JE,Jersey,,0.0,66391,0.0,161
2023-06-04,JE,Jersey,,0.0,66391,0.0,161
2023-06-11,JE,Jersey,,0.0,66391,0.0,161
2023-06-18,JE,Jersey,,0.0,66391,0.0,161
2023-06-25,JE,Jersey,,0.0,66391,0.0,161
2023-07-02,JE,Jersey,,0.0,66391,0.0,161
2023-07-09,JE,Jersey,,0.0,66391,0.0,161
2023-07-16,JE,Jersey,,0.0,66391,0.0,161
2023-07-23,JE,Jersey,,0.0,66391,0.0,161
2023-07-30,JE,Jersey,,0.0,66391,0.0,161
2023-08-06,JE,Jersey,,0.0,66391,0.0,161
2023-08-13,JE,Jersey,,0.0,66391,0.0,161
2023-08-20,JE,Jersey,,0.0,66391,0.0,161
2023-08-27,JE,Jersey,,0.0,66391,0.0,161
