Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-08,JO,Jordan,EMRO,1.0,1,0.0,0
2020-03-15,JO,Jordan,EMRO,0.0,1,0.0,0
2020-03-22,JO,Jordan,EMRO,98.0,99,0.0,0
2020-03-29,JO,Jordan,EMRO,147.0,246,1.0,1
2020-04-05,JO,Jordan,EMRO,77.0,323,4.0,5
2020-04-12,JO,Jordan,EMRO,58.0,381,2.0,7
2020-04-19,JO,Jordan,EMRO,32.0,413,0.0,7
2020-04-26,JO,Jordan,EMRO,20.0,433,0.0,7
2020-05-03,JO,Jordan,EMRO,7.0,440,2.0,9
2020-05-10,JO,Jordan,EMRO,48.0,488,0.0,9
2020-05-17,JO,Jordan,EMRO,61.0,549,0.0,9
2020-05-24,JO,Jordan,EMRO,85.0,634,0.0,9
2020-05-31,JO,Jordan,EMRO,28.0,662,0.0,9
2020-06-07,JO,Jordan,EMRO,31.0,693,0.0,9
2020-06-14,JO,Jordan,EMRO,134.0,827,0.0,9
2020-06-21,JO,Jordan,EMRO,55.0,882,0.0,9
2020-06-28,JO,Jordan,EMRO,86.0,968,0.0,9
2020-07-05,JO,Jordan,EMRO,35.0,1003,1.0,10
2020-07-12,JO,Jordan,EMRO,18.0,1021,0.0,10
2020-07-19,JO,Jordan,EMRO,37.0,1058,1.0,11
2020-07-26,JO,Jordan,EMRO,96.0,1154,0.0,11
2020-08-02,JO,Jordan,EMRO,54.0,1208,0.0,11
2020-08-09,JO,Jordan,EMRO,38.0,1246,0.0,11
2020-08-16,JO,Jordan,EMRO,93.0,1339,0.0,11
2020-08-23,JO,Jordan,EMRO,237.0,1576,0.0,11
2020-08-30,JO,Jordan,EMRO,317.0,1893,4.0,15
2020-09-06,JO,Jordan,EMRO,460.0,2353,1.0,16
2020-09-13,JO,Jordan,EMRO,709.0,3062,6.0,22
2020-09-20,JO,Jordan,EMRO,1478.0,4540,8.0,30
2020-09-27,JO,Jordan,EMRO,3521.0,8061,13.0,43
2020-10-04,JO,Jordan,EMRO,6688.0,14749,45.0,88
2020-10-11,JO,Jordan,EMRO,9249.0,23998,93.0,181
2020-10-18,JO,Jordan,EMRO,12055.0,36053,149.0,330
2020-10-25,JO,Jordan,EMRO,14697.0,50750,210.0,540
2020-11-01,JO,Jordan,EMRO,21857.0,72607,289.0,829
2020-11-08,JO,Jordan,EMRO,32195.0,104802,352.0,1181
2020-11-15,JO,Jordan,EMRO,36503.0,141305,523.0,1704
2020-11-22,JO,Jordan,EMRO,36856.0,178161,468.0,2172
2020-11-29,JO,Jordan,EMRO,32548.0,210709,454.0,2626
2020-12-06,JO,Jordan,EMRO,26804.0,237513,384.0,3010
2020-12-13,JO,Jordan,EMRO,19762.0,257275,325.0,3335
2020-12-20,JO,Jordan,EMRO,15522.0,272797,210.0,3545
2020-12-27,JO,Jordan,EMRO,13559.0,286356,184.0,3729
2021-01-03,JO,Jordan,EMRO,10312.0,296668,148.0,3877
2021-01-10,JO,Jordan,EMRO,9291.0,305959,132.0,4009
2021-01-17,JO,Jordan,EMRO,7598.0,313557,128.0,4137
2021-01-24,JO,Jordan,EMRO,5962.0,319519,80.0,4217
2021-01-31,JO,Jordan,EMRO,6155.0,325674,87.0,4304
2021-02-07,JO,Jordan,EMRO,8181.0,333855,65.0,4369
2021-02-14,JO,Jordan,EMRO,10948.0,344803,75.0,4444
2021-02-21,JO,Jordan,EMRO,15008.0,359811,99.0,4543
2021-02-28,JO,Jordan,EMRO,26685.0,386496,132.0,4675
2021-03-07,JO,Jordan,EMRO,34919.0,421415,225.0,4900
2021-03-14,JO,Jordan,EMRO,47585.0,469000,385.0,5285
2021-03-21,JO,Jordan,EMRO,57666.0,526666,503.0,5788
2021-03-28,JO,Jordan,EMRO,55467.0,582133,684.0,6472
2021-04-04,JO,Jordan,EMRO,44742.0,626875,658.0,7130
2021-04-11,JO,Jordan,EMRO,35520.0,662395,578.0,7708
2021-04-18,JO,Jordan,EMRO,21071.0,683466,470.0,8178
2021-04-25,JO,Jordan,EMRO,16957.0,700423,385.0,8563
2021-05-02,JO,Jordan,EMRO,11654.0,712077,308.0,8871
2021-05-09,JO,Jordan,EMRO,7156.0,719233,205.0,9076
2021-05-16,JO,Jordan,EMRO,4112.0,723345,167.0,9243
2021-05-23,JO,Jordan,EMRO,6361.0,729706,114.0,9357
2021-05-30,JO,Jordan,EMRO,5433.0,735139,86.0,9443
2021-06-06,JO,Jordan,EMRO,4180.0,739319,73.0,9516
2021-06-13,JO,Jordan,EMRO,3512.0,742831,66.0,9582
2021-06-20,JO,Jordan,EMRO,3147.0,745978,74.0,9656
2021-06-27,JO,Jordan,EMRO,3341.0,749319,62.0,9718
2021-07-04,JO,Jordan,EMRO,3298.0,752617,51.0,9769
2021-07-11,JO,Jordan,EMRO,3737.0,756354,57.0,9826
2021-07-18,JO,Jordan,EMRO,4196.0,760550,61.0,9887
2021-07-25,JO,Jordan,EMRO,3372.0,763922,61.0,9948
2021-08-01,JO,Jordan,EMRO,6790.0,770712,84.0,10032
2021-08-08,JO,Jordan,EMRO,5466.0,776178,84.0,10116
