Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2021-06-27,KG,Kyrgyzstan,EURO,6331.0,6331,45.0,45
2021-07-04,KG,Kyrgyzstan,EURO,10124.0,16455,64.0,109
2021-07-11,KG,Kyrgyzstan,EURO,8908.0,25363,67.0,176
2021-07-18,KG,Kyrgyzstan,EURO,9338.0,34701,73.0,249
2021-07-25,KG,Kyrgyzstan,EURO,7804.0,42505,75.0,324
2021-08-01,KG,Kyrgyzstan,EURO,6623.0,49128,83.0,407
2021-08-08,KG,Kyrgyzstan,EURO,4757.0,53885,63.0,470
2021-08-15,KG,Kyrgyzstan,EURO,2827.0,56712,44.0,514
2021-08-22,KG,Kyrgyzstan,EURO,1821.0,58533,38.0,552
2021-08-29,KG,Kyrgyzstan,EURO,1441.0,59974,35.0,587
2021-09-05,KG,Kyrgyzstan,EURO,993.0,60967,30.0,617
2021-09-12,KG,Kyrgyzstan,EURO,644.0,61611,20.0,637
2021-09-19,KG,Kyrgyzstan,EURO,554.0,62165,16.0,653
2021-09-26,KG,Kyrgyzstan,EURO,537.0,62702,12.0,665
2021-10-03,KG,Kyrgyzstan,EURO,466.0,63168,6.0,671
2021-10-10,KG,Kyrgyzstan,EURO,553.0,63721,12.0,683
2021-10-17,KG,Kyrgyzstan,EURO,577.0,64298,16.0,699
2021-10-24,KG,Kyrgyzstan,EURO,716.0,65014,19.0,718
2021-10-31,KG,Kyrgyzstan,EURO,698.0,65712,17.0,735
2021-11-07,KG,Kyrgyzstan,EURO,555.0,66267,17.0,752
2021-11-14,KG,Kyrgyzstan,EURO,543.0,66810,18.0,770
2021-11-21,KG,Kyrgyzstan,EURO,459.0,67269,20.0,790
2021-11-28,KG,Kyrgyzstan,EURO,401.0,67670,16.0,806
2021-12-05,KG,Kyrgyzstan,EURO,364.0,68034,17.0,823
2021-12-12,KG,Kyrgyzstan,EURO,342.0,68376,10.0,833
2021-12-19,KG,Kyrgyzstan,EURO,227.0,68603,14.0,847
2021-12-26,KG,Kyrgyzstan,EURO,288.0,68891,13.0,860
2022-01-02,KG,Kyrgyzstan,EURO,321.0,69212,8.0,868
2022-01-09,KG,Kyrgyzstan,EURO,1238.0,70450,14.0,882
2022-01-16,KG,Kyrgyzstan,EURO,4403.0,74853,14.0,896
2022-01-23,KG,Kyrgyzstan,EURO,5352.0,80205,18.0,914
2022-01-30,KG,Kyrgyzstan,EURO,1.0,80206,0.0,914
2022-02-06,KG,Kyrgyzstan,EURO,1203.0,81409,25.0,939
2022-02-13,KG,Kyrgyzstan,EURO,547.0,81956,25.0,964
2022-02-20,KG,Kyrgyzstan,EURO,271.0,82227,16.0,980
2022-02-27,KG,Kyrgyzstan,EURO,163.0,82390,11.0,991
2022-03-06,KG,Kyrgyzstan,EURO,141.0,82531,9.0,1000
2022-03-13,KG,Kyrgyzstan,EURO,101.0,82632,7.0,1007
2022-03-20,KG,Kyrgyzstan,EURO,76.0,82708,7.0,1014
2022-03-27,KG,Kyrgyzstan,EURO,74.0,82782,4.0,1018
2022-04-03,KG,Kyrgyzstan,EURO,76.0,82858,6.0,1024
2022-04-10,KG,Kyrgyzstan,EURO,2.0,82860,0.0,1024
2022-04-17,KG,Kyrgyzstan,EURO,10.0,82870,0.0,1024
