Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2022-01-23,KI,Kiribati,WPRO,59.0,59,0.0,0
2022-01-30,KI,Kiribati,WPRO,305.0,364,0.0,0
2022-02-06,KI,Kiribati,WPRO,1179.0,1543,0.0,0
2022-02-13,KI,Kiribati,WPRO,1005.0,2548,3.0,3
2022-02-20,KI,Kiribati,WPRO,285.0,2833,8.0,11
2022-02-27,KI,Kiribati,WPRO,81.0,2914,0.0,11
2022-03-06,KI,Kiribati,WPRO,71.0,2985,0.0,11
2022-03-13,KI,Kiribati,WPRO,42.0,3027,2.0,13
2022-03-20,KI,Kiribati,WPRO,22.0,3049,0.0,13
2022-03-27,KI,Kiribati,WPRO,16.0,3065,0.0,13
2022-04-03,KI,Kiribati,WPRO,2.0,3067,0.0,13
2022-04-10,KI,Kiribati,WPRO,2.0,3069,0.0,13
2022-04-17,KI,Kiribati,WPRO,0.0,3069,0.0,13
2022-04-24,KI,Kiribati,WPRO,7.0,3076,0.0,13
2022-05-01,KI,Kiribati,WPRO,8.0,3084,0.0,13
2022-05-08,KI,Kiribati,WPRO,5.0,3089,0.0,13
2022-05-15,KI,Kiribati,WPRO,4.0,3093,0.0,13
2022-05-22,KI,Kiribati,WPRO,5.0,3098,0.0,13
2022-05-29,KI,Kiribati,WPRO,0.0,3098,0.0,13
2022-06-05,KI,Kiribati,WPRO,0.0,3098,0.0,13
2022-06-12,KI,Kiribati,WPRO,111.0,3209,0.0,13
2022-06-19,KI,Kiribati,WPRO,6.0,3215,0.0,13
2022-06-26,KI,Kiribati,WPRO,21.0,3236,0.0,13
2022-07-03,KI,Kiribati,WPRO,0.0,3236,0.0,13
2022-07-10,KI,Kiribati,WPRO,0.0,3236,0.0,13
2022-07-17,KI,Kiribati,WPRO,0.0,3236,0.0,13
2022-07-24,KI,Kiribati,WPRO,194.0,3430,0.0,13
2022-07-31,KI,Kiribati,WPRO,0.0,3430,0.0,13
2022-08-07,KI,Kiribati,WPRO,0.0,3430,0.0,13
2022-08-14,KI,Kiribati,WPRO,0.0,3430,0.0,13
2022-08-21,KI,Kiribati,WPRO,0.0,3430,0.0,13
2022-08-28,KI,Kiribati,WPRO,0.0,3430,0.0,13
2022-09-04,KI,Kiribati,WPRO,0.0,3430,0.0,13
2022-09-11,KI,Kiribati,WPRO,0.0,3430,0.0,13
2022-09-18,KI,Kiribati,WPRO,0.0,3430,0.0,13
2022-09-25,KI,Kiribati,WPRO,0.0,3430,0.0,13
2022-10-02,KI,Kiribati,WPRO,0.0,3430,0.0,13
2022-10-09,KI,Kiribati,WPRO,0.0,3430,0.0,13
2022-10-16,KI,Kiribati,WPRO,0.0,3430,0.0,13
2022-10-23,KI,Kiribati,WPRO,0.0,3430,0.0,13
2022-10-30,KI,Kiribati,WPRO,0.0,3430,0.0,13
2022-11-06,KI,Kiribati,WPRO,0.0,3430,0.0,13
2022-11-13,KI,Kiribati,WPRO,0.0,3430,0.0,13
2022-11-20,KI,Kiribati,WPRO,0.0,3430,0.0,13
2022-11-27,KI,Kiribati,WPRO,0.0,3430,0.0,13
2022-12-04,KI,Kiribati,WPRO,0.0,3430,0.0,13
2022-12-11,KI,Kiribati,WPRO,0.0,3430,0.0,13
2022-12-18,KI,Kiribati,WPRO,0.0,3430,0.0,13
2022-12-25,KI,Kiribati,WPRO,0.0,3430,0.0,13
2023-01-01,KI,Kiribati,WPRO,0.0,3430,0.0,13
2023-01-08,KI,Kiribati,WPRO,0.0,3430,0.0,13
2023-01-15,KI,Kiribati,WPRO,1491.0,4921,0.0,13
2023-01-22,KI,Kiribati,WPRO,70.0,4991,0.0,13
2023-01-29,KI,Kiribati,WPRO,17.0,5008,0.0,13
2023-02-05,KI,Kiribati,WPRO,0.0,5008,5.0,18
2023-02-12,KI,Kiribati,WPRO,4.0,5012,0.0,18
2023-02-19,KI,Kiribati,WPRO,0.0,5012,0.0,18
2023-02-26,KI,Kiribati,WPRO,1.0,5013,0.0,18
2023-03-05,KI,Kiribati,WPRO,1.0,5014,0.0,18
2023-03-12,KI,Kiribati,WPRO,0.0,5014,0.0,18
2023-03-19,KI,Kiribati,WPRO,0.0,5014,0.0,18
2023-03-26,KI,Kiribati,WPRO,0.0,5014,0.0,18
2023-04-02,KI,Kiribati,WPRO,0.0,5014,0.0,18
2023-04-09,KI,Kiribati,WPRO,0.0,5014,0.0,18
2023-04-16,KI,Kiribati,WPRO,0.0,5014,0.0,18
2023-04-23,KI,Kiribati,WPRO,11.0,5025,6.0,24
2023-04-30,KI,Kiribati,WPRO,0.0,5025,0.0,24
2023-05-07,KI,Kiribati,WPRO,0.0,5025,0.0,24
2023-05-14,KI,Kiribati,WPRO,0.0,5025,0.0,24
2023-05-21,KI,Kiribati,WPRO,2.0,5027,0.0,24
2023-05-28,KI,Kiribati,WPRO,2.0,5029,0.0,24
2023-06-04,KI,Kiribati,WPRO,8.0,5037,0.0,24
2023-06-11,KI,Kiribati,WPRO,0.0,5037,0.0,24
2023-06-18,KI,Kiribati,WPRO,0.0,5037,0.0,24
2023-06-25,KI,Kiribati,WPRO,44.0,5081,0.0,24
2023-07-02,KI,Kiribati,WPRO,0.0,5081,0.0,24
2023-07-09,KI,Kiribati,WPRO,1.0,5082,0.0,24
2023-07-16,KI,Kiribati,WPRO,0.0,5082,0.0,24
2023-07-23,KI,Kiribati,WPRO,0.0,5082,0.0,24
2023-07-30,KI,Kiribati,WPRO,0.0,5082,0.0,24
2023-08-06,KI,Kiribati,WPRO,0.0,5082,0.0,24
2023-08-13,KI,Kiribati,WPRO,3.0,5085,0.0,24
2023-08-20,KI,Kiribati,WPRO,0.0,5085,0.0,24
2023-08-27,KI,Kiribati,WPRO,0.0,5085,0.0,24
2023-09-03,KI,Kiribati,WPRO,0.0,5085,0.0,24
2023-09-10,KI,Kiribati,WPRO,0.0,5085,0.0,24
2023-09-17,KI,Kiribati,WPRO,0.0,5085,0.0,24
2023-09-24,KI,Kiribati,WPRO,0.0,5085,0.0,24
2023-10-01,KI,Kiribati,WPRO,0.0,5085,0.0,24
2023-10-08,KI,Kiribati,WPRO,0.0,5085,0.0,24
2023-10-15,KI,Kiribati,WPRO,0.0,5085,0.0,24
2023-10-22,KI,Kiribati,WPRO,0.0,5085,0.0,24
2023-10-29,KI,Kiribati,WPRO,0.0,5085,0.0,24
2023-11-05,KI,Kiribati,WPRO,0.0,5085,0.0,24
2023-11-12,KI,Kiribati,WPRO,0.0,5085,0.0,24
2023-11-19,KI,Kiribati,WPRO,0.0,5085,0.0,24
2023-11-26,KI,Kiribati,WPRO,0.0,5085,0.0,24
2023-12-03,KI,Kiribati,WPRO,0.0,5085,0.0,24
2023-12-10,KI,Kiribati,WPRO,0.0,5085,0.0,24
2023-12-17,KI,Kiribati,WPRO,0.0,5085,0.0,24
2023-12-24,KI,Kiribati,WPRO,0.0,5085,0.0,24
2023-12-31,KI,Kiribati,WPRO,0.0,5085,0.0,24
2024-01-07,KI,Kiribati,WPRO,0.0,5085,0.0,24
2024-01-14,KI,Kiribati,WPRO,0.0,5085,0.0,24
2024-01-21,KI,Kiribati,WPRO,0.0,5085,0.0,24
2024-01-28,KI,Kiribati,WPRO,0.0,5085,0.0,24
2024-02-04,KI,Kiribati,WPRO,0.0,5085,0.0,24
2024-02-11,KI,Kiribati,WPRO,0.0,5085,0.0,24
2024-02-18,KI,Kiribati,WPRO,0.0,5085,0.0,24
2024-02-25,KI,Kiribati,WPRO,0.0,5085,0.0,24
2024-03-03,KI,Kiribati,WPRO,0.0,5085,0.0,24
2024-03-10,KI,Kiribati,WPRO,0.0,5085,0.0,24
2024-03-17,KI,Kiribati,WPRO,0.0,5085,0.0,24
2024-03-24,KI,Kiribati,WPRO,0.0,5085,0.0,24
2024-03-31,KI,Kiribati,WPRO,0.0,5085,0.0,24
2024-04-07,KI,Kiribati,WPRO,0.0,5085,0.0,24
2024-04-14,KI,Kiribati,WPRO,0.0,5085,0.0,24
2024-04-21,KI,Kiribati,WPRO,0.0,5085,0.0,24
2024-04-28,KI,Kiribati,WPRO,0.0,5085,0.0,24
