Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-05-03,KM,Comoros,AFRO,3.0,3,0.0,0
2020-05-10,KM,Comoros,AFRO,8.0,11,1.0,1
2020-05-17,KM,Comoros,AFRO,0.0,11,0.0,1
2020-05-24,KM,Comoros,AFRO,23.0,34,0.0,1
2020-05-31,KM,Comoros,AFRO,28.0,62,1.0,2
2020-06-07,KM,Comoros,AFRO,9.0,71,0.0,2
2020-06-14,KM,Comoros,AFRO,35.0,106,0.0,2
2020-06-21,KM,Comoros,AFRO,71.0,177,3.0,5
2020-06-28,KM,Comoros,AFRO,46.0,223,2.0,7
2020-07-05,KM,Comoros,AFRO,18.0,241,0.0,7
2020-07-12,KM,Comoros,AFRO,6.0,247,0.0,7
2020-07-19,KM,Comoros,AFRO,17.0,264,0.0,7
2020-07-26,KM,Comoros,AFRO,20.0,284,0.0,7
2020-08-02,KM,Comoros,AFRO,32.0,316,0.0,7
2020-08-09,KM,Comoros,AFRO,13.0,329,0.0,7
2020-08-16,KM,Comoros,AFRO,6.0,335,0.0,7
2020-08-23,KM,Comoros,AFRO,12.0,347,0.0,7
2020-08-30,KM,Comoros,AFRO,6.0,353,0.0,7
2020-09-06,KM,Comoros,AFRO,25.0,378,0.0,7
2020-09-13,KM,Comoros,AFRO,9.0,387,0.0,7
2020-09-20,KM,Comoros,AFRO,13.0,400,0.0,7
2020-09-27,KM,Comoros,AFRO,4.0,404,0.0,7
2020-10-04,KM,Comoros,AFRO,10.0,414,0.0,7
2020-10-11,KM,Comoros,AFRO,8.0,422,0.0,7
2020-10-18,KM,Comoros,AFRO,12.0,434,0.0,7
2020-10-25,KM,Comoros,AFRO,21.0,455,0.0,7
2020-11-01,KM,Comoros,AFRO,20.0,475,0.0,7
2020-11-08,KM,Comoros,AFRO,18.0,493,0.0,7
2020-11-15,KM,Comoros,AFRO,16.0,509,0.0,7
2020-11-22,KM,Comoros,AFRO,17.0,526,0.0,7
2020-11-29,KM,Comoros,AFRO,15.0,541,0.0,7
2020-12-06,KM,Comoros,AFRO,5.0,546,0.0,7
2020-12-13,KM,Comoros,AFRO,12.0,558,0.0,7
2020-12-20,KM,Comoros,AFRO,38.0,596,0.0,7
2020-12-27,KM,Comoros,AFRO,65.0,661,0.0,7
2021-01-03,KM,Comoros,AFRO,133.0,794,6.0,13
2021-01-10,KM,Comoros,AFRO,286.0,1080,5.0,18
2021-01-17,KM,Comoros,AFRO,427.0,1507,23.0,41
2021-01-24,KM,Comoros,AFRO,683.0,2190,29.0,70
2021-01-31,KM,Comoros,AFRO,458.0,2648,20.0,90
2021-02-07,KM,Comoros,AFRO,368.0,3016,18.0,108
2021-02-14,KM,Comoros,AFRO,246.0,3262,20.0,128
2021-02-21,KM,Comoros,AFRO,158.0,3420,15.0,143
2021-02-28,KM,Comoros,AFRO,81.0,3501,1.0,144
2021-03-07,KM,Comoros,AFRO,25.0,3526,2.0,146
2021-03-14,KM,Comoros,AFRO,30.0,3556,0.0,146
2021-03-21,KM,Comoros,AFRO,40.0,3596,0.0,146
2021-03-28,KM,Comoros,AFRO,24.0,3620,0.0,146
2021-04-04,KM,Comoros,AFRO,99.0,3719,0.0,146
2021-04-11,KM,Comoros,AFRO,70.0,3789,0.0,146
2021-04-18,KM,Comoros,AFRO,30.0,3819,0.0,146
2021-04-25,KM,Comoros,AFRO,10.0,3829,0.0,146
2021-05-02,KM,Comoros,AFRO,10.0,3839,0.0,146
2021-05-09,KM,Comoros,AFRO,15.0,3854,0.0,146
2021-05-16,KM,Comoros,AFRO,9.0,3863,0.0,146
2021-05-23,KM,Comoros,AFRO,9.0,3872,0.0,146
2021-05-30,KM,Comoros,AFRO,9.0,3881,0.0,146
2021-06-06,KM,Comoros,AFRO,7.0,3888,0.0,146
2021-06-13,KM,Comoros,AFRO,11.0,3899,0.0,146
2021-06-20,KM,Comoros,AFRO,9.0,3908,0.0,146
2021-06-27,KM,Comoros,AFRO,16.0,3924,0.0,146
2021-07-04,KM,Comoros,AFRO,34.0,3958,0.0,146
2021-07-11,KM,Comoros,AFRO,38.0,3996,0.0,146
2021-07-18,KM,Comoros,AFRO,15.0,4011,1.0,147
2021-07-25,KM,Comoros,AFRO,10.0,4021,0.0,147
2021-08-01,KM,Comoros,AFRO,7.0,4028,0.0,147
2021-08-08,KM,Comoros,AFRO,3.0,4031,0.0,147
2021-08-15,KM,Comoros,AFRO,7.0,4038,0.0,147
2021-08-22,KM,Comoros,AFRO,10.0,4048,0.0,147
2021-08-29,KM,Comoros,AFRO,14.0,4062,0.0,147
2021-09-05,KM,Comoros,AFRO,22.0,4084,0.0,147
2021-09-12,KM,Comoros,AFRO,10.0,4094,0.0,147
2021-09-19,KM,Comoros,AFRO,12.0,4106,0.0,147
2021-09-26,KM,Comoros,AFRO,11.0,4117,0.0,147
2021-10-03,KM,Comoros,AFRO,38.0,4155,0.0,147
2021-10-10,KM,Comoros,AFRO,10.0,4165,0.0,147
2021-10-17,KM,Comoros,AFRO,21.0,4186,0.0,147
2021-10-24,KM,Comoros,AFRO,19.0,4205,0.0,147
2021-10-31,KM,Comoros,AFRO,54.0,4259,0.0,147
2021-11-07,KM,Comoros,AFRO,56.0,4315,0.0,147
2021-11-14,KM,Comoros,AFRO,73.0,4388,2.0,149
2021-11-21,KM,Comoros,AFRO,62.0,4450,1.0,150
2021-11-28,KM,Comoros,AFRO,48.0,4498,0.0,150
