Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-15,KY,Cayman Islands,AMRO,1.0,1,1.0,1
2020-03-22,KY,Cayman Islands,AMRO,2.0,3,0.0,1
2020-03-29,KY,Cayman Islands,AMRO,5.0,8,0.0,1
2020-04-05,KY,Cayman Islands,AMRO,20.0,28,0.0,1
2020-04-12,KY,Cayman Islands,AMRO,17.0,45,0.0,1
2020-04-19,KY,Cayman Islands,AMRO,16.0,61,0.0,1
2020-04-26,KY,Cayman Islands,AMRO,9.0,70,0.0,1
2020-05-03,KY,Cayman Islands,AMRO,4.0,74,0.0,1
2020-05-10,KY,Cayman Islands,AMRO,7.0,81,0.0,1
2020-05-17,KY,Cayman Islands,AMRO,13.0,94,0.0,1
2020-05-24,KY,Cayman Islands,AMRO,35.0,129,0.0,1
2020-05-31,KY,Cayman Islands,AMRO,12.0,141,0.0,1
2020-06-07,KY,Cayman Islands,AMRO,23.0,164,0.0,1
2020-06-14,KY,Cayman Islands,AMRO,23.0,187,0.0,1
2020-06-21,KY,Cayman Islands,AMRO,8.0,195,0.0,1
2020-06-28,KY,Cayman Islands,AMRO,1.0,196,0.0,1
2020-07-05,KY,Cayman Islands,AMRO,5.0,201,0.0,1
2020-07-12,KY,Cayman Islands,AMRO,0.0,201,0.0,1
2020-07-19,KY,Cayman Islands,AMRO,2.0,203,0.0,1
2020-07-26,KY,Cayman Islands,AMRO,0.0,203,0.0,1
2020-08-02,KY,Cayman Islands,AMRO,0.0,203,0.0,1
2020-08-09,KY,Cayman Islands,AMRO,0.0,203,0.0,1
2020-08-16,KY,Cayman Islands,AMRO,0.0,203,0.0,1
2020-08-23,KY,Cayman Islands,AMRO,2.0,205,0.0,1
2020-08-30,KY,Cayman Islands,AMRO,0.0,205,0.0,1
2020-09-06,KY,Cayman Islands,AMRO,0.0,205,0.0,1
2020-09-13,KY,Cayman Islands,AMRO,3.0,208,0.0,1
2020-09-20,KY,Cayman Islands,AMRO,0.0,208,0.0,1
2020-09-27,KY,Cayman Islands,AMRO,2.0,210,0.0,1
2020-10-04,KY,Cayman Islands,AMRO,3.0,213,0.0,1
2020-10-11,KY,Cayman Islands,AMRO,7.0,220,0.0,1
2020-10-18,KY,Cayman Islands,AMRO,13.0,233,0.0,1
2020-10-25,KY,Cayman Islands,AMRO,6.0,239,0.0,1
2020-11-01,KY,Cayman Islands,AMRO,1.0,240,0.0,1
2020-11-08,KY,Cayman Islands,AMRO,10.0,250,0.0,1
2020-11-15,KY,Cayman Islands,AMRO,4.0,254,0.0,1
2020-11-22,KY,Cayman Islands,AMRO,7.0,261,1.0,2
2020-11-29,KY,Cayman Islands,AMRO,13.0,274,0.0,2
2020-12-06,KY,Cayman Islands,AMRO,14.0,288,0.0,2
2020-12-13,KY,Cayman Islands,AMRO,10.0,298,0.0,2
2020-12-20,KY,Cayman Islands,AMRO,13.0,311,0.0,2
2020-12-27,KY,Cayman Islands,AMRO,7.0,318,0.0,2
2021-01-03,KY,Cayman Islands,AMRO,20.0,338,0.0,2
2021-01-10,KY,Cayman Islands,AMRO,21.0,359,0.0,2
2021-01-17,KY,Cayman Islands,AMRO,15.0,374,0.0,2
2021-01-24,KY,Cayman Islands,AMRO,9.0,383,0.0,2
2021-01-31,KY,Cayman Islands,AMRO,7.0,390,0.0,2
2021-02-07,KY,Cayman Islands,AMRO,15.0,405,0.0,2
2021-02-14,KY,Cayman Islands,AMRO,11.0,416,0.0,2
2021-02-21,KY,Cayman Islands,AMRO,12.0,428,0.0,2
2021-02-28,KY,Cayman Islands,AMRO,10.0,438,0.0,2
2021-03-07,KY,Cayman Islands,AMRO,13.0,451,0.0,2
2021-03-14,KY,Cayman Islands,AMRO,17.0,468,0.0,2
2021-03-21,KY,Cayman Islands,AMRO,7.0,475,0.0,2
2021-03-28,KY,Cayman Islands,AMRO,12.0,487,0.0,2
2021-04-04,KY,Cayman Islands,AMRO,14.0,501,0.0,2
2021-04-11,KY,Cayman Islands,AMRO,15.0,516,0.0,2
2021-04-18,KY,Cayman Islands,AMRO,9.0,525,0.0,2
2021-04-25,KY,Cayman Islands,AMRO,9.0,534,0.0,2
2021-05-02,KY,Cayman Islands,AMRO,9.0,543,0.0,2
2021-05-09,KY,Cayman Islands,AMRO,5.0,548,0.0,2
2021-05-16,KY,Cayman Islands,AMRO,17.0,565,0.0,2
2021-05-23,KY,Cayman Islands,AMRO,9.0,574,0.0,2
2021-05-30,KY,Cayman Islands,AMRO,7.0,581,0.0,2
2021-06-06,KY,Cayman Islands,AMRO,6.0,587,0.0,2
2021-06-13,KY,Cayman Islands,AMRO,5.0,592,0.0,2
2021-06-20,KY,Cayman Islands,AMRO,16.0,608,0.0,2
2021-06-27,KY,Cayman Islands,AMRO,1.0,609,0.0,2
2021-07-04,KY,Cayman Islands,AMRO,5.0,614,0.0,2
2021-07-11,KY,Cayman Islands,AMRO,2.0,616,0.0,2
2021-07-18,KY,Cayman Islands,AMRO,6.0,622,0.0,2
2021-07-25,KY,Cayman Islands,AMRO,14.0,636,0.0,2
2021-08-01,KY,Cayman Islands,AMRO,7.0,643,0.0,2
2021-08-08,KY,Cayman Islands,AMRO,3.0,646,0.0,2
2021-08-15,KY,Cayman Islands,AMRO,5.0,651,0.0,2
2021-08-22,KY,Cayman Islands,AMRO,12.0,663,0.0,2
2021-08-29,KY,Cayman Islands,AMRO,17.0,680,0.0,2
2021-09-05,KY,Cayman Islands,AMRO,11.0,691,0.0,2
2021-09-12,KY,Cayman Islands,AMRO,38.0,729,0.0,2
2021-09-19,KY,Cayman Islands,AMRO,45.0,774,0.0,2
2021-09-26,KY,Cayman Islands,AMRO,21.0,795,0.0,2
2021-10-03,KY,Cayman Islands,AMRO,58.0,853,0.0,2
2021-10-10,KY,Cayman Islands,AMRO,86.0,939,0.0,2
2021-10-17,KY,Cayman Islands,AMRO,72.0,1011,0.0,2
2021-10-24,KY,Cayman Islands,AMRO,185.0,1196,0.0,2
2021-10-31,KY,Cayman Islands,AMRO,454.0,1650,0.0,2
2021-11-07,KY,Cayman Islands,AMRO,1026.0,2676,0.0,2
2021-11-14,KY,Cayman Islands,AMRO,751.0,3427,0.0,2
2021-11-21,KY,Cayman Islands,AMRO,2105.0,5532,2.0,4
2021-11-28,KY,Cayman Islands,AMRO,1206.0,6738,0.0,4
2021-12-05,KY,Cayman Islands,AMRO,791.0,7529,3.0,7
2021-12-12,KY,Cayman Islands,AMRO,342.0,7871,2.0,9
2021-12-19,KY,Cayman Islands,AMRO,226.0,8097,0.0,9
2021-12-26,KY,Cayman Islands,AMRO,289.0,8386,2.0,11
2022-01-02,KY,Cayman Islands,AMRO,694.0,9080,1.0,12
2022-01-09,KY,Cayman Islands,AMRO,1538.0,10618,0.0,12
2022-01-16,KY,Cayman Islands,AMRO,1405.0,12023,2.0,14
2022-01-23,KY,Cayman Islands,AMRO,1711.0,13734,1.0,15
2022-01-30,KY,Cayman Islands,AMRO,54.0,13788,0.0,15
2022-02-06,KY,Cayman Islands,AMRO,2146.0,15934,1.0,16
2022-02-13,KY,Cayman Islands,AMRO,1753.0,17687,0.0,16
2022-02-20,KY,Cayman Islands,AMRO,1041.0,18728,1.0,17
2022-02-27,KY,Cayman Islands,AMRO,645.0,19373,0.0,17
2022-03-06,KY,Cayman Islands,AMRO,0.0,19373,0.0,17
2022-03-13,KY,Cayman Islands,AMRO,700.0,20073,4.0,21
2022-03-20,KY,Cayman Islands,AMRO,263.0,20336,2.0,23
2022-03-27,KY,Cayman Islands,AMRO,270.0,20606,1.0,24
2022-04-03,KY,Cayman Islands,AMRO,0.0,20606,1.0,25
2022-04-10,KY,Cayman Islands,AMRO,515.0,21121,0.0,25
2022-04-17,KY,Cayman Islands,AMRO,285.0,21406,2.0,27
2022-04-24,KY,Cayman Islands,AMRO,349.0,21755,0.0,27
2022-05-01,KY,Cayman Islands,AMRO,468.0,22223,0.0,27
2022-05-08,KY,Cayman Islands,AMRO,605.0,22828,1.0,28
2022-05-15,KY,Cayman Islands,AMRO,750.0,23578,0.0,28
2022-05-22,KY,Cayman Islands,AMRO,899.0,24477,0.0,28
2022-05-29,KY,Cayman Islands,AMRO,0.0,24477,0.0,28
2022-06-05,KY,Cayman Islands,AMRO,1409.0,25886,0.0,28
2022-06-12,KY,Cayman Islands,AMRO,439.0,26325,0.0,28
2022-06-19,KY,Cayman Islands,AMRO,472.0,26797,0.0,28
2022-06-26,KY,Cayman Islands,AMRO,374.0,27171,0.0,28
2022-07-03,KY,Cayman Islands,AMRO,423.0,27594,1.0,29
2022-07-10,KY,Cayman Islands,AMRO,372.0,27966,0.0,29
2022-07-17,KY,Cayman Islands,AMRO,423.0,28389,0.0,29
2022-07-24,KY,Cayman Islands,AMRO,395.0,28784,0.0,29
2022-07-31,KY,Cayman Islands,AMRO,325.0,29109,0.0,29
2022-08-07,KY,Cayman Islands,AMRO,310.0,29419,0.0,29
2022-08-14,KY,Cayman Islands,AMRO,234.0,29653,0.0,29
2022-08-21,KY,Cayman Islands,AMRO,254.0,29907,0.0,29
2022-08-28,KY,Cayman Islands,AMRO,150.0,30057,0.0,29
2022-09-04,KY,Cayman Islands,AMRO,157.0,30214,0.0,29
2022-09-11,KY,Cayman Islands,AMRO,166.0,30380,0.0,29
2022-09-18,KY,Cayman Islands,AMRO,165.0,30545,2.0,31
2022-09-25,KY,Cayman Islands,AMRO,0.0,30545,0.0,31
2022-10-02,KY,Cayman Islands,AMRO,116.0,30661,1.0,32
2022-10-09,KY,Cayman Islands,AMRO,148.0,30809,2.0,34
2022-10-16,KY,Cayman Islands,AMRO,0.0,30809,0.0,34
2022-10-23,KY,Cayman Islands,AMRO,117.0,30926,0.0,34
2022-10-30,KY,Cayman Islands,AMRO,80.0,31006,0.0,34
2022-11-06,KY,Cayman Islands,AMRO,90.0,31096,1.0,35
2022-11-13,KY,Cayman Islands,AMRO,98.0,31194,1.0,36
2022-11-20,KY,Cayman Islands,AMRO,0.0,31194,0.0,36
2022-11-27,KY,Cayman Islands,AMRO,0.0,31194,0.0,36
