Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-15,KZ,Kazakhstan,EURO,6.0,6,0.0,0
2020-03-22,KZ,Kazakhstan,EURO,51.0,57,0.0,0
2020-03-29,KZ,Kazakhstan,EURO,227.0,284,1.0,1
2020-04-05,KZ,Kazakhstan,EURO,247.0,531,4.0,5
2020-04-12,KZ,Kazakhstan,EURO,366.0,897,5.0,10
2020-04-19,KZ,Kazakhstan,EURO,730.0,1627,9.0,19
2020-04-26,KZ,Kazakhstan,EURO,974.0,2601,6.0,25
2020-05-03,KZ,Kazakhstan,EURO,1276.0,3877,1.0,26
2020-05-10,KZ,Kazakhstan,EURO,1179.0,5056,5.0,31
2020-05-17,KZ,Kazakhstan,EURO,1101.0,6157,3.0,34
2020-05-24,KZ,Kazakhstan,EURO,2165.0,8322,1.0,35
2020-05-31,KZ,Kazakhstan,EURO,2536.0,10858,3.0,38
2020-06-07,KZ,Kazakhstan,EURO,1836.0,12694,16.0,54
2020-06-14,KZ,Kazakhstan,EURO,1802.0,14496,19.0,73
2020-06-21,KZ,Kazakhstan,EURO,3345.0,17841,45.0,118
2020-06-28,KZ,Kazakhstan,EURO,10222.0,28063,55.0,173
2020-07-05,KZ,Kazakhstan,EURO,19108.0,47171,69.0,242
2020-07-12,KZ,Kazakhstan,EURO,11082.0,58253,110.0,352
2020-07-19,KZ,Kazakhstan,EURO,12086.0,70339,23.0,375
2020-07-26,KZ,Kazakhstan,EURO,11381.0,81720,210.0,585
2020-08-02,KZ,Kazakhstan,EURO,15054.0,96774,238.0,823
2020-08-09,KZ,Kazakhstan,EURO,15048.0,111822,286.0,1109
2020-08-16,KZ,Kazakhstan,EURO,9339.0,121161,324.0,1433
2020-08-23,KZ,Kazakhstan,EURO,6042.0,127203,200.0,1633
2020-08-30,KZ,Kazakhstan,EURO,4139.0,131342,148.0,1781
2020-09-06,KZ,Kazakhstan,EURO,2582.0,133924,97.0,1878
2020-09-13,KZ,Kazakhstan,EURO,2460.0,136384,70.0,1948
2020-09-20,KZ,Kazakhstan,EURO,1964.0,138348,51.0,1999
2020-09-27,KZ,Kazakhstan,EURO,1827.0,140175,44.0,2043
2020-10-04,KZ,Kazakhstan,EURO,1573.0,141748,32.0,2075
2020-10-11,KZ,Kazakhstan,EURO,1884.0,143632,31.0,2106
2020-10-18,KZ,Kazakhstan,EURO,1688.0,145320,30.0,2136
2020-10-25,KZ,Kazakhstan,EURO,1977.0,147297,42.0,2178
2020-11-01,KZ,Kazakhstan,EURO,3083.0,150380,41.0,2219
2020-11-08,KZ,Kazakhstan,EURO,4840.0,155220,40.0,2259
2020-11-15,KZ,Kazakhstan,EURO,5392.0,160612,47.0,2306
2020-11-22,KZ,Kazakhstan,EURO,6013.0,166625,59.0,2365
2020-11-29,KZ,Kazakhstan,EURO,6344.0,172969,52.0,2417
2020-12-06,KZ,Kazakhstan,EURO,6375.0,179344,60.0,2477
2020-12-13,KZ,Kazakhstan,EURO,6169.0,185513,65.0,2542
2020-12-20,KZ,Kazakhstan,EURO,5456.0,190969,67.0,2609
2020-12-27,KZ,Kazakhstan,EURO,6173.0,197142,60.0,2669
2021-01-03,KZ,Kazakhstan,EURO,5738.0,202880,80.0,2749
2021-01-10,KZ,Kazakhstan,EURO,5716.0,208596,96.0,2845
2021-01-17,KZ,Kazakhstan,EURO,6331.0,214927,40.0,2885
2021-01-24,KZ,Kazakhstan,EURO,9468.0,224395,71.0,2956
2021-01-31,KZ,Kazakhstan,EURO,10174.0,234569,79.0,3035
2021-02-07,KZ,Kazakhstan,EURO,8838.0,243407,91.0,3126
2021-02-14,KZ,Kazakhstan,EURO,7069.0,250476,59.0,3185
2021-02-21,KZ,Kazakhstan,EURO,5912.0,256388,61.0,3246
2021-02-28,KZ,Kazakhstan,EURO,5705.0,262093,65.0,3311
2021-03-07,KZ,Kazakhstan,EURO,5564.0,267657,78.0,3389
2021-03-14,KZ,Kazakhstan,EURO,5864.0,273521,67.0,3456
2021-03-21,KZ,Kazakhstan,EURO,8277.0,281798,55.0,3511
2021-03-28,KZ,Kazakhstan,EURO,8994.0,290792,2291.0,5802
2021-04-04,KZ,Kazakhstan,EURO,13130.0,303922,110.0,5912
2021-04-11,KZ,Kazakhstan,EURO,16959.0,320881,116.0,6028
2021-04-18,KZ,Kazakhstan,EURO,17964.0,338845,151.0,6179
2021-04-25,KZ,Kazakhstan,EURO,19989.0,358834,194.0,6373
2021-05-02,KZ,Kazakhstan,EURO,19736.0,378570,188.0,6561
2021-05-09,KZ,Kazakhstan,EURO,17560.0,396130,197.0,6758
2021-05-16,KZ,Kazakhstan,EURO,16106.0,412236,218.0,6976
2021-05-23,KZ,Kazakhstan,EURO,15637.0,427873,173.0,7149
2021-05-30,KZ,Kazakhstan,EURO,12496.0,440369,0.0,7149
2021-06-06,KZ,Kazakhstan,EURO,9489.0,449858,172.0,7321
2021-06-13,KZ,Kazakhstan,EURO,7616.0,457474,144.0,7465
2021-06-20,KZ,Kazakhstan,EURO,7711.0,465185,121.0,7586
