Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-29,LA,Lao People's Democratic Republic,WPRO,6.0,6,0.0,0
2020-04-05,LA,Lao People's Democratic Republic,WPRO,4.0,10,0.0,0
2020-04-12,LA,Lao People's Democratic Republic,WPRO,6.0,16,0.0,0
2020-04-19,LA,Lao People's Democratic Republic,WPRO,3.0,19,0.0,0
2020-04-26,LA,Lao People's Democratic Republic,WPRO,0.0,19,0.0,0
2020-05-03,LA,Lao People's Democratic Republic,WPRO,0.0,19,0.0,0
2020-05-10,LA,Lao People's Democratic Republic,WPRO,0.0,19,0.0,0
2020-05-17,LA,Lao People's Democratic Republic,WPRO,0.0,19,0.0,0
2020-05-24,LA,Lao People's Democratic Republic,WPRO,0.0,19,0.0,0
2020-05-31,LA,Lao People's Democratic Republic,WPRO,0.0,19,0.0,0
2020-06-07,LA,Lao People's Democratic Republic,WPRO,0.0,19,0.0,0
2020-06-14,LA,Lao People's Democratic Republic,WPRO,0.0,19,0.0,0
2020-06-21,LA,Lao People's Democratic Republic,WPRO,0.0,19,0.0,0
2020-06-28,LA,Lao People's Democratic Republic,WPRO,0.0,19,0.0,0
2020-07-05,LA,Lao People's Democratic Republic,WPRO,0.0,19,0.0,0
2020-07-12,LA,Lao People's Democratic Republic,WPRO,0.0,19,0.0,0
2020-07-19,LA,Lao People's Democratic Republic,WPRO,0.0,19,0.0,0
2020-07-26,LA,Lao People's Democratic Republic,WPRO,1.0,20,0.0,0
2020-08-02,LA,Lao People's Democratic Republic,WPRO,0.0,20,0.0,0
2020-08-09,LA,Lao People's Democratic Republic,WPRO,0.0,20,0.0,0
2020-08-16,LA,Lao People's Democratic Republic,WPRO,2.0,22,0.0,0
2020-08-23,LA,Lao People's Democratic Republic,WPRO,0.0,22,0.0,0
2020-08-30,LA,Lao People's Democratic Republic,WPRO,0.0,22,0.0,0
2020-09-06,LA,Lao People's Democratic Republic,WPRO,0.0,22,0.0,0
2020-09-13,LA,Lao People's Democratic Republic,WPRO,1.0,23,0.0,0
2020-09-20,LA,Lao People's Democratic Republic,WPRO,0.0,23,0.0,0
2020-09-27,LA,Lao People's Democratic Republic,WPRO,0.0,23,0.0,0
2020-10-04,LA,Lao People's Democratic Republic,WPRO,0.0,23,0.0,0
2020-10-11,LA,Lao People's Democratic Republic,WPRO,0.0,23,0.0,0
2020-10-18,LA,Lao People's Democratic Republic,WPRO,0.0,23,0.0,0
2020-10-25,LA,Lao People's Democratic Republic,WPRO,1.0,24,0.0,0
2020-11-01,LA,Lao People's Democratic Republic,WPRO,0.0,24,0.0,0
2020-11-08,LA,Lao People's Democratic Republic,WPRO,0.0,24,0.0,0
2020-11-15,LA,Lao People's Democratic Republic,WPRO,0.0,24,0.0,0
2020-11-22,LA,Lao People's Democratic Republic,WPRO,1.0,25,0.0,0
2020-11-29,LA,Lao People's Democratic Republic,WPRO,14.0,39,0.0,0
2020-12-06,LA,Lao People's Democratic Republic,WPRO,0.0,39,0.0,0
2020-12-13,LA,Lao People's Democratic Republic,WPRO,2.0,41,0.0,0
2020-12-20,LA,Lao People's Democratic Republic,WPRO,0.0,41,0.0,0
2020-12-27,LA,Lao People's Democratic Republic,WPRO,0.0,41,0.0,0
2021-01-03,LA,Lao People's Democratic Republic,WPRO,0.0,41,0.0,0
2021-01-10,LA,Lao People's Democratic Republic,WPRO,0.0,41,0.0,0
2021-01-17,LA,Lao People's Democratic Republic,WPRO,0.0,41,0.0,0
2021-01-24,LA,Lao People's Democratic Republic,WPRO,2.0,43,0.0,0
2021-01-31,LA,Lao People's Democratic Republic,WPRO,1.0,44,0.0,0
2021-02-07,LA,Lao People's Democratic Republic,WPRO,1.0,45,0.0,0
2021-02-14,LA,Lao People's Democratic Republic,WPRO,0.0,45,0.0,0
2021-02-21,LA,Lao People's Democratic Republic,WPRO,0.0,45,0.0,0
2021-02-28,LA,Lao People's Democratic Republic,WPRO,0.0,45,0.0,0
2021-03-07,LA,Lao People's Democratic Republic,WPRO,2.0,47,0.0,0
2021-03-14,LA,Lao People's Democratic Republic,WPRO,2.0,49,0.0,0
2021-03-21,LA,Lao People's Democratic Republic,WPRO,0.0,49,0.0,0
2021-03-28,LA,Lao People's Democratic Republic,WPRO,0.0,49,0.0,0
2021-04-04,LA,Lao People's Democratic Republic,WPRO,0.0,49,0.0,0
2021-04-11,LA,Lao People's Democratic Republic,WPRO,2.0,51,0.0,0
2021-04-18,LA,Lao People's Democratic Republic,WPRO,7.0,58,0.0,0
2021-04-25,LA,Lao People's Democratic Republic,WPRO,254.0,312,0.0,0
2021-05-02,LA,Lao People's Democratic Republic,WPRO,568.0,880,0.0,0
2021-05-09,LA,Lao People's Democratic Republic,WPRO,362.0,1242,1.0,1
2021-05-16,LA,Lao People's Democratic Republic,WPRO,289.0,1531,1.0,2
2021-05-23,LA,Lao People's Democratic Republic,WPRO,210.0,1741,0.0,2
2021-05-30,LA,Lao People's Democratic Republic,WPRO,110.0,1851,1.0,3
2021-06-06,LA,Lao People's Democratic Republic,WPRO,52.0,1903,0.0,3
2021-06-13,LA,Lao People's Democratic Republic,WPRO,33.0,1936,0.0,3
2021-06-20,LA,Lao People's Democratic Republic,WPRO,57.0,1993,0.0,3
2021-06-27,LA,Lao People's Democratic Republic,WPRO,57.0,2050,0.0,3
2021-07-04,LA,Lao People's Democratic Republic,WPRO,194.0,2244,0.0,3
2021-07-11,LA,Lao People's Democratic Republic,WPRO,475.0,2719,0.0,3
2021-07-18,LA,Lao People's Democratic Republic,WPRO,707.0,3426,2.0,5
2021-07-25,LA,Lao People's Democratic Republic,WPRO,1336.0,4762,0.0,5
2021-08-01,LA,Lao People's Democratic Republic,WPRO,1804.0,6566,2.0,7
2021-08-08,LA,Lao People's Democratic Republic,WPRO,1825.0,8391,1.0,8
2021-08-15,LA,Lao People's Democratic Republic,WPRO,1701.0,10092,1.0,9
2021-08-22,LA,Lao People's Democratic Republic,WPRO,2377.0,12469,2.0,11
2021-08-29,LA,Lao People's Democratic Republic,WPRO,2172.0,14641,1.0,12
2021-09-05,LA,Lao People's Democratic Republic,WPRO,1292.0,15933,4.0,16
2021-09-12,LA,Lao People's Democratic Republic,WPRO,1424.0,17357,0.0,16
2021-09-19,LA,Lao People's Democratic Republic,WPRO,1828.0,19185,0.0,16
2021-09-26,LA,Lao People's Democratic Republic,WPRO,2634.0,21819,0.0,16
2021-10-03,LA,Lao People's Democratic Republic,WPRO,3398.0,25217,6.0,22
2021-10-10,LA,Lao People's Democratic Republic,WPRO,3323.0,28540,4.0,26
2021-10-17,LA,Lao People's Democratic Republic,WPRO,3489.0,32029,14.0,40
2021-10-24,LA,Lao People's Democratic Republic,WPRO,3604.0,35633,12.0,52
2021-10-31,LA,Lao People's Democratic Republic,WPRO,4638.0,40271,13.0,65
2021-11-07,LA,Lao People's Democratic Republic,WPRO,6785.0,47056,17.0,82
2021-11-14,LA,Lao People's Democratic Republic,WPRO,7136.0,54192,17.0,99
2021-11-21,LA,Lao People's Democratic Republic,WPRO,7968.0,62160,33.0,132
2021-11-28,LA,Lao People's Democratic Republic,WPRO,9358.0,71518,27.0,159
2021-12-05,LA,Lao People's Democratic Republic,WPRO,8315.0,79833,48.0,207
2021-12-12,LA,Lao People's Democratic Republic,WPRO,9487.0,89320,40.0,247
2021-12-19,LA,Lao People's Democratic Republic,WPRO,9252.0,98572,26.0,273
2021-12-26,LA,Lao People's Democratic Republic,WPRO,7659.0,106231,52.0,325
2022-01-02,LA,Lao People's Democratic Republic,WPRO,6536.0,112767,55.0,380
2022-01-09,LA,Lao People's Democratic Republic,WPRO,6113.0,118880,57.0,437
2022-01-16,LA,Lao People's Democratic Republic,WPRO,5851.0,124731,58.0,495
2022-01-23,LA,Lao People's Democratic Republic,WPRO,5222.0,129953,31.0,526
2022-01-30,LA,Lao People's Democratic Republic,WPRO,3571.0,133524,18.0,544
2022-02-06,LA,Lao People's Democratic Republic,WPRO,2914.0,136438,30.0,574
2022-02-13,LA,Lao People's Democratic Republic,WPRO,2590.0,139028,20.0,594
2022-02-20,LA,Lao People's Democratic Republic,WPRO,2055.0,141083,16.0,610
2022-02-27,LA,Lao People's Democratic Republic,WPRO,1526.0,142609,11.0,621
2022-03-06,LA,Lao People's Democratic Republic,WPRO,1546.0,144155,8.0,629
2022-03-13,LA,Lao People's Democratic Republic,WPRO,2173.0,146328,11.0,640
2022-03-20,LA,Lao People's Democratic Republic,WPRO,6629.0,152957,5.0,645
2022-03-27,LA,Lao People's Democratic Republic,WPRO,15036.0,167993,16.0,661
2022-04-03,LA,Lao People's Democratic Republic,WPRO,15567.0,183560,10.0,671
2022-04-10,LA,Lao People's Democratic Republic,WPRO,11905.0,195465,0.0,671
2022-04-17,LA,Lao People's Democratic Republic,WPRO,4725.0,200190,0.0,671
