Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-15,LC,Saint Lucia,AMRO,1.0,1,0.0,0
2020-03-22,LC,Saint Lucia,AMRO,1.0,2,0.0,0
2020-03-29,LC,Saint Lucia,AMRO,1.0,3,0.0,0
2020-04-05,LC,Saint Lucia,AMRO,10.0,13,0.0,0
2020-04-12,LC,Saint Lucia,AMRO,2.0,15,0.0,0
2020-04-19,LC,Saint Lucia,AMRO,0.0,15,0.0,0
2020-04-26,LC,Saint Lucia,AMRO,0.0,15,0.0,0
2020-05-03,LC,Saint Lucia,AMRO,2.0,17,0.0,0
2020-05-10,LC,Saint Lucia,AMRO,1.0,18,0.0,0
2020-05-17,LC,Saint Lucia,AMRO,0.0,18,0.0,0
2020-05-24,LC,Saint Lucia,AMRO,0.0,18,0.0,0
2020-05-31,LC,Saint Lucia,AMRO,0.0,18,0.0,0
2020-06-07,LC,Saint Lucia,AMRO,1.0,19,0.0,0
2020-06-14,LC,Saint Lucia,AMRO,0.0,19,0.0,0
2020-06-21,LC,Saint Lucia,AMRO,0.0,19,0.0,0
2020-06-28,LC,Saint Lucia,AMRO,0.0,19,0.0,0
2020-07-05,LC,Saint Lucia,AMRO,3.0,22,0.0,0
2020-07-12,LC,Saint Lucia,AMRO,0.0,22,0.0,0
2020-07-19,LC,Saint Lucia,AMRO,1.0,23,0.0,0
2020-07-26,LC,Saint Lucia,AMRO,1.0,24,0.0,0
2020-08-02,LC,Saint Lucia,AMRO,1.0,25,0.0,0
2020-08-09,LC,Saint Lucia,AMRO,0.0,25,0.0,0
2020-08-16,LC,Saint Lucia,AMRO,0.0,25,0.0,0
2020-08-23,LC,Saint Lucia,AMRO,1.0,26,0.0,0
2020-08-30,LC,Saint Lucia,AMRO,0.0,26,0.0,0
2020-09-06,LC,Saint Lucia,AMRO,0.0,26,0.0,0
2020-09-13,LC,Saint Lucia,AMRO,1.0,27,0.0,0
2020-09-20,LC,Saint Lucia,AMRO,0.0,27,0.0,0
2020-09-27,LC,Saint Lucia,AMRO,0.0,27,0.0,0
2020-10-04,LC,Saint Lucia,AMRO,0.0,27,0.0,0
2020-10-11,LC,Saint Lucia,AMRO,2.0,29,0.0,0
2020-10-18,LC,Saint Lucia,AMRO,4.0,33,0.0,0
2020-10-25,LC,Saint Lucia,AMRO,19.0,52,0.0,0
2020-11-01,LC,Saint Lucia,AMRO,26.0,78,0.0,0
2020-11-08,LC,Saint Lucia,AMRO,32.0,110,0.0,0
2020-11-15,LC,Saint Lucia,AMRO,50.0,160,2.0,2
2020-11-22,LC,Saint Lucia,AMRO,43.0,203,0.0,2
2020-11-29,LC,Saint Lucia,AMRO,43.0,246,0.0,2
2020-12-06,LC,Saint Lucia,AMRO,19.0,265,0.0,2
2020-12-13,LC,Saint Lucia,AMRO,9.0,274,2.0,4
2020-12-20,LC,Saint Lucia,AMRO,6.0,280,1.0,5
2020-12-27,LC,Saint Lucia,AMRO,25.0,305,0.0,5
2021-01-03,LC,Saint Lucia,AMRO,48.0,353,0.0,5
