Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-02-02,LK,Sri Lanka,SEARO,5.0,5,0.0,0
2020-02-09,LK,Sri Lanka,SEARO,0.0,5,0.0,0
2020-02-16,LK,Sri Lanka,SEARO,0.0,5,0.0,0
2020-02-23,LK,Sri Lanka,SEARO,0.0,5,0.0,0
2020-03-01,LK,Sri Lanka,SEARO,0.0,5,0.0,0
2020-03-08,LK,Sri Lanka,SEARO,0.0,5,0.0,0
2020-03-15,LK,Sri Lanka,SEARO,6.0,11,0.0,0
2020-03-22,LK,Sri Lanka,SEARO,71.0,82,0.0,0
2020-03-29,LK,Sri Lanka,SEARO,33.0,115,1.0,1
2020-04-05,LK,Sri Lanka,SEARO,51.0,166,4.0,5
2020-04-12,LK,Sri Lanka,SEARO,33.0,199,2.0,7
2020-04-19,LK,Sri Lanka,SEARO,55.0,254,0.0,7
2020-04-26,LK,Sri Lanka,SEARO,206.0,460,0.0,7
2020-05-03,LK,Sri Lanka,SEARO,245.0,705,0.0,7
2020-05-10,LK,Sri Lanka,SEARO,142.0,847,2.0,9
2020-05-17,LK,Sri Lanka,SEARO,134.0,981,0.0,9
2020-05-24,LK,Sri Lanka,SEARO,160.0,1141,0.0,9
2020-05-31,LK,Sri Lanka,SEARO,492.0,1633,1.0,10
2020-06-07,LK,Sri Lanka,SEARO,202.0,1835,1.0,11
2020-06-14,LK,Sri Lanka,SEARO,54.0,1889,0.0,11
2020-06-21,LK,Sri Lanka,SEARO,61.0,1950,0.0,11
2020-06-28,LK,Sri Lanka,SEARO,87.0,2037,0.0,11
2020-07-05,LK,Sri Lanka,SEARO,39.0,2076,0.0,11
2020-07-12,LK,Sri Lanka,SEARO,541.0,2617,0.0,11
2020-07-19,LK,Sri Lanka,SEARO,107.0,2724,0.0,11
2020-07-26,LK,Sri Lanka,SEARO,58.0,2782,0.0,11
2020-08-02,LK,Sri Lanka,SEARO,41.0,2823,0.0,11
2020-08-09,LK,Sri Lanka,SEARO,21.0,2844,0.0,11
2020-08-16,LK,Sri Lanka,SEARO,46.0,2890,0.0,11
2020-08-23,LK,Sri Lanka,SEARO,57.0,2947,1.0,12
2020-08-30,LK,Sri Lanka,SEARO,65.0,3012,0.0,12
2020-09-06,LK,Sri Lanka,SEARO,111.0,3123,0.0,12
2020-09-13,LK,Sri Lanka,SEARO,111.0,3234,0.0,12
2020-09-20,LK,Sri Lanka,SEARO,53.0,3287,1.0,13
2020-09-27,LK,Sri Lanka,SEARO,73.0,3360,0.0,13
2020-10-04,LK,Sri Lanka,SEARO,42.0,3402,0.0,13
2020-10-11,LK,Sri Lanka,SEARO,1350.0,4752,0.0,13
2020-10-18,LK,Sri Lanka,SEARO,786.0,5538,0.0,13
2020-10-25,LK,Sri Lanka,SEARO,2334.0,7872,2.0,15
2020-11-01,LK,Sri Lanka,SEARO,3188.0,11060,6.0,21
2020-11-08,LK,Sri Lanka,SEARO,2869.0,13929,14.0,35
2020-11-15,LK,Sri Lanka,SEARO,3358.0,17287,23.0,58
2020-11-22,LK,Sri Lanka,SEARO,2884.0,20171,29.0,87
2020-11-29,LK,Sri Lanka,SEARO,3313.0,23484,29.0,116
2020-12-06,LK,Sri Lanka,SEARO,4393.0,27877,24.0,140
2020-12-13,LK,Sri Lanka,SEARO,4913.0,32790,12.0,152
2020-12-20,LK,Sri Lanka,SEARO,4471.0,37261,24.0,176
2020-12-27,LK,Sri Lanka,SEARO,3793.0,41054,15.0,191
2021-01-03,LK,Sri Lanka,SEARO,3720.0,44774,22.0,213
2021-01-10,LK,Sri Lanka,SEARO,3606.0,48380,19.0,232
2021-01-17,LK,Sri Lanka,SEARO,4682.0,53062,32.0,264
2021-01-24,LK,Sri Lanka,SEARO,5368.0,58430,19.0,283
2021-01-31,LK,Sri Lanka,SEARO,5727.0,64157,33.0,316
2021-02-07,LK,Sri Lanka,SEARO,5191.0,69348,40.0,356
2021-02-14,LK,Sri Lanka,SEARO,6306.0,75654,41.0,397
2021-02-21,LK,Sri Lanka,SEARO,4345.0,79999,48.0,445
2021-02-28,LK,Sri Lanka,SEARO,3243.0,83242,26.0,471
2021-03-07,LK,Sri Lanka,SEARO,2453.0,85695,31.0,502
2021-03-14,LK,Sri Lanka,SEARO,2212.0,87907,25.0,527
2021-03-21,LK,Sri Lanka,SEARO,2293.0,90200,19.0,546
2021-03-28,LK,Sri Lanka,SEARO,1888.0,92088,15.0,561
2021-04-04,LK,Sri Lanka,SEARO,1348.0,93436,20.0,581
2021-04-11,LK,Sri Lanka,SEARO,1695.0,95131,17.0,598
2021-04-18,LK,Sri Lanka,SEARO,1665.0,96796,20.0,618
2021-04-25,LK,Sri Lanka,SEARO,4583.0,101379,24.0,642
2021-05-02,LK,Sri Lanka,SEARO,10374.0,111753,45.0,687
2021-05-09,LK,Sri Lanka,SEARO,14153.0,125906,114.0,801
2021-05-16,LK,Sri Lanka,SEARO,16840.0,142746,161.0,962
2021-05-23,LK,Sri Lanka,SEARO,21455.0,164201,248.0,1210
2021-05-30,LK,Sri Lanka,SEARO,19251.0,183452,231.0,1441
2021-06-06,LK,Sri Lanka,SEARO,21881.0,205333,301.0,1742
2021-06-13,LK,Sri Lanka,SEARO,18305.0,223638,394.0,2136
2021-06-20,LK,Sri Lanka,SEARO,16051.0,239689,388.0,2524
2021-06-27,LK,Sri Lanka,SEARO,13929.0,253618,363.0,2887
2021-07-04,LK,Sri Lanka,SEARO,12012.0,265630,292.0,3179
2021-07-11,LK,Sri Lanka,SEARO,8908.0,274538,266.0,3445
2021-07-18,LK,Sri Lanka,SEARO,10394.0,284932,277.0,3722
2021-07-25,LK,Sri Lanka,SEARO,11584.0,296516,320.0,4042
2021-08-01,LK,Sri Lanka,SEARO,14833.0,311349,409.0,4451
2021-08-08,LK,Sri Lanka,SEARO,18645.0,329994,603.0,5054
2021-08-15,LK,Sri Lanka,SEARO,24974.0,354968,985.0,6039
2021-08-22,LK,Sri Lanka,SEARO,35032.0,390000,1327.0,7366
2021-08-29,LK,Sri Lanka,SEARO,41519.0,431519,1409.0,8775
2021-09-05,LK,Sri Lanka,SEARO,31248.0,462767,1365.0,10140
2021-09-12,LK,Sri Lanka,SEARO,23155.0,485922,1156.0,11296
2021-09-19,LK,Sri Lanka,SEARO,18569.0,504491,829.0,12125
2021-09-26,LK,Sri Lanka,SEARO,9118.0,513609,555.0,12680
2021-10-03,LK,Sri Lanka,SEARO,6823.0,520432,379.0,13059
2021-10-10,LK,Sri Lanka,SEARO,5951.0,526383,272.0,13331
2021-10-17,LK,Sri Lanka,SEARO,5265.0,531648,153.0,13484
2021-10-24,LK,Sri Lanka,SEARO,4436.0,536084,127.0,13611
2021-10-31,LK,Sri Lanka,SEARO,4989.0,541073,132.0,13743
2021-11-07,LK,Sri Lanka,SEARO,4183.0,545256,113.0,13856
2021-11-14,LK,Sri Lanka,SEARO,6286.0,551542,139.0,13995
2021-11-21,LK,Sri Lanka,SEARO,5084.0,556626,132.0,14127
2021-11-28,LK,Sri Lanka,SEARO,5894.0,562520,178.0,14305
2021-12-05,LK,Sri Lanka,SEARO,5162.0,567682,156.0,14461
2021-12-12,LK,Sri Lanka,SEARO,5220.0,572902,153.0,14614
2021-12-19,LK,Sri Lanka,SEARO,6783.0,579685,138.0,14752
2021-12-26,LK,Sri Lanka,SEARO,3964.0,583649,132.0,14884
2022-01-02,LK,Sri Lanka,SEARO,4286.0,587935,135.0,15019
2022-01-09,LK,Sri Lanka,SEARO,3732.0,591667,100.0,15119
2022-01-16,LK,Sri Lanka,SEARO,4680.0,596347,92.0,15211
2022-01-23,LK,Sri Lanka,SEARO,5539.0,601886,88.0,15299
2022-01-30,LK,Sri Lanka,SEARO,8217.0,610103,121.0,15420
2022-02-06,LK,Sri Lanka,SEARO,8417.0,618520,175.0,15595
2022-02-13,LK,Sri Lanka,SEARO,9596.0,628116,213.0,15808
2022-02-20,LK,Sri Lanka,SEARO,8721.0,636837,186.0,15994
2022-02-27,LK,Sri Lanka,SEARO,8200.0,645037,196.0,16190
2022-03-06,LK,Sri Lanka,SEARO,5103.0,650140,141.0,16331
2022-03-13,LK,Sri Lanka,SEARO,5901.0,656041,66.0,16397
2022-03-20,LK,Sri Lanka,SEARO,2156.0,658197,34.0,16431
2022-03-27,LK,Sri Lanka,SEARO,2693.0,660890,28.0,16459
2022-04-03,LK,Sri Lanka,SEARO,1101.0,661991,22.0,16481
2022-04-10,LK,Sri Lanka,SEARO,601.0,662592,8.0,16489
2022-04-17,LK,Sri Lanka,SEARO,272.0,662864,7.0,16496
2022-04-24,LK,Sri Lanka,SEARO,296.0,663160,6.0,16502
2022-05-01,LK,Sri Lanka,SEARO,213.0,663373,3.0,16505
2022-05-08,LK,Sri Lanka,SEARO,188.0,663561,4.0,16509
2022-05-15,LK,Sri Lanka,SEARO,110.0,663671,2.0,16511
2022-05-22,LK,Sri Lanka,SEARO,87.0,663758,1.0,16512
2022-05-29,LK,Sri Lanka,SEARO,58.0,663816,4.0,16516
2022-06-05,LK,Sri Lanka,SEARO,53.0,663869,2.0,16518
2022-06-12,LK,Sri Lanka,SEARO,81.0,663950,1.0,16519
2022-06-19,LK,Sri Lanka,SEARO,47.0,663997,1.0,16520
2022-06-26,LK,Sri Lanka,SEARO,83.0,664080,1.0,16521
2022-07-03,LK,Sri Lanka,SEARO,87.0,664167,1.0,16522
2022-07-10,LK,Sri Lanka,SEARO,106.0,664273,3.0,16525
2022-07-17,LK,Sri Lanka,SEARO,175.0,664448,3.0,16528
2022-07-24,LK,Sri Lanka,SEARO,452.0,664900,9.0,16537
2022-07-31,LK,Sri Lanka,SEARO,839.0,665739,19.0,16556
2022-08-07,LK,Sri Lanka,SEARO,1025.0,666764,30.0,16586
2022-08-14,LK,Sri Lanka,SEARO,1248.0,668012,35.0,16621
2022-08-21,LK,Sri Lanka,SEARO,1021.0,669033,33.0,16654
2022-08-28,LK,Sri Lanka,SEARO,716.0,669749,33.0,16687
2022-09-04,LK,Sri Lanka,SEARO,427.0,670176,24.0,16711
2022-09-11,LK,Sri Lanka,SEARO,268.0,670444,17.0,16728
2022-09-18,LK,Sri Lanka,SEARO,152.0,670596,19.0,16747
2022-09-25,LK,Sri Lanka,SEARO,113.0,670709,8.0,16755
2022-10-02,LK,Sri Lanka,SEARO,81.0,670790,7.0,16762
2022-10-09,LK,Sri Lanka,SEARO,79.0,670869,6.0,16768
2022-10-16,LK,Sri Lanka,SEARO,52.0,670921,1.0,16769
2022-10-23,LK,Sri Lanka,SEARO,73.0,670994,5.0,16774
2022-10-30,LK,Sri Lanka,SEARO,76.0,671070,5.0,16779
2022-11-06,LK,Sri Lanka,SEARO,258.0,671328,3.0,16782
2022-11-13,LK,Sri Lanka,SEARO,89.0,671417,2.0,16784
2022-11-20,LK,Sri Lanka,SEARO,88.0,671505,7.0,16791
2022-11-27,LK,Sri Lanka,SEARO,133.0,671638,9.0,16800
2022-12-04,LK,Sri Lanka,SEARO,65.0,671703,5.0,16805
2022-12-11,LK,Sri Lanka,SEARO,49.0,671752,3.0,16808
2022-12-18,LK,Sri Lanka,SEARO,56.0,671808,6.0,16814
2022-12-25,LK,Sri Lanka,SEARO,43.0,671851,1.0,16815
2023-01-01,LK,Sri Lanka,SEARO,40.0,671891,2.0,16817
2023-01-08,LK,Sri Lanka,SEARO,36.0,671927,1.0,16818
2023-01-15,LK,Sri Lanka,SEARO,36.0,671963,5.0,16823
2023-01-22,LK,Sri Lanka,SEARO,13.0,671976,2.0,16825
2023-01-29,LK,Sri Lanka,SEARO,11.0,671987,2.0,16827
2023-02-05,LK,Sri Lanka,SEARO,13.0,672000,1.0,16828
2023-02-12,LK,Sri Lanka,SEARO,7.0,672007,0.0,16828
2023-02-19,LK,Sri Lanka,SEARO,13.0,672020,1.0,16829
