Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-22,LT,Lithuania,EURO,29.0,29,0.0,0
2020-03-29,LT,Lithuania,EURO,233.0,262,4.0,4
2020-04-05,LT,Lithuania,EURO,354.0,616,4.0,8
2020-04-12,LT,Lithuania,EURO,264.0,880,6.0,14
2020-04-19,LT,Lithuania,EURO,238.0,1118,9.0,23
2020-04-26,LT,Lithuania,EURO,127.0,1245,8.0,31
2020-05-03,LT,Lithuania,EURO,82.0,1327,2.0,33
2020-05-10,LT,Lithuania,EURO,72.0,1399,3.0,36
2020-05-17,LT,Lithuania,EURO,76.0,1475,7.0,43
2020-05-24,LT,Lithuania,EURO,82.0,1557,5.0,48
2020-05-31,LT,Lithuania,EURO,48.0,1605,6.0,54
2020-06-07,LT,Lithuania,EURO,44.0,1649,2.0,56
2020-06-14,LT,Lithuania,EURO,52.0,1701,3.0,59
2020-06-21,LT,Lithuania,EURO,29.0,1730,1.0,60
2020-06-28,LT,Lithuania,EURO,15.0,1745,1.0,61
2020-07-05,LT,Lithuania,EURO,26.0,1771,1.0,62
2020-07-12,LT,Lithuania,EURO,31.0,1802,0.0,62
2020-07-19,LT,Lithuania,EURO,71.0,1873,1.0,63
2020-07-26,LT,Lithuania,EURO,30.0,1903,0.0,63
2020-08-02,LT,Lithuania,EURO,146.0,2049,0.0,63
2020-08-09,LT,Lithuania,EURO,142.0,2191,1.0,64
2020-08-16,LT,Lithuania,EURO,192.0,2383,0.0,64
2020-08-23,LT,Lithuania,EURO,237.0,2620,3.0,67
2020-08-30,LT,Lithuania,EURO,227.0,2847,2.0,69
2020-09-06,LT,Lithuania,EURO,214.0,3061,0.0,69
2020-09-13,LT,Lithuania,EURO,287.0,3348,2.0,71
2020-09-20,LT,Lithuania,EURO,433.0,3781,0.0,71
2020-09-27,LT,Lithuania,EURO,710.0,4491,5.0,76
2020-10-04,LT,Lithuania,EURO,790.0,5281,5.0,81
2020-10-11,LT,Lithuania,EURO,1029.0,6310,8.0,89
