Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-01,LU,Luxembourg,EURO,1.0,1,0.0,0
2020-03-08,LU,Luxembourg,EURO,3.0,4,0.0,0
2020-03-15,LU,Luxembourg,EURO,83.0,87,3.0,3
2020-03-22,LU,Luxembourg,EURO,682.0,769,12.0,15
2020-03-29,LU,Luxembourg,EURO,1067.0,1836,21.0,36
2020-04-05,LU,Luxembourg,EURO,624.0,2460,22.0,58
2020-04-12,LU,Luxembourg,EURO,294.0,2754,16.0,74
2020-04-19,LU,Luxembourg,EURO,110.0,2864,5.0,79
2020-04-26,LU,Luxembourg,EURO,77.0,2941,2.0,81
2020-05-03,LU,Luxembourg,EURO,46.0,2987,2.0,83
2020-05-10,LU,Luxembourg,EURO,30.0,3017,0.0,83
2020-05-17,LU,Luxembourg,EURO,26.0,3043,0.0,83
2020-05-24,LU,Luxembourg,EURO,32.0,3075,0.0,83
2020-05-31,LU,Luxembourg,EURO,13.0,3088,0.0,83
2020-06-07,LU,Luxembourg,EURO,10.0,3098,0.0,83
2020-06-14,LU,Luxembourg,EURO,26.0,3124,0.0,83
2020-06-21,LU,Luxembourg,EURO,36.0,3160,0.0,83
2020-06-28,LU,Luxembourg,EURO,106.0,3266,0.0,83
2020-07-05,LU,Luxembourg,EURO,203.0,3469,0.0,83
2020-07-12,LU,Luxembourg,EURO,255.0,3724,4.0,87
2020-07-19,LU,Luxembourg,EURO,414.0,4138,3.0,90
2020-07-26,LU,Luxembourg,EURO,473.0,4611,1.0,91
2020-08-02,LU,Luxembourg,EURO,355.0,4966,3.0,94
2020-08-09,LU,Luxembourg,EURO,249.0,5215,1.0,95
2020-08-16,LU,Luxembourg,EURO,178.0,5393,0.0,95
2020-08-23,LU,Luxembourg,EURO,250.0,5643,0.0,95
2020-08-30,LU,Luxembourg,EURO,262.0,5905,0.0,95
2020-09-06,LU,Luxembourg,EURO,265.0,6170,0.0,95
2020-09-13,LU,Luxembourg,EURO,240.0,6410,0.0,95
2020-09-20,LU,Luxembourg,EURO,590.0,7000,0.0,95
2020-09-27,LU,Luxembourg,EURO,409.0,7409,3.0,98
2020-10-04,LU,Luxembourg,EURO,463.0,7872,1.0,99
2020-10-11,LU,Luxembourg,EURO,682.0,8554,7.0,106
2020-10-18,LU,Luxembourg,EURO,1110.0,9664,7.0,113
2020-10-25,LU,Luxembourg,EURO,2710.0,12374,13.0,126
2020-11-01,LU,Luxembourg,EURO,3089.0,15463,11.0,137
2020-11-08,LU,Luxembourg,EURO,2634.0,18097,12.0,149
2020-11-15,LU,Luxembourg,EURO,2835.0,20932,11.0,160
2020-11-22,LU,Luxembourg,EURO,3255.0,24187,21.0,181
2020-11-29,LU,Luxembourg,EURO,3410.0,27597,17.0,198
2020-12-06,LU,Luxembourg,EURO,3633.0,31230,20.0,218
2020-12-13,LU,Luxembourg,EURO,3241.0,34471,32.0,250
2020-12-20,LU,Luxembourg,EURO,2623.0,37094,16.0,266
2020-12-27,LU,Luxembourg,EURO,1289.0,38383,19.0,285
2021-01-03,LU,Luxembourg,EURO,1111.0,39494,10.0,295
2021-01-10,LU,Luxembourg,EURO,1035.0,40529,6.0,301
2021-01-17,LU,Luxembourg,EURO,857.0,41386,9.0,310
2021-01-24,LU,Luxembourg,EURO,853.0,42239,13.0,323
2021-01-31,LU,Luxembourg,EURO,1049.0,43288,14.0,337
2021-02-07,LU,Luxembourg,EURO,1187.0,44475,14.0,351
2021-02-14,LU,Luxembourg,EURO,1131.0,45606,16.0,367
2021-02-21,LU,Luxembourg,EURO,1295.0,46901,11.0,378
2021-02-28,LU,Luxembourg,EURO,1360.0,48261,28.0,406
2021-03-07,LU,Luxembourg,EURO,1251.0,49512,33.0,439
2021-03-14,LU,Luxembourg,EURO,1303.0,50815,23.0,462
2021-03-21,LU,Luxembourg,EURO,1637.0,52452,21.0,483
2021-03-28,LU,Luxembourg,EURO,1760.0,54212,13.0,496
2021-04-04,LU,Luxembourg,EURO,1626.0,55838,10.0,506
2021-04-11,LU,Luxembourg,EURO,1374.0,57212,14.0,520
2021-04-18,LU,Luxembourg,EURO,1332.0,58544,5.0,525
2021-04-25,LU,Luxembourg,EURO,1243.0,59787,2.0,527
2021-05-02,LU,Luxembourg,EURO,1137.0,60924,4.0,531
2021-05-09,LU,Luxembourg,EURO,954.0,61878,4.0,535
2021-05-16,LU,Luxembourg,EURO,758.0,62636,2.0,537
2021-05-23,LU,Luxembourg,EURO,526.0,63162,1.0,538
2021-05-30,LU,Luxembourg,EURO,372.0,63534,0.0,538
2021-06-06,LU,Luxembourg,EURO,338.0,63872,1.0,539
2021-06-13,LU,Luxembourg,EURO,200.0,64072,0.0,539
2021-06-20,LU,Luxembourg,EURO,103.0,64175,0.0,539
2021-06-27,LU,Luxembourg,EURO,125.0,64300,0.0,539
2021-07-04,LU,Luxembourg,EURO,846.0,65146,0.0,539
2021-07-11,LU,Luxembourg,EURO,910.0,66056,1.0,540
2021-07-18,LU,Luxembourg,EURO,800.0,66856,1.0,541
2021-07-25,LU,Luxembourg,EURO,651.0,67507,3.0,544
2021-08-01,LU,Luxembourg,EURO,509.0,68016,1.0,545
2021-08-08,LU,Luxembourg,EURO,485.0,68501,1.0,546
2021-08-15,LU,Luxembourg,EURO,370.0,68871,1.0,547
2021-08-22,LU,Luxembourg,EURO,503.0,69374,1.0,548
2021-08-29,LU,Luxembourg,EURO,634.0,70008,2.0,550
2021-09-05,LU,Luxembourg,EURO,655.0,70663,2.0,552
2021-09-12,LU,Luxembourg,EURO,605.0,71268,0.0,552
2021-09-19,LU,Luxembourg,EURO,580.0,71848,3.0,555
