Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-08,MA,Morocco,EMRO,2.0,2,0.0,0
2020-03-15,MA,Morocco,EMRO,15.0,17,1.0,1
2020-03-22,MA,Morocco,EMRO,79.0,96,2.0,3
2020-03-29,MA,Morocco,EMRO,294.0,390,22.0,25
2020-04-05,MA,Morocco,EMRO,529.0,919,34.0,59
2020-04-12,MA,Morocco,EMRO,626.0,1545,52.0,111
2020-04-19,MA,Morocco,EMRO,1140.0,2685,26.0,137
2020-04-26,MA,Morocco,EMRO,1212.0,3897,22.0,159
2020-05-03,MA,Morocco,EMRO,832.0,4729,14.0,173
2020-05-10,MA,Morocco,EMRO,1181.0,5910,13.0,186
2020-05-17,MA,Morocco,EMRO,831.0,6741,6.0,192
2020-05-24,MA,Morocco,EMRO,665.0,7406,6.0,198
2020-05-31,MA,Morocco,EMRO,374.0,7780,6.0,204
2020-06-07,MA,Morocco,EMRO,371.0,8151,4.0,208
2020-06-14,MA,Morocco,EMRO,541.0,8692,4.0,212
2020-06-21,MA,Morocco,EMRO,1147.0,9839,1.0,213
2020-06-28,MA,Morocco,EMRO,2038.0,11877,7.0,220
2020-07-05,MA,Morocco,EMRO,1945.0,13822,12.0,232
2020-07-12,MA,Morocco,EMRO,1720.0,15542,13.0,245
2020-07-19,MA,Morocco,EMRO,1473.0,17015,24.0,269
2020-07-26,MA,Morocco,EMRO,2630.0,19645,36.0,305
2020-08-02,MA,Morocco,EMRO,5406.0,25051,62.0,367
2020-08-09,MA,Morocco,EMRO,6956.0,32007,113.0,480
2020-08-16,MA,Morocco,EMRO,9010.0,41017,152.0,632
2020-08-23,MA,Morocco,EMRO,9795.0,50812,226.0,858
2020-08-30,MA,Morocco,EMRO,9244.0,60056,220.0,1078
2020-09-06,MA,Morocco,EMRO,10104.0,70160,251.0,1329
2020-09-13,MA,Morocco,EMRO,14275.0,84435,224.0,1553
2020-09-20,MA,Morocco,EMRO,15381.0,99816,242.0,1795
2020-09-27,MA,Morocco,EMRO,15425.0,115241,246.0,2041
2020-10-04,MA,Morocco,EMRO,15987.0,131228,252.0,2293
2020-10-11,MA,Morocco,EMRO,18613.0,149841,279.0,2572
2020-10-18,MA,Morocco,EMRO,21070.0,170911,306.0,2878
