Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-12,MC,Monaco,EURO,1.0,1,0.0,0
2020-01-19,MC,Monaco,EURO,0.0,1,0.0,0
2020-01-26,MC,Monaco,EURO,0.0,1,0.0,0
2020-02-02,MC,Monaco,EURO,0.0,1,0.0,0
2020-02-09,MC,Monaco,EURO,0.0,1,0.0,0
2020-02-16,MC,Monaco,EURO,0.0,1,0.0,0
2020-02-23,MC,Monaco,EURO,0.0,1,0.0,0
2020-03-01,MC,Monaco,EURO,1.0,2,0.0,0
2020-03-08,MC,Monaco,EURO,0.0,2,0.0,0
2020-03-15,MC,Monaco,EURO,5.0,7,0.0,0
2020-03-22,MC,Monaco,EURO,5.0,12,0.0,0
2020-03-29,MC,Monaco,EURO,15.0,27,0.0,0
2020-04-05,MC,Monaco,EURO,14.0,41,0.0,0
2020-04-12,MC,Monaco,EURO,12.0,53,1.0,1
2020-04-19,MC,Monaco,EURO,1.0,54,0.0,1
2020-04-26,MC,Monaco,EURO,2.0,56,0.0,1
2020-05-03,MC,Monaco,EURO,0.0,56,0.0,1
2020-05-10,MC,Monaco,EURO,0.0,56,0.0,1
2020-05-17,MC,Monaco,EURO,1.0,57,0.0,1
2020-05-24,MC,Monaco,EURO,2.0,59,0.0,1
2020-05-31,MC,Monaco,EURO,0.0,59,0.0,1
2020-06-07,MC,Monaco,EURO,0.0,59,0.0,1
2020-06-14,MC,Monaco,EURO,0.0,59,0.0,1
2020-06-21,MC,Monaco,EURO,0.0,59,0.0,1
2020-06-28,MC,Monaco,EURO,2.0,61,0.0,1
2020-07-05,MC,Monaco,EURO,5.0,66,0.0,1
2020-07-12,MC,Monaco,EURO,2.0,68,0.0,1
2020-07-19,MC,Monaco,EURO,0.0,68,0.0,1
2020-07-26,MC,Monaco,EURO,3.0,71,0.0,1
2020-08-02,MC,Monaco,EURO,3.0,74,0.0,1
2020-08-09,MC,Monaco,EURO,3.0,77,0.0,1
2020-08-16,MC,Monaco,EURO,6.0,83,0.0,1
2020-08-23,MC,Monaco,EURO,18.0,101,0.0,1
2020-08-30,MC,Monaco,EURO,22.0,123,0.0,1
2020-09-06,MC,Monaco,EURO,24.0,147,0.0,1
2020-09-13,MC,Monaco,EURO,13.0,160,0.0,1
2020-09-20,MC,Monaco,EURO,14.0,174,0.0,1
