Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-22,MG,Madagascar,AFRO,1.0,1,0.0,0
2020-03-29,MG,Madagascar,AFRO,41.0,42,0.0,0
2020-04-05,MG,Madagascar,AFRO,29.0,71,0.0,0
2020-04-12,MG,Madagascar,AFRO,35.0,106,0.0,0
2020-04-19,MG,Madagascar,AFRO,14.0,120,0.0,0
2020-04-26,MG,Madagascar,AFRO,4.0,124,0.0,0
2020-05-03,MG,Madagascar,AFRO,25.0,149,1.0,1
2020-05-10,MG,Madagascar,AFRO,20.0,169,0.0,1
2020-05-17,MG,Madagascar,AFRO,114.0,283,0.0,1
2020-05-24,MG,Madagascar,AFRO,205.0,488,2.0,3
2020-05-31,MG,Madagascar,AFRO,270.0,758,3.0,6
2020-06-07,MG,Madagascar,AFRO,268.0,1026,2.0,8
2020-06-14,MG,Madagascar,AFRO,226.0,1252,2.0,10
2020-06-21,MG,Madagascar,AFRO,251.0,1503,3.0,13
2020-06-28,MG,Madagascar,AFRO,502.0,2005,3.0,16
2020-07-05,MG,Madagascar,AFRO,936.0,2941,13.0,29
2020-07-12,MG,Madagascar,AFRO,1637.0,4578,5.0,34
2020-07-19,MG,Madagascar,AFRO,2271.0,6849,21.0,55
2020-07-26,MG,Madagascar,AFRO,2017.0,8866,23.0,78
2020-08-02,MG,Madagascar,AFRO,2407.0,11273,29.0,107
2020-08-09,MG,Madagascar,AFRO,1649.0,12922,34.0,141
2020-08-16,MG,Madagascar,AFRO,802.0,13724,25.0,166
2020-08-23,MG,Madagascar,AFRO,553.0,14277,12.0,178
2020-08-30,MG,Madagascar,AFRO,514.0,14791,12.0,190
2020-09-06,MG,Madagascar,AFRO,478.0,15269,9.0,199
2020-09-13,MG,Madagascar,AFRO,468.0,15737,11.0,210
2020-09-20,MG,Madagascar,AFRO,283.0,16020,9.0,219
2020-09-27,MG,Madagascar,AFRO,237.0,16257,10.0,229
2020-10-04,MG,Madagascar,AFRO,272.0,16529,3.0,232
2020-10-11,MG,Madagascar,AFRO,173.0,16702,5.0,237
2020-10-18,MG,Madagascar,AFRO,108.0,16810,1.0,238
2020-10-25,MG,Madagascar,AFRO,158.0,16968,6.0,244
2020-11-01,MG,Madagascar,AFRO,143.0,17111,0.0,244
2020-11-08,MG,Madagascar,AFRO,112.0,17223,5.0,249
2020-11-15,MG,Madagascar,AFRO,87.0,17310,1.0,250
2020-11-22,MG,Madagascar,AFRO,31.0,17341,1.0,251
2020-11-29,MG,Madagascar,AFRO,0.0,17341,0.0,251
2020-12-06,MG,Madagascar,AFRO,132.0,17473,4.0,255
2020-12-13,MG,Madagascar,AFRO,114.0,17587,4.0,259
2020-12-20,MG,Madagascar,AFRO,46.0,17633,1.0,260
2020-12-27,MG,Madagascar,AFRO,81.0,17714,1.0,261
2021-01-03,MG,Madagascar,AFRO,53.0,17767,1.0,262
2021-01-10,MG,Madagascar,AFRO,234.0,18001,5.0,267
2021-01-17,MG,Madagascar,AFRO,300.0,18301,6.0,273
