Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-01,MK,North Macedonia,EURO,1.0,1,0.0,0
2020-03-08,MK,North Macedonia,EURO,3.0,4,0.0,0
2020-03-15,MK,North Macedonia,EURO,15.0,19,0.0,0
2020-03-22,MK,North Macedonia,EURO,117.0,136,1.0,1
2020-03-29,MK,North Macedonia,EURO,149.0,285,5.0,6
2020-04-05,MK,North Macedonia,EURO,287.0,572,17.0,23
2020-04-12,MK,North Macedonia,EURO,286.0,858,15.0,38
2020-04-19,MK,North Macedonia,EURO,370.0,1228,18.0,56
2020-04-26,MK,North Macedonia,EURO,170.0,1398,13.0,69
2020-05-03,MK,North Macedonia,EURO,120.0,1518,18.0,87
2020-05-10,MK,North Macedonia,EURO,146.0,1664,6.0,93
2020-05-17,MK,North Macedonia,EURO,153.0,1817,14.0,107
2020-05-24,MK,North Macedonia,EURO,181.0,1998,9.0,116
2020-05-31,MK,North Macedonia,EURO,317.0,2315,23.0,139
2020-06-07,MK,North Macedonia,EURO,839.0,3154,20.0,159
2020-06-14,MK,North Macedonia,EURO,1009.0,4163,41.0,200
2020-06-21,MK,North Macedonia,EURO,1035.0,5198,54.0,254
2020-06-28,MK,North Macedonia,EURO,1014.0,6212,53.0,307
2020-07-05,MK,North Macedonia,EURO,928.0,7140,50.0,357
2020-07-12,MK,North Macedonia,EURO,1073.0,8213,39.0,396
2020-07-19,MK,North Macedonia,EURO,1044.0,9257,48.0,444
2020-07-26,MK,North Macedonia,EURO,953.0,10210,36.0,480
2020-08-02,MK,North Macedonia,EURO,910.0,11120,31.0,511
2020-08-09,MK,North Macedonia,EURO,814.0,11934,26.0,537
2020-08-16,MK,North Macedonia,EURO,897.0,12831,21.0,558
2020-08-23,MK,North Macedonia,EURO,838.0,13669,22.0,580
2020-08-30,MK,North Macedonia,EURO,661.0,14330,36.0,616
2020-09-06,MK,North Macedonia,EURO,790.0,15120,26.0,642
2020-09-13,MK,North Macedonia,EURO,703.0,15823,28.0,670
2020-09-20,MK,North Macedonia,EURO,955.0,16778,49.0,719
2020-09-27,MK,North Macedonia,EURO,888.0,17666,29.0,748
2020-10-04,MK,North Macedonia,EURO,1204.0,18870,33.0,781
2020-10-11,MK,North Macedonia,EURO,2243.0,21113,34.0,815
2020-10-18,MK,North Macedonia,EURO,2676.0,23789,55.0,870
2020-10-25,MK,North Macedonia,EURO,3405.0,27194,100.0,970
2020-11-01,MK,North Macedonia,EURO,5801.0,32995,115.0,1085
2020-11-08,MK,North Macedonia,EURO,7287.0,40282,191.0,1276
2020-11-15,MK,North Macedonia,EURO,7362.0,47644,242.0,1518
2020-11-22,MK,North Macedonia,EURO,7483.0,55127,267.0,1785
2020-11-29,MK,North Macedonia,EURO,6741.0,61868,273.0,2058
2020-12-06,MK,North Macedonia,EURO,6460.0,68328,257.0,2315
2020-12-13,MK,North Macedonia,EURO,5514.0,73842,212.0,2527
2020-12-20,MK,North Macedonia,EURO,4585.0,78427,204.0,2731
2020-12-27,MK,North Macedonia,EURO,3369.0,81796,165.0,2896
2021-01-03,MK,North Macedonia,EURO,2325.0,84121,124.0,3020
2021-01-10,MK,North Macedonia,EURO,2463.0,86584,84.0,3104
