Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-29,MM,Myanmar,SEARO,8.0,8,0.0,0
2020-04-05,MM,Myanmar,SEARO,13.0,21,1.0,1
2020-04-12,MM,Myanmar,SEARO,17.0,38,2.0,3
2020-04-19,MM,Myanmar,SEARO,69.0,107,2.0,5
2020-04-26,MM,Myanmar,SEARO,39.0,146,0.0,5
2020-05-03,MM,Myanmar,SEARO,5.0,151,1.0,6
2020-05-10,MM,Myanmar,SEARO,27.0,178,0.0,6
2020-05-17,MM,Myanmar,SEARO,6.0,184,0.0,6
2020-05-24,MM,Myanmar,SEARO,17.0,201,0.0,6
2020-05-31,MM,Myanmar,SEARO,23.0,224,0.0,6
2020-06-07,MM,Myanmar,SEARO,18.0,242,0.0,6
2020-06-14,MM,Myanmar,SEARO,19.0,261,0.0,6
2020-06-21,MM,Myanmar,SEARO,29.0,290,0.0,6
2020-06-28,MM,Myanmar,SEARO,9.0,299,0.0,6
2020-07-05,MM,Myanmar,SEARO,14.0,313,0.0,6
2020-07-12,MM,Myanmar,SEARO,18.0,331,0.0,6
2020-07-19,MM,Myanmar,SEARO,10.0,341,0.0,6
2020-07-26,MM,Myanmar,SEARO,9.0,350,0.0,6
2020-08-02,MM,Myanmar,SEARO,3.0,353,0.0,6
2020-08-09,MM,Myanmar,SEARO,7.0,360,0.0,6
2020-08-16,MM,Myanmar,SEARO,14.0,374,0.0,6
2020-08-23,MM,Myanmar,SEARO,70.0,444,0.0,6
2020-08-30,MM,Myanmar,SEARO,331.0,775,0.0,6
2020-09-06,MM,Myanmar,SEARO,644.0,1419,2.0,8
2020-09-13,MM,Myanmar,SEARO,1513.0,2932,12.0,20
2020-09-20,MM,Myanmar,SEARO,2331.0,5263,69.0,89
2020-09-27,MM,Myanmar,SEARO,4728.0,9991,109.0,198
2020-10-04,MM,Myanmar,SEARO,6512.0,16503,173.0,371
2020-10-11,MM,Myanmar,SEARO,9561.0,26064,227.0,598
2020-10-18,MM,Myanmar,SEARO,8811.0,34875,240.0,838
2020-10-25,MM,Myanmar,SEARO,8913.0,43788,228.0,1066
2020-11-01,MM,Myanmar,SEARO,8918.0,52706,171.0,1237
