Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-15,MN,Mongolia,WPRO,1.0,1,0.0,0
2020-03-22,MN,Mongolia,WPRO,9.0,10,0.0,0
2020-03-29,MN,Mongolia,WPRO,2.0,12,0.0,0
2020-04-05,MN,Mongolia,WPRO,2.0,14,0.0,0
2020-04-12,MN,Mongolia,WPRO,2.0,16,0.0,0
2020-04-19,MN,Mongolia,WPRO,16.0,32,0.0,0
2020-04-26,MN,Mongolia,WPRO,6.0,38,0.0,0
2020-05-03,MN,Mongolia,WPRO,1.0,39,0.0,0
2020-05-10,MN,Mongolia,WPRO,3.0,42,0.0,0
2020-05-17,MN,Mongolia,WPRO,94.0,136,0.0,0
2020-05-24,MN,Mongolia,WPRO,5.0,141,0.0,0
2020-05-31,MN,Mongolia,WPRO,38.0,179,0.0,0
2020-06-07,MN,Mongolia,WPRO,14.0,193,0.0,0
2020-06-14,MN,Mongolia,WPRO,4.0,197,0.0,0
2020-06-21,MN,Mongolia,WPRO,7.0,204,0.0,0
2020-06-28,MN,Mongolia,WPRO,15.0,219,0.0,0
2020-07-05,MN,Mongolia,WPRO,1.0,220,0.0,0
2020-07-12,MN,Mongolia,WPRO,10.0,230,0.0,0
2020-07-19,MN,Mongolia,WPRO,57.0,287,0.0,0
2020-07-26,MN,Mongolia,WPRO,1.0,288,0.0,0
2020-08-02,MN,Mongolia,WPRO,5.0,293,0.0,0
2020-08-09,MN,Mongolia,WPRO,0.0,293,0.0,0
2020-08-16,MN,Mongolia,WPRO,5.0,298,0.0,0
2020-08-23,MN,Mongolia,WPRO,0.0,298,0.0,0
2020-08-30,MN,Mongolia,WPRO,3.0,301,0.0,0
2020-09-06,MN,Mongolia,WPRO,9.0,310,0.0,0
2020-09-13,MN,Mongolia,WPRO,1.0,311,0.0,0
2020-09-20,MN,Mongolia,WPRO,0.0,311,0.0,0
2020-09-27,MN,Mongolia,WPRO,2.0,313,0.0,0
2020-10-04,MN,Mongolia,WPRO,0.0,313,0.0,0
2020-10-11,MN,Mongolia,WPRO,2.0,315,0.0,0
2020-10-18,MN,Mongolia,WPRO,5.0,320,0.0,0
2020-10-25,MN,Mongolia,WPRO,17.0,337,0.0,0
2020-11-01,MN,Mongolia,WPRO,9.0,346,0.0,0
2020-11-08,MN,Mongolia,WPRO,11.0,357,0.0,0
2020-11-15,MN,Mongolia,WPRO,59.0,416,0.0,0
2020-11-22,MN,Mongolia,WPRO,213.0,629,0.0,0
2020-11-29,MN,Mongolia,WPRO,155.0,784,0.0,0
2020-12-06,MN,Mongolia,WPRO,65.0,849,0.0,0
2020-12-13,MN,Mongolia,WPRO,58.0,907,0.0,0
2020-12-20,MN,Mongolia,WPRO,54.0,961,1.0,1
2020-12-27,MN,Mongolia,WPRO,160.0,1121,0.0,1
2021-01-03,MN,Mongolia,WPRO,165.0,1286,0.0,1
2021-01-10,MN,Mongolia,WPRO,156.0,1442,0.0,1
2021-01-17,MN,Mongolia,WPRO,84.0,1526,0.0,1
2021-01-24,MN,Mongolia,WPRO,117.0,1643,1.0,2
2021-01-31,MN,Mongolia,WPRO,171.0,1814,0.0,2
2021-02-07,MN,Mongolia,WPRO,259.0,2073,0.0,2
2021-02-14,MN,Mongolia,WPRO,310.0,2383,0.0,2
2021-02-21,MN,Mongolia,WPRO,310.0,2693,0.0,2
2021-02-28,MN,Mongolia,WPRO,259.0,2952,0.0,2
2021-03-07,MN,Mongolia,WPRO,384.0,3336,1.0,3
2021-03-14,MN,Mongolia,WPRO,747.0,4083,1.0,4
2021-03-21,MN,Mongolia,WPRO,1103.0,5186,1.0,5
2021-03-28,MN,Mongolia,WPRO,2403.0,7589,1.0,6
2021-04-04,MN,Mongolia,WPRO,3231.0,10820,6.0,12
2021-04-11,MN,Mongolia,WPRO,4898.0,15718,11.0,23
2021-04-18,MN,Mongolia,WPRO,7166.0,22884,26.0,49
2021-04-25,MN,Mongolia,WPRO,8455.0,31339,34.0,83
2021-05-02,MN,Mongolia,WPRO,8042.0,39381,48.0,131
2021-05-09,MN,Mongolia,WPRO,6078.0,45459,34.0,165
2021-05-16,MN,Mongolia,WPRO,3716.0,49175,37.0,202
2021-05-23,MN,Mongolia,WPRO,3925.0,53100,21.0,223
2021-05-30,MN,Mongolia,WPRO,5339.0,58439,30.0,253
2021-06-06,MN,Mongolia,WPRO,8004.0,66443,35.0,288
2021-06-13,MN,Mongolia,WPRO,11904.0,78347,57.0,345
2021-06-20,MN,Mongolia,WPRO,17472.0,95819,74.0,419
2021-06-27,MN,Mongolia,WPRO,15686.0,111505,60.0,479
2021-07-04,MN,Mongolia,WPRO,15306.0,126811,69.0,548
2021-07-11,MN,Mongolia,WPRO,12473.0,139284,57.0,605
2021-07-18,MN,Mongolia,WPRO,10449.0,149733,32.0,637
2021-07-25,MN,Mongolia,WPRO,8241.0,157974,51.0,688
2021-08-01,MN,Mongolia,WPRO,9255.0,167229,34.0,722
2021-08-08,MN,Mongolia,WPRO,8331.0,175560,31.0,753
2021-08-15,MN,Mongolia,WPRO,8092.0,183652,23.0,776
2021-08-22,MN,Mongolia,WPRO,11593.0,195245,26.0,802
