Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-08,MT,Malta,EURO,3.0,3,0.0,0
2020-03-15,MT,Malta,EURO,28.0,31,0.0,0
2020-03-22,MT,Malta,EURO,78.0,109,0.0,0
2020-03-29,MT,Malta,EURO,50.0,159,0.0,0
2020-04-05,MT,Malta,EURO,79.0,238,0.0,0
2020-04-12,MT,Malta,EURO,149.0,387,3.0,3
2020-04-19,MT,Malta,EURO,44.0,431,0.0,3
2020-04-26,MT,Malta,EURO,20.0,451,1.0,4
2020-05-03,MT,Malta,EURO,30.0,481,0.0,4
2020-05-10,MT,Malta,EURO,23.0,504,1.0,5
2020-05-17,MT,Malta,EURO,54.0,558,1.0,6
2020-05-24,MT,Malta,EURO,56.0,614,0.0,6
2020-05-31,MT,Malta,EURO,7.0,621,3.0,9
2020-06-07,MT,Malta,EURO,11.0,632,0.0,9
2020-06-14,MT,Malta,EURO,21.0,653,0.0,9
2020-06-21,MT,Malta,EURO,15.0,668,0.0,9
2020-06-28,MT,Malta,EURO,5.0,673,0.0,9
2020-07-05,MT,Malta,EURO,2.0,675,0.0,9
2020-07-12,MT,Malta,EURO,2.0,677,0.0,9
2020-07-19,MT,Malta,EURO,3.0,680,0.0,9
2020-07-26,MT,Malta,EURO,24.0,704,0.0,9
2020-08-02,MT,Malta,EURO,167.0,871,0.0,9
2020-08-09,MT,Malta,EURO,243.0,1114,0.0,9
2020-08-16,MT,Malta,EURO,368.0,1482,0.0,9
2020-08-23,MT,Malta,EURO,295.0,1777,1.0,10
2020-08-30,MT,Malta,EURO,249.0,2026,2.0,12
2020-09-06,MT,Malta,EURO,233.0,2259,3.0,15
2020-09-13,MT,Malta,EURO,326.0,2585,1.0,16
2020-09-20,MT,Malta,EURO,376.0,2961,6.0,22
2020-09-27,MT,Malta,EURO,230.0,3191,11.0,33
2020-10-04,MT,Malta,EURO,320.0,3511,7.0,40
2020-10-11,MT,Malta,EURO,519.0,4030,4.0,44
2020-10-18,MT,Malta,EURO,891.0,4921,2.0,46
2020-10-25,MT,Malta,EURO,841.0,5762,8.0,54
2020-11-01,MT,Malta,EURO,800.0,6562,11.0,65
2020-11-08,MT,Malta,EURO,871.0,7433,16.0,81
2020-11-15,MT,Malta,EURO,907.0,8340,21.0,102
2020-11-22,MT,Malta,EURO,854.0,9194,15.0,117
2020-11-29,MT,Malta,EURO,871.0,10065,26.0,143
2020-12-06,MT,Malta,EURO,778.0,10843,14.0,157
2020-12-13,MT,Malta,EURO,600.0,11443,23.0,180
2020-12-20,MT,Malta,EURO,558.0,12001,22.0,202
2020-12-27,MT,Malta,EURO,615.0,12616,25.0,227
2021-01-03,MT,Malta,EURO,925.0,13541,6.0,233
2021-01-10,MT,Malta,EURO,1286.0,14827,8.0,241
2021-01-17,MT,Malta,EURO,1211.0,16038,12.0,253
2021-01-24,MT,Malta,EURO,1133.0,17171,16.0,269
2021-01-31,MT,Malta,EURO,1143.0,18314,15.0,284
2021-02-07,MT,Malta,EURO,704.0,19018,14.0,298
2021-02-14,MT,Malta,EURO,1128.0,20146,15.0,313
2021-02-21,MT,Malta,EURO,1133.0,21279,12.0,325
2021-02-28,MT,Malta,EURO,1607.0,22886,10.0,335
2021-03-07,MT,Malta,EURO,1904.0,24790,20.0,355
2021-03-14,MT,Malta,EURO,2094.0,26884,10.0,365
2021-03-21,MT,Malta,EURO,1572.0,28456,21.0,386
2021-03-28,MT,Malta,EURO,617.0,29073,18.0,404
2021-04-04,MT,Malta,EURO,340.0,29413,11.0,415
2021-04-11,MT,Malta,EURO,380.0,29793,3.0,418
2021-04-18,MT,Malta,EURO,362.0,30155,8.0,426
2021-04-25,MT,Malta,EURO,165.0,30320,5.0,431
2021-05-02,MT,Malta,EURO,166.0,30486,0.0,431
2021-05-09,MT,Malta,EURO,105.0,30591,0.0,431
2021-05-16,MT,Malta,EURO,56.0,30647,1.0,432
2021-05-23,MT,Malta,EURO,23.0,30670,0.0,432
2021-05-30,MT,Malta,EURO,29.0,30699,2.0,434
2021-06-06,MT,Malta,EURO,35.0,30734,0.0,434
2021-06-13,MT,Malta,EURO,11.0,30745,0.0,434
2021-06-20,MT,Malta,EURO,16.0,30761,1.0,435
2021-06-27,MT,Malta,EURO,23.0,30784,0.0,435
2021-07-04,MT,Malta,EURO,51.0,30835,0.0,435
2021-07-11,MT,Malta,EURO,622.0,31457,1.0,436
2021-07-18,MT,Malta,EURO,1383.0,32840,1.0,437
2021-07-25,MT,Malta,EURO,1133.0,33973,1.0,438
2021-08-01,MT,Malta,EURO,633.0,34606,2.0,440
2021-08-08,MT,Malta,EURO,469.0,35075,4.0,444
2021-08-15,MT,Malta,EURO,474.0,35549,4.0,448
2021-08-22,MT,Malta,EURO,454.0,36003,5.0,453
2021-08-29,MT,Malta,EURO,291.0,36294,5.0,458
2021-09-05,MT,Malta,EURO,384.0,36678,5.0,463
2021-09-12,MT,Malta,EURO,285.0,36963,5.0,468
2021-09-19,MT,Malta,EURO,204.0,37167,5.0,473
2021-09-26,MT,Malta,EURO,109.0,37276,1.0,474
2021-10-03,MT,Malta,EURO,118.0,37394,3.0,477
2021-10-10,MT,Malta,EURO,137.0,37531,0.0,477
2021-10-17,MT,Malta,EURO,108.0,37639,1.0,478
2021-10-24,MT,Malta,EURO,98.0,37737,1.0,479
2021-10-31,MT,Malta,EURO,108.0,37845,2.0,481
2021-11-07,MT,Malta,EURO,258.0,38103,0.0,481
2021-11-14,MT,Malta,EURO,323.0,38426,0.0,481
2021-11-21,MT,Malta,EURO,518.0,38944,2.0,483
2021-11-28,MT,Malta,EURO,559.0,39503,5.0,488
2021-12-05,MT,Malta,EURO,681.0,40184,0.0,488
2021-12-12,MT,Malta,EURO,625.0,40809,3.0,491
2021-12-19,MT,Malta,EURO,1466.0,42275,0.0,491
2021-12-26,MT,Malta,EURO,5161.0,47436,2.0,493
2022-01-02,MT,Malta,EURO,8118.0,55554,5.0,498
2022-01-09,MT,Malta,EURO,5468.0,61022,11.0,509
2022-01-16,MT,Malta,EURO,2968.0,63990,18.0,527
2022-01-23,MT,Malta,EURO,2073.0,66063,26.0,553
2022-01-30,MT,Malta,EURO,1641.0,67704,15.0,568
2022-02-06,MT,Malta,EURO,1428.0,69132,22.0,590
2022-02-13,MT,Malta,EURO,823.0,69955,20.0,610
2022-02-20,MT,Malta,EURO,637.0,70592,7.0,617
2022-02-27,MT,Malta,EURO,540.0,71132,8.0,625
2022-03-06,MT,Malta,EURO,664.0,71796,4.0,629
2022-03-13,MT,Malta,EURO,962.0,72758,6.0,635
2022-03-20,MT,Malta,EURO,1906.0,74664,8.0,643
2022-03-27,MT,Malta,EURO,2570.0,77234,9.0,652
2022-04-03,MT,Malta,EURO,4491.0,81725,10.0,662
2022-04-10,MT,Malta,EURO,4557.0,86282,21.0,683
2022-04-17,MT,Malta,EURO,2664.0,88946,13.0,696
2022-04-24,MT,Malta,EURO,1764.0,90710,13.0,709
2022-05-01,MT,Malta,EURO,1250.0,91960,10.0,719
2022-05-08,MT,Malta,EURO,984.0,92944,11.0,730
2022-05-15,MT,Malta,EURO,658.0,93602,4.0,734
2022-05-22,MT,Malta,EURO,537.0,94139,4.0,738
2022-05-29,MT,Malta,EURO,532.0,94671,4.0,742
2022-06-05,MT,Malta,EURO,615.0,95286,2.0,744
2022-06-12,MT,Malta,EURO,934.0,96220,3.0,747
2022-06-19,MT,Malta,EURO,1720.0,97940,4.0,751
2022-06-26,MT,Malta,EURO,3160.0,101100,10.0,761
2022-07-03,MT,Malta,EURO,3860.0,104960,8.0,769
2022-07-10,MT,Malta,EURO,3765.0,108725,11.0,780
2022-07-17,MT,Malta,EURO,2275.0,111000,13.0,793
2022-07-24,MT,Malta,EURO,1249.0,112249,13.0,806
2022-07-31,MT,Malta,EURO,608.0,112857,9.0,815
2022-08-07,MT,Malta,EURO,417.0,113274,1.0,816
2022-08-14,MT,Malta,EURO,287.0,113561,2.0,818
2022-08-21,MT,Malta,EURO,242.0,113803,2.0,820
2022-08-28,MT,Malta,EURO,189.0,113992,2.0,822
2022-09-04,MT,Malta,EURO,139.0,114131,1.0,823
2022-09-11,MT,Malta,EURO,130.0,114261,0.0,823
2022-09-18,MT,Malta,EURO,149.0,114410,2.0,825
2022-09-25,MT,Malta,EURO,156.0,114566,0.0,825
2022-10-02,MT,Malta,EURO,155.0,114721,2.0,827
2022-10-09,MT,Malta,EURO,146.0,114867,0.0,827
2022-10-16,MT,Malta,EURO,147.0,115014,0.0,827
2022-10-23,MT,Malta,EURO,184.0,115198,2.0,829
2022-10-30,MT,Malta,EURO,141.0,115339,0.0,829
2022-11-06,MT,Malta,EURO,123.0,115462,0.0,829
2022-11-13,MT,Malta,EURO,128.0,115590,0.0,829
2022-11-20,MT,Malta,EURO,98.0,115688,0.0,829
2022-11-27,MT,Malta,EURO,81.0,115769,1.0,830
2022-12-04,MT,Malta,EURO,91.0,115860,0.0,830
2022-12-11,MT,Malta,EURO,103.0,115963,0.0,830
2022-12-18,MT,Malta,EURO,141.0,116104,2.0,832
2022-12-25,MT,Malta,EURO,133.0,116237,2.0,834
2023-01-01,MT,Malta,EURO,167.0,116404,4.0,838
2023-01-08,MT,Malta,EURO,241.0,116645,4.0,842
2023-01-15,MT,Malta,EURO,165.0,116810,1.0,843
2023-01-22,MT,Malta,EURO,133.0,116943,2.0,845
2023-01-29,MT,Malta,EURO,109.0,117052,0.0,845
2023-02-05,MT,Malta,EURO,104.0,117156,2.0,847
2023-02-12,MT,Malta,EURO,82.0,117238,0.0,847
2023-02-19,MT,Malta,EURO,90.0,117328,1.0,848
2023-02-26,MT,Malta,EURO,139.0,117467,0.0,848
2023-03-05,MT,Malta,EURO,133.0,117600,1.0,849
2023-03-12,MT,Malta,EURO,139.0,117739,0.0,849
2023-03-19,MT,Malta,EURO,148.0,117887,2.0,851
2023-03-26,MT,Malta,EURO,106.0,117993,1.0,852
2023-04-02,MT,Malta,EURO,129.0,118122,0.0,852
2023-04-09,MT,Malta,EURO,81.0,118203,1.0,853
2023-04-16,MT,Malta,EURO,103.0,118306,1.0,854
2023-04-23,MT,Malta,EURO,124.0,118430,1.0,855
2023-04-30,MT,Malta,EURO,83.0,118513,0.0,855
2023-05-07,MT,Malta,EURO,50.0,118563,0.0,855
2023-05-14,MT,Malta,EURO,57.0,118620,0.0,855
2023-05-21,MT,Malta,EURO,46.0,118666,1.0,856
2023-05-28,MT,Malta,EURO,79.0,118745,1.0,857
2023-06-04,MT,Malta,EURO,59.0,118804,2.0,859
2023-06-11,MT,Malta,EURO,43.0,118847,1.0,860
2023-06-18,MT,Malta,EURO,60.0,118907,1.0,861
2023-06-25,MT,Malta,EURO,59.0,118966,0.0,861
2023-07-02,MT,Malta,EURO,86.0,119052,3.0,864
2023-07-09,MT,Malta,EURO,60.0,119112,1.0,865
2023-07-16,MT,Malta,EURO,102.0,119214,3.0,868
2023-07-23,MT,Malta,EURO,74.0,119288,1.0,869
2023-07-30,MT,Malta,EURO,135.0,119423,3.0,872
2023-08-06,MT,Malta,EURO,151.0,119574,1.0,873
2023-08-13,MT,Malta,EURO,150.0,119724,2.0,875
2023-08-20,MT,Malta,EURO,140.0,119864,1.0,876
2023-08-27,MT,Malta,EURO,180.0,120044,1.0,877
2023-09-03,MT,Malta,EURO,134.0,120178,1.0,878
2023-09-10,MT,Malta,EURO,107.0,120285,2.0,880
2023-09-17,MT,Malta,EURO,62.0,120347,1.0,881
2023-09-24,MT,Malta,EURO,75.0,120422,1.0,882
2023-10-01,MT,Malta,EURO,79.0,120501,0.0,882
2023-10-08,MT,Malta,EURO,63.0,120564,1.0,883
2023-10-15,MT,Malta,EURO,68.0,120632,0.0,883
2023-10-22,MT,Malta,EURO,43.0,120675,2.0,885
2023-10-29,MT,Malta,EURO,30.0,120705,0.0,885
2023-11-05,MT,Malta,EURO,21.0,120726,0.0,885
2023-11-12,MT,Malta,EURO,21.0,120747,1.0,886
2023-11-19,MT,Malta,EURO,13.0,120760,0.0,886
2023-11-26,MT,Malta,EURO,22.0,120782,0.0,886
2023-12-03,MT,Malta,EURO,12.0,120794,0.0,886
2023-12-10,MT,Malta,EURO,28.0,120822,0.0,886
2023-12-17,MT,Malta,EURO,40.0,120862,1.0,887
2023-12-24,MT,Malta,EURO,61.0,120923,1.0,888
2023-12-31,MT,Malta,EURO,99.0,121022,3.0,891
2024-01-07,MT,Malta,EURO,110.0,121132,2.0,893
2024-01-14,MT,Malta,EURO,90.0,121222,6.0,899
2024-01-21,MT,Malta,EURO,61.0,121283,1.0,900
2024-01-28,MT,Malta,EURO,39.0,121322,2.0,902
2024-02-04,MT,Malta,EURO,22.0,121344,0.0,902
2024-02-11,MT,Malta,EURO,23.0,121367,0.0,902
2024-02-18,MT,Malta,EURO,13.0,121380,0.0,902
2024-02-25,MT,Malta,EURO,13.0,121393,1.0,903
2024-03-03,MT,Malta,EURO,4.0,121397,1.0,904
2024-03-10,MT,Malta,EURO,0.0,121397,0.0,904
2024-03-17,MT,Malta,EURO,7.0,121404,0.0,904
2024-03-24,MT,Malta,EURO,2.0,121406,0.0,904
2024-03-31,MT,Malta,EURO,3.0,121409,1.0,905
2024-04-07,MT,Malta,EURO,1.0,121410,0.0,905
2024-04-14,MT,Malta,EURO,3.0,121413,0.0,905
2024-04-21,MT,Malta,EURO,5.0,121418,0.0,905
2024-04-28,MT,Malta,EURO,0.0,121418,2.0,907
