Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-22,MU,Mauritius,AFRO,14.0,14,1.0,1
2020-03-29,MU,Mauritius,AFRO,88.0,102,1.0,2
2020-04-05,MU,Mauritius,AFRO,94.0,196,5.0,7
2020-04-12,MU,Mauritius,AFRO,123.0,319,2.0,9
2020-04-19,MU,Mauritius,AFRO,6.0,325,0.0,9
2020-04-26,MU,Mauritius,AFRO,6.0,331,0.0,9
2020-05-03,MU,Mauritius,AFRO,1.0,332,1.0,10
2020-05-10,MU,Mauritius,AFRO,0.0,332,0.0,10
2020-05-17,MU,Mauritius,AFRO,0.0,332,0.0,10
2020-05-24,MU,Mauritius,AFRO,0.0,332,0.0,10
2020-05-31,MU,Mauritius,AFRO,3.0,335,0.0,10
2020-06-07,MU,Mauritius,AFRO,2.0,337,0.0,10
2020-06-14,MU,Mauritius,AFRO,0.0,337,0.0,10
2020-06-21,MU,Mauritius,AFRO,0.0,337,0.0,10
2020-06-28,MU,Mauritius,AFRO,4.0,341,0.0,10
2020-07-05,MU,Mauritius,AFRO,0.0,341,0.0,10
2020-07-12,MU,Mauritius,AFRO,1.0,342,0.0,10
2020-07-19,MU,Mauritius,AFRO,1.0,343,0.0,10
2020-07-26,MU,Mauritius,AFRO,1.0,344,0.0,10
2020-08-02,MU,Mauritius,AFRO,0.0,344,0.0,10
2020-08-09,MU,Mauritius,AFRO,0.0,344,0.0,10
2020-08-16,MU,Mauritius,AFRO,2.0,346,0.0,10
2020-08-23,MU,Mauritius,AFRO,0.0,346,0.0,10
2020-08-30,MU,Mauritius,AFRO,0.0,346,0.0,10
2020-09-06,MU,Mauritius,AFRO,10.0,356,0.0,10
2020-09-13,MU,Mauritius,AFRO,5.0,361,0.0,10
2020-09-20,MU,Mauritius,AFRO,6.0,367,0.0,10
2020-09-27,MU,Mauritius,AFRO,0.0,367,0.0,10
2020-10-04,MU,Mauritius,AFRO,18.0,385,0.0,10
2020-10-11,MU,Mauritius,AFRO,10.0,395,0.0,10
2020-10-18,MU,Mauritius,AFRO,12.0,407,0.0,10
2020-10-25,MU,Mauritius,AFRO,28.0,435,0.0,10
2020-11-01,MU,Mauritius,AFRO,6.0,441,0.0,10
2020-11-08,MU,Mauritius,AFRO,14.0,455,0.0,10
2020-11-15,MU,Mauritius,AFRO,15.0,470,0.0,10
2020-11-22,MU,Mauritius,AFRO,25.0,495,0.0,10
2020-11-29,MU,Mauritius,AFRO,8.0,503,0.0,10
2020-12-06,MU,Mauritius,AFRO,2.0,505,0.0,10
2020-12-13,MU,Mauritius,AFRO,18.0,523,0.0,10
2020-12-20,MU,Mauritius,AFRO,1.0,524,0.0,10
2020-12-27,MU,Mauritius,AFRO,3.0,527,0.0,10
2021-01-03,MU,Mauritius,AFRO,0.0,527,0.0,10
2021-01-10,MU,Mauritius,AFRO,12.0,539,0.0,10
2021-01-17,MU,Mauritius,AFRO,8.0,547,0.0,10
2021-01-24,MU,Mauritius,AFRO,9.0,556,0.0,10
2021-01-31,MU,Mauritius,AFRO,12.0,568,0.0,10
2021-02-07,MU,Mauritius,AFRO,16.0,584,0.0,10
2021-02-14,MU,Mauritius,AFRO,11.0,595,0.0,10
2021-02-21,MU,Mauritius,AFRO,8.0,603,0.0,10
2021-02-28,MU,Mauritius,AFRO,7.0,610,0.0,10
2021-03-07,MU,Mauritius,AFRO,29.0,639,0.0,10
2021-03-14,MU,Mauritius,AFRO,52.0,691,0.0,10
2021-03-21,MU,Mauritius,AFRO,121.0,812,0.0,10
2021-03-28,MU,Mauritius,AFRO,58.0,870,0.0,10
2021-04-04,MU,Mauritius,AFRO,242.0,1112,2.0,12
2021-04-11,MU,Mauritius,AFRO,64.0,1176,0.0,12
2021-04-18,MU,Mauritius,AFRO,27.0,1203,3.0,15
2021-04-25,MU,Mauritius,AFRO,3.0,1206,1.0,16
2021-05-02,MU,Mauritius,AFRO,35.0,1241,1.0,17
2021-05-09,MU,Mauritius,AFRO,5.0,1246,0.0,17
2021-05-16,MU,Mauritius,AFRO,42.0,1288,0.0,17
2021-05-23,MU,Mauritius,AFRO,34.0,1322,0.0,17
2021-05-30,MU,Mauritius,AFRO,71.0,1393,0.0,17
2021-06-06,MU,Mauritius,AFRO,65.0,1458,1.0,18
2021-06-13,MU,Mauritius,AFRO,251.0,1709,0.0,18
2021-06-20,MU,Mauritius,AFRO,64.0,1773,0.0,18
2021-06-27,MU,Mauritius,AFRO,107.0,1880,0.0,18
2021-07-04,MU,Mauritius,AFRO,104.0,1984,0.0,18
2021-07-11,MU,Mauritius,AFRO,147.0,2131,0.0,18
