Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-26,MY,Malaysia,WPRO,4.0,4,0.0,0
2020-02-02,MY,Malaysia,WPRO,4.0,8,0.0,0
2020-02-09,MY,Malaysia,WPRO,8.0,16,0.0,0
2020-02-16,MY,Malaysia,WPRO,6.0,22,0.0,0
2020-02-23,MY,Malaysia,WPRO,0.0,22,0.0,0
2020-03-01,MY,Malaysia,WPRO,3.0,25,0.0,0
2020-03-08,MY,Malaysia,WPRO,68.0,93,0.0,0
2020-03-15,MY,Malaysia,WPRO,145.0,238,0.0,0
2020-03-22,MY,Malaysia,WPRO,945.0,1183,10.0,10
2020-03-29,MY,Malaysia,WPRO,1137.0,2320,17.0,27
2020-04-05,MY,Malaysia,WPRO,1163.0,3483,30.0,57
2020-04-12,MY,Malaysia,WPRO,1047.0,4530,16.0,73
2020-04-19,MY,Malaysia,WPRO,775.0,5305,15.0,88
2020-04-26,MY,Malaysia,WPRO,437.0,5742,10.0,98
2020-05-03,MY,Malaysia,WPRO,434.0,6176,5.0,103
2020-05-10,MY,Malaysia,WPRO,413.0,6589,5.0,108
2020-05-17,MY,Malaysia,WPRO,283.0,6872,5.0,113
2020-05-24,MY,Malaysia,WPRO,313.0,7185,2.0,115
2020-05-31,MY,Malaysia,WPRO,577.0,7762,0.0,115
2020-06-07,MY,Malaysia,WPRO,541.0,8303,2.0,117
2020-06-14,MY,Malaysia,WPRO,142.0,8445,3.0,120
2020-06-21,MY,Malaysia,WPRO,111.0,8556,1.0,121
2020-06-28,MY,Malaysia,WPRO,60.0,8616,0.0,121
2020-07-05,MY,Malaysia,WPRO,42.0,8658,0.0,121
2020-07-12,MY,Malaysia,WPRO,46.0,8704,1.0,122
2020-07-19,MY,Malaysia,WPRO,60.0,8764,0.0,122
2020-07-26,MY,Malaysia,WPRO,120.0,8884,1.0,123
2020-08-02,MY,Malaysia,WPRO,101.0,8985,2.0,125
2020-08-09,MY,Malaysia,WPRO,85.0,9070,0.0,125
2020-08-16,MY,Malaysia,WPRO,105.0,9175,0.0,125
2020-08-23,MY,Malaysia,WPRO,82.0,9257,0.0,125
2020-08-30,MY,Malaysia,WPRO,60.0,9317,0.0,125
2020-09-06,MY,Malaysia,WPRO,74.0,9391,3.0,128
2020-09-13,MY,Malaysia,WPRO,477.0,9868,0.0,128
2020-09-20,MY,Malaysia,WPRO,299.0,10167,2.0,130
2020-09-27,MY,Malaysia,WPRO,602.0,10769,3.0,133
2020-10-04,MY,Malaysia,WPRO,1319.0,12088,4.0,137
2020-10-11,MY,Malaysia,WPRO,3008.0,15096,18.0,155
2020-10-18,MY,Malaysia,WPRO,4531.0,19627,25.0,180
2020-10-25,MY,Malaysia,WPRO,6115.0,25742,41.0,221
2020-11-01,MY,Malaysia,WPRO,5806.0,31548,28.0,249
2020-11-08,MY,Malaysia,WPRO,7809.0,39357,33.0,282
2020-11-15,MY,Malaysia,WPRO,6852.0,46209,24.0,306
2020-11-22,MY,Malaysia,WPRO,7470.0,53679,26.0,332
2020-11-29,MY,Malaysia,WPRO,9497.0,63176,22.0,354
