Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-29,MZ,Mozambique,AFRO,8.0,8,0.0,0
2020-04-05,MZ,Mozambique,AFRO,2.0,10,0.0,0
2020-04-12,MZ,Mozambique,AFRO,10.0,20,0.0,0
2020-04-19,MZ,Mozambique,AFRO,15.0,35,0.0,0
2020-04-26,MZ,Mozambique,AFRO,35.0,70,0.0,0
2020-05-03,MZ,Mozambique,AFRO,10.0,80,0.0,0
2020-05-10,MZ,Mozambique,AFRO,7.0,87,0.0,0
2020-05-17,MZ,Mozambique,AFRO,42.0,129,0.0,0
2020-05-24,MZ,Mozambique,AFRO,39.0,168,0.0,0
2020-05-31,MZ,Mozambique,AFRO,76.0,244,2.0,2
2020-06-07,MZ,Mozambique,AFRO,167.0,411,0.0,2
2020-06-14,MZ,Mozambique,AFRO,142.0,553,0.0,2
2020-06-21,MZ,Mozambique,AFRO,135.0,688,2.0,4
2020-06-28,MZ,Mozambique,AFRO,151.0,839,1.0,5
2020-07-05,MZ,Mozambique,AFRO,130.0,969,2.0,7
2020-07-12,MZ,Mozambique,AFRO,166.0,1135,2.0,9
2020-07-19,MZ,Mozambique,AFRO,300.0,1435,1.0,10
2020-07-26,MZ,Mozambique,AFRO,181.0,1616,1.0,11
2020-08-02,MZ,Mozambique,AFRO,291.0,1907,1.0,12
2020-08-09,MZ,Mozambique,AFRO,334.0,2241,6.0,18
2020-08-16,MZ,Mozambique,AFRO,550.0,2791,1.0,19
2020-08-23,MZ,Mozambique,AFRO,513.0,3304,1.0,20
2020-08-30,MZ,Mozambique,AFRO,456.0,3760,2.0,22
2020-09-06,MZ,Mozambique,AFRO,581.0,4341,4.0,26
2020-09-13,MZ,Mozambique,AFRO,699.0,5040,9.0,35
2020-09-20,MZ,Mozambique,AFRO,1497.0,6537,6.0,41
2020-09-27,MZ,Mozambique,AFRO,1220.0,7757,13.0,54
2020-10-04,MZ,Mozambique,AFRO,1292.0,9049,10.0,64
2020-10-11,MZ,Mozambique,AFRO,795.0,9844,7.0,71
2020-10-18,MZ,Mozambique,AFRO,863.0,10707,3.0,74
2020-10-25,MZ,Mozambique,AFRO,1188.0,11895,11.0,85
2020-11-01,MZ,Mozambique,AFRO,974.0,12869,7.0,92
2020-11-08,MZ,Mozambique,AFRO,708.0,13577,7.0,99
2020-11-15,MZ,Mozambique,AFRO,763.0,14340,11.0,110
2020-11-22,MZ,Mozambique,AFRO,641.0,14981,13.0,123
2020-11-29,MZ,Mozambique,AFRO,605.0,15586,6.0,129
2020-12-06,MZ,Mozambique,AFRO,547.0,16133,4.0,133
2020-12-13,MZ,Mozambique,AFRO,679.0,16812,7.0,140
2020-12-20,MZ,Mozambique,AFRO,665.0,17477,7.0,147
2020-12-27,MZ,Mozambique,AFRO,685.0,18162,12.0,159
2021-01-03,MZ,Mozambique,AFRO,806.0,18968,9.0,168
2021-01-10,MZ,Mozambique,AFRO,2393.0,21361,19.0,187
2021-01-17,MZ,Mozambique,AFRO,4501.0,25862,47.0,234
2021-01-24,MZ,Mozambique,AFRO,5766.0,31628,63.0,297
2021-01-31,MZ,Mozambique,AFRO,6077.0,37705,66.0,363
2021-02-07,MZ,Mozambique,AFRO,6407.0,44112,88.0,451
2021-02-14,MZ,Mozambique,AFRO,5339.0,49451,74.0,525
2021-02-21,MZ,Mozambique,AFRO,5517.0,54968,62.0,587
2021-02-28,MZ,Mozambique,AFRO,3804.0,58772,43.0,630
2021-03-07,MZ,Mozambique,AFRO,3359.0,62131,56.0,686
2021-03-14,MZ,Mozambique,AFRO,2165.0,64296,36.0,722
2021-03-21,MZ,Mozambique,AFRO,1768.0,66064,24.0,746
2021-03-28,MZ,Mozambique,AFRO,947.0,67011,16.0,762
2021-04-04,MZ,Mozambique,AFRO,994.0,68005,20.0,782
2021-04-11,MZ,Mozambique,AFRO,573.0,68578,7.0,789
2021-04-18,MZ,Mozambique,AFRO,556.0,69134,9.0,798
2021-04-25,MZ,Mozambique,AFRO,509.0,69643,9.0,807
2021-05-02,MZ,Mozambique,AFRO,322.0,69965,7.0,814
2021-05-09,MZ,Mozambique,AFRO,201.0,70166,7.0,821
