Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-22,NC,New Caledonia,WPRO,4.0,4,0.0,0
2020-03-29,NC,New Caledonia,WPRO,11.0,15,0.0,0
2020-04-05,NC,New Caledonia,WPRO,3.0,18,0.0,0
2020-04-12,NC,New Caledonia,WPRO,0.0,18,0.0,0
2020-04-19,NC,New Caledonia,WPRO,0.0,18,0.0,0
2020-04-26,NC,New Caledonia,WPRO,0.0,18,0.0,0
2020-05-03,NC,New Caledonia,WPRO,0.0,18,0.0,0
2020-05-10,NC,New Caledonia,WPRO,0.0,18,0.0,0
2020-05-17,NC,New Caledonia,WPRO,0.0,18,0.0,0
2020-05-24,NC,New Caledonia,WPRO,0.0,18,0.0,0
2020-05-31,NC,New Caledonia,WPRO,1.0,19,0.0,0
2020-06-07,NC,New Caledonia,WPRO,1.0,20,0.0,0
2020-06-14,NC,New Caledonia,WPRO,1.0,21,0.0,0
2020-06-21,NC,New Caledonia,WPRO,0.0,21,0.0,0
2020-06-28,NC,New Caledonia,WPRO,0.0,21,0.0,0
2020-07-05,NC,New Caledonia,WPRO,0.0,21,0.0,0
2020-07-12,NC,New Caledonia,WPRO,0.0,21,0.0,0
2020-07-19,NC,New Caledonia,WPRO,1.0,22,0.0,0
2020-07-26,NC,New Caledonia,WPRO,0.0,22,0.0,0
2020-08-02,NC,New Caledonia,WPRO,0.0,22,0.0,0
2020-08-09,NC,New Caledonia,WPRO,1.0,23,0.0,0
2020-08-16,NC,New Caledonia,WPRO,0.0,23,0.0,0
2020-08-23,NC,New Caledonia,WPRO,0.0,23,0.0,0
2020-08-30,NC,New Caledonia,WPRO,0.0,23,0.0,0
2020-09-06,NC,New Caledonia,WPRO,3.0,26,0.0,0
2020-09-13,NC,New Caledonia,WPRO,0.0,26,0.0,0
2020-09-20,NC,New Caledonia,WPRO,0.0,26,0.0,0
2020-09-27,NC,New Caledonia,WPRO,1.0,27,0.0,0
2020-10-04,NC,New Caledonia,WPRO,0.0,27,0.0,0
2020-10-11,NC,New Caledonia,WPRO,0.0,27,0.0,0
2020-10-18,NC,New Caledonia,WPRO,0.0,27,0.0,0
2020-10-25,NC,New Caledonia,WPRO,0.0,27,0.0,0
2020-11-01,NC,New Caledonia,WPRO,1.0,28,0.0,0
2020-11-08,NC,New Caledonia,WPRO,1.0,29,0.0,0
2020-11-15,NC,New Caledonia,WPRO,1.0,30,0.0,0
2020-11-22,NC,New Caledonia,WPRO,2.0,32,0.0,0
2020-11-29,NC,New Caledonia,WPRO,0.0,32,0.0,0
2020-12-06,NC,New Caledonia,WPRO,3.0,35,0.0,0
2020-12-13,NC,New Caledonia,WPRO,1.0,36,0.0,0
2020-12-20,NC,New Caledonia,WPRO,1.0,37,0.0,0
2020-12-27,NC,New Caledonia,WPRO,1.0,38,0.0,0
2021-01-03,NC,New Caledonia,WPRO,2.0,40,0.0,0
2021-01-10,NC,New Caledonia,WPRO,0.0,40,0.0,0
2021-01-17,NC,New Caledonia,WPRO,4.0,44,0.0,0
2021-01-24,NC,New Caledonia,WPRO,0.0,44,0.0,0
2021-01-31,NC,New Caledonia,WPRO,3.0,47,0.0,0
2021-02-07,NC,New Caledonia,WPRO,2.0,49,0.0,0
