Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-01,NG,Nigeria,AFRO,1.0,1,0.0,0
2020-03-08,NG,Nigeria,AFRO,0.0,1,0.0,0
2020-03-15,NG,Nigeria,AFRO,1.0,2,0.0,0
2020-03-22,NG,Nigeria,AFRO,24.0,26,0.0,0
2020-03-29,NG,Nigeria,AFRO,71.0,97,3.0,3
2020-04-05,NG,Nigeria,AFRO,117.0,214,4.0,7
2020-04-12,NG,Nigeria,AFRO,104.0,318,5.0,12
2020-04-19,NG,Nigeria,AFRO,223.0,541,9.0,21
2020-04-26,NG,Nigeria,AFRO,641.0,1182,16.0,37
2020-05-03,NG,Nigeria,AFRO,1206.0,2388,50.0,87
2020-05-10,NG,Nigeria,AFRO,1763.0,4151,41.0,128
2020-05-17,NG,Nigeria,AFRO,1470.0,5621,48.0,176
2020-05-24,NG,Nigeria,AFRO,1905.0,7526,45.0,221
2020-05-31,NG,Nigeria,AFRO,2329.0,9855,52.0,273
2020-06-07,NG,Nigeria,AFRO,2378.0,12233,69.0,342
2020-06-14,NG,Nigeria,AFRO,3449.0,15682,64.0,406
2020-06-21,NG,Nigeria,AFRO,4126.0,19808,100.0,506
2020-06-28,NG,Nigeria,AFRO,4269.0,24077,52.0,558
2020-07-05,NG,Nigeria,AFRO,4090.0,28167,76.0,634
2020-07-12,NG,Nigeria,AFRO,3820.0,31987,90.0,724
2020-07-19,NG,Nigeria,AFRO,4120.0,36107,54.0,778
2020-07-26,NG,Nigeria,AFRO,3870.0,39977,78.0,856
2020-08-02,NG,Nigeria,AFRO,3560.0,43537,27.0,883
2020-08-09,NG,Nigeria,AFRO,2603.0,46140,59.0,942
2020-08-16,NG,Nigeria,AFRO,2630.0,48770,32.0,974
2020-08-23,NG,Nigeria,AFRO,3135.0,51905,23.0,997
2020-08-30,NG,Nigeria,AFRO,1822.0,53727,14.0,1011
2020-09-06,NG,Nigeria,AFRO,1178.0,54905,43.0,1054
2020-09-13,NG,Nigeria,AFRO,1272.0,56177,24.0,1078
2020-09-20,NG,Nigeria,AFRO,968.0,57145,17.0,1095
2020-09-27,NG,Nigeria,AFRO,1053.0,58198,11.0,1106
2020-10-04,NG,Nigeria,AFRO,1089.0,59287,7.0,1113
2020-10-11,NG,Nigeria,AFRO,816.0,60103,2.0,1115
2020-10-18,NG,Nigeria,AFRO,1204.0,61307,8.0,1123
2020-10-25,NG,Nigeria,AFRO,623.0,61930,6.0,1129
2020-11-01,NG,Nigeria,AFRO,923.0,62853,15.0,1144
2020-11-08,NG,Nigeria,AFRO,937.0,63790,10.0,1154
2020-11-15,NG,Nigeria,AFRO,1206.0,64996,9.0,1163
2020-11-22,NG,Nigeria,AFRO,1232.0,66228,3.0,1166
2020-11-29,NG,Nigeria,AFRO,1102.0,67330,5.0,1171
2020-12-06,NG,Nigeria,AFRO,1607.0,68937,9.0,1180
2020-12-13,NG,Nigeria,AFRO,3820.0,72757,14.0,1194
2020-12-20,NG,Nigeria,AFRO,5176.0,77933,24.0,1218
2020-12-27,NG,Nigeria,AFRO,5643.0,83576,29.0,1247
2021-01-03,NG,Nigeria,AFRO,5587.0,89163,55.0,1302
2021-01-10,NG,Nigeria,AFRO,9900.0,99063,48.0,1350
2021-01-17,NG,Nigeria,AFRO,9880.0,108943,70.0,1420
2021-01-24,NG,Nigeria,AFRO,11659.0,120602,75.0,1495
2021-01-31,NG,Nigeria,AFRO,9955.0,130557,83.0,1578
2021-02-07,NG,Nigeria,AFRO,8685.0,139242,69.0,1647
2021-02-14,NG,Nigeria,AFRO,6422.0,145664,100.0,1747
2021-02-21,NG,Nigeria,AFRO,5889.0,151553,84.0,1831
2021-02-28,NG,Nigeria,AFRO,3864.0,155417,74.0,1905
2021-03-07,NG,Nigeria,AFRO,2820.0,158237,59.0,1964
2021-03-14,NG,Nigeria,AFRO,2300.0,160537,49.0,2013
2021-03-21,NG,Nigeria,AFRO,1114.0,161651,17.0,2030
2021-03-28,NG,Nigeria,AFRO,838.0,162489,11.0,2041
2021-04-04,NG,Nigeria,AFRO,624.0,163113,17.0,2058
2021-04-11,NG,Nigeria,AFRO,623.0,163736,2.0,2060
2021-04-18,NG,Nigeria,AFRO,471.0,164207,1.0,2061
2021-04-25,NG,Nigeria,AFRO,477.0,164684,0.0,2061
2021-05-02,NG,Nigeria,AFRO,469.0,165153,2.0,2063
2021-05-09,NG,Nigeria,AFRO,229.0,165382,2.0,2065
2021-05-16,NG,Nigeria,AFRO,320.0,165702,1.0,2066
2021-05-23,NG,Nigeria,AFRO,277.0,165979,1.0,2067
2021-05-30,NG,Nigeria,AFRO,306.0,166285,4.0,2071
2021-06-06,NG,Nigeria,AFRO,471.0,166756,46.0,2117
2021-06-13,NG,Nigeria,AFRO,303.0,167059,0.0,2117
2021-06-20,NG,Nigeria,AFRO,96.0,167155,0.0,2117
2021-06-27,NG,Nigeria,AFRO,310.0,167465,2.0,2119
2021-07-04,NG,Nigeria,AFRO,338.0,167803,2.0,2121
2021-07-11,NG,Nigeria,AFRO,737.0,168540,1.0,2122
2021-07-18,NG,Nigeria,AFRO,789.0,169329,4.0,2126
2021-07-25,NG,Nigeria,AFRO,1566.0,170895,6.0,2132
2021-08-01,NG,Nigeria,AFRO,3013.0,173908,17.0,2149
2021-08-08,NG,Nigeria,AFRO,3707.0,177615,36.0,2185
2021-08-15,NG,Nigeria,AFRO,4347.0,181962,34.0,2219
2021-08-22,NG,Nigeria,AFRO,4673.0,186635,41.0,2260
2021-08-29,NG,Nigeria,AFRO,4348.0,190983,101.0,2361
2021-09-05,NG,Nigeria,AFRO,4069.0,195052,161.0,2522
2021-09-12,NG,Nigeria,AFRO,3734.0,198786,68.0,2590
2021-09-19,NG,Nigeria,AFRO,2844.0,201630,64.0,2654
2021-09-26,NG,Nigeria,AFRO,2571.0,204201,20.0,2674
2021-10-03,NG,Nigeria,AFRO,1863.0,206064,49.0,2723
2021-10-10,NG,Nigeria,AFRO,1554.0,207618,22.0,2745
2021-10-17,NG,Nigeria,AFRO,1555.0,209173,59.0,2804
2021-10-24,NG,Nigeria,AFRO,1122.0,210295,52.0,2856
2021-10-31,NG,Nigeria,AFRO,1592.0,211887,39.0,2895
