Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-22,NI,Nicaragua,AMRO,2.0,2,0.0,0
2020-03-29,NI,Nicaragua,AMRO,0.0,2,1.0,1
2020-04-05,NI,Nicaragua,AMRO,3.0,5,0.0,1
2020-04-12,NI,Nicaragua,AMRO,2.0,7,0.0,1
2020-04-19,NI,Nicaragua,AMRO,2.0,9,0.0,1
2020-04-26,NI,Nicaragua,AMRO,2.0,11,2.0,3
2020-05-03,NI,Nicaragua,AMRO,3.0,14,1.0,4
2020-05-10,NI,Nicaragua,AMRO,2.0,16,1.0,5
2020-05-17,NI,Nicaragua,AMRO,9.0,25,3.0,8
2020-05-24,NI,Nicaragua,AMRO,254.0,279,9.0,17
2020-05-31,NI,Nicaragua,AMRO,606.0,885,18.0,35
2020-06-07,NI,Nicaragua,AMRO,424.0,1309,11.0,46
2020-06-14,NI,Nicaragua,AMRO,346.0,1655,9.0,55
2020-06-21,NI,Nicaragua,AMRO,359.0,2014,9.0,64
2020-06-28,NI,Nicaragua,AMRO,0.0,2014,10.0,74
2020-07-05,NI,Nicaragua,AMRO,168.0,2182,9.0,83
2020-07-12,NI,Nicaragua,AMRO,229.0,2411,8.0,91
2020-07-19,NI,Nicaragua,AMRO,301.0,2712,8.0,99
2020-07-26,NI,Nicaragua,AMRO,292.0,3004,9.0,108
2020-08-02,NI,Nicaragua,AMRO,76.0,3080,8.0,116
2020-08-09,NI,Nicaragua,AMRO,186.0,3266,7.0,123
2020-08-16,NI,Nicaragua,AMRO,147.0,3413,5.0,128
2020-08-23,NI,Nicaragua,AMRO,127.0,3540,5.0,133
2020-08-30,NI,Nicaragua,AMRO,119.0,3659,4.0,137
2020-09-06,NI,Nicaragua,AMRO,114.0,3773,4.0,141
2020-09-13,NI,Nicaragua,AMRO,104.0,3877,3.0,144
2020-09-20,NI,Nicaragua,AMRO,102.0,3979,3.0,147
2020-09-27,NI,Nicaragua,AMRO,86.0,4065,2.0,149
2020-10-04,NI,Nicaragua,AMRO,81.0,4146,2.0,151
2020-10-11,NI,Nicaragua,AMRO,79.0,4225,2.0,153
2020-10-18,NI,Nicaragua,AMRO,72.0,4297,1.0,154
2020-10-25,NI,Nicaragua,AMRO,65.0,4362,1.0,155
2020-11-01,NI,Nicaragua,AMRO,62.0,4424,1.0,156
2020-11-08,NI,Nicaragua,AMRO,56.0,4480,1.0,157
2020-11-15,NI,Nicaragua,AMRO,53.0,4533,1.0,158
