Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2022-04-03,NR,Nauru,WPRO,2.0,2,0.0,0
2022-04-10,NR,Nauru,WPRO,1.0,3,0.0,0
2022-04-17,NR,Nauru,WPRO,0.0,3,0.0,0
2022-04-24,NR,Nauru,WPRO,0.0,3,0.0,0
2022-05-01,NR,Nauru,WPRO,0.0,3,0.0,0
2022-05-08,NR,Nauru,WPRO,0.0,3,0.0,0
2022-05-15,NR,Nauru,WPRO,0.0,3,0.0,0
2022-05-22,NR,Nauru,WPRO,0.0,3,0.0,0
2022-05-29,NR,Nauru,WPRO,0.0,3,0.0,0
2022-06-05,NR,Nauru,WPRO,0.0,3,0.0,0
2022-06-12,NR,Nauru,WPRO,0.0,3,0.0,0
2022-06-19,NR,Nauru,WPRO,347.0,350,0.0,0
2022-06-26,NR,Nauru,WPRO,2055.0,2405,0.0,0
2022-07-03,NR,Nauru,WPRO,1565.0,3970,1.0,1
2022-07-10,NR,Nauru,WPRO,365.0,4335,0.0,1
2022-07-17,NR,Nauru,WPRO,0.0,4335,0.0,1
2022-07-24,NR,Nauru,WPRO,67.0,4402,0.0,1
2022-07-31,NR,Nauru,WPRO,5.0,4407,0.0,1
2022-08-07,NR,Nauru,WPRO,2.0,4409,0.0,1
2022-08-14,NR,Nauru,WPRO,196.0,4605,0.0,1
2022-08-21,NR,Nauru,WPRO,5.0,4610,0.0,1
2022-08-28,NR,Nauru,WPRO,0.0,4610,0.0,1
2022-09-04,NR,Nauru,WPRO,0.0,4610,0.0,1
2022-09-11,NR,Nauru,WPRO,0.0,4610,0.0,1
2022-09-18,NR,Nauru,WPRO,0.0,4610,0.0,1
2022-09-25,NR,Nauru,WPRO,0.0,4610,0.0,1
2022-10-02,NR,Nauru,WPRO,0.0,4610,0.0,1
2022-10-09,NR,Nauru,WPRO,0.0,4610,0.0,1
2022-10-16,NR,Nauru,WPRO,0.0,4610,0.0,1
2022-10-23,NR,Nauru,WPRO,0.0,4610,0.0,1
2022-10-30,NR,Nauru,WPRO,0.0,4610,0.0,1
2022-11-06,NR,Nauru,WPRO,0.0,4610,0.0,1
2022-11-13,NR,Nauru,WPRO,8.0,4618,0.0,1
2022-11-20,NR,Nauru,WPRO,3.0,4621,0.0,1
2022-11-27,NR,Nauru,WPRO,0.0,4621,0.0,1
2022-12-04,NR,Nauru,WPRO,0.0,4621,0.0,1
2022-12-11,NR,Nauru,WPRO,0.0,4621,0.0,1
2022-12-18,NR,Nauru,WPRO,0.0,4621,0.0,1
2022-12-25,NR,Nauru,WPRO,0.0,4621,0.0,1
2023-01-01,NR,Nauru,WPRO,0.0,4621,0.0,1
2023-01-08,NR,Nauru,WPRO,0.0,4621,0.0,1
