Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-01,OM,Oman,EMRO,6.0,6,0.0,0
2020-03-08,OM,Oman,EMRO,10.0,16,0.0,0
2020-03-15,OM,Oman,EMRO,4.0,20,0.0,0
2020-03-22,OM,Oman,EMRO,32.0,52,0.0,0
2020-03-29,OM,Oman,EMRO,100.0,152,0.0,0
2020-04-05,OM,Oman,EMRO,125.0,277,2.0,2
2020-04-12,OM,Oman,EMRO,269.0,546,1.0,3
2020-04-19,OM,Oman,EMRO,634.0,1180,3.0,6
2020-04-26,OM,Oman,EMRO,725.0,1905,4.0,10
2020-05-03,OM,Oman,EMRO,578.0,2483,2.0,12
2020-05-10,OM,Oman,EMRO,741.0,3224,5.0,17
2020-05-17,OM,Oman,EMRO,1805.0,5029,4.0,21
2020-05-24,OM,Oman,EMRO,2228.0,7257,15.0,36
2020-05-31,OM,Oman,EMRO,3166.0,10423,6.0,42
2020-06-07,OM,Oman,EMRO,5593.0,16016,30.0,72
2020-06-14,OM,Oman,EMRO,6061.0,22077,27.0,99
2020-06-21,OM,Oman,EMRO,6489.0,28566,29.0,128
2020-06-28,OM,Oman,EMRO,8387.0,36953,31.0,159
2020-07-05,OM,Oman,EMRO,8153.0,45106,44.0,203
2020-07-12,OM,Oman,EMRO,9591.0,54697,45.0,248
2020-07-19,OM,Oman,EMRO,10807.0,65504,60.0,308
2020-07-26,OM,Oman,EMRO,9354.0,74858,63.0,371
2020-08-02,OM,Oman,EMRO,4301.0,79159,50.0,421
2020-08-09,OM,Oman,EMRO,2198.0,81357,88.0,509
2020-08-16,OM,Oman,EMRO,1567.0,82924,53.0,562
2020-08-23,OM,Oman,EMRO,845.0,83769,47.0,609
2020-08-30,OM,Oman,EMRO,1236.0,85005,41.0,650
2020-09-06,OM,Oman,EMRO,1375.0,86380,55.0,705
2020-09-13,OM,Oman,EMRO,1957.0,88337,57.0,762
2020-09-20,OM,Oman,EMRO,3416.0,91753,56.0,818
2020-09-27,OM,Oman,EMRO,4154.0,95907,67.0,885
2020-10-04,OM,Oman,EMRO,2678.0,98585,50.0,935
2020-10-11,OM,Oman,EMRO,5544.0,104129,74.0,1009
2020-10-18,OM,Oman,EMRO,4167.0,108296,62.0,1071
2020-10-25,OM,Oman,EMRO,3541.0,111837,76.0,1147
2020-11-01,OM,Oman,EMRO,2597.0,114434,61.0,1208
2020-11-08,OM,Oman,EMRO,2733.0,117167,78.0,1286
2020-11-15,OM,Oman,EMRO,2275.0,119442,40.0,1326
2020-11-22,OM,Oman,EMRO,1918.0,121360,39.0,1365
2020-11-29,OM,Oman,EMRO,1219.0,122579,26.0,1391
2020-12-06,OM,Oman,EMRO,1750.0,124329,44.0,1435
2020-12-13,OM,Oman,EMRO,1340.0,125669,28.0,1463
2020-12-20,OM,Oman,EMRO,1350.0,127019,20.0,1483
2020-12-27,OM,Oman,EMRO,1271.0,128290,8.0,1491
2021-01-03,OM,Oman,EMRO,577.0,128867,8.0,1499
2021-01-10,OM,Oman,EMRO,1203.0,130070,6.0,1505
2021-01-17,OM,Oman,EMRO,1194.0,131264,4.0,1509
2021-01-24,OM,Oman,EMRO,1222.0,132486,8.0,1517
2021-01-31,OM,Oman,EMRO,1242.0,133728,10.0,1527
2021-02-07,OM,Oman,EMRO,1313.0,135041,5.0,1532
2021-02-14,OM,Oman,EMRO,1581.0,136622,7.0,1539
2021-02-21,OM,Oman,EMRO,1872.0,138494,10.0,1549
2021-02-28,OM,Oman,EMRO,2094.0,140588,13.0,1562
2021-03-07,OM,Oman,EMRO,2308.0,142896,21.0,1583
2021-03-14,OM,Oman,EMRO,2361.0,145257,17.0,1600
2021-03-21,OM,Oman,EMRO,3878.0,149135,20.0,1620
2021-03-28,OM,Oman,EMRO,4703.0,153838,30.0,1650
2021-04-04,OM,Oman,EMRO,6180.0,160018,31.0,1681
2021-04-11,OM,Oman,EMRO,7987.0,168005,66.0,1747
2021-04-18,OM,Oman,EMRO,8663.0,176668,74.0,1821
2021-04-25,OM,Oman,EMRO,8610.0,185278,130.0,1951
2021-05-02,OM,Oman,EMRO,7975.0,193253,89.0,2040
2021-05-09,OM,Oman,EMRO,7463.0,200716,123.0,2163
2021-05-16,OM,Oman,EMRO,4197.0,204913,107.0,2270
2021-05-23,OM,Oman,EMRO,5011.0,209924,94.0,2364
2021-05-30,OM,Oman,EMRO,5442.0,215366,102.0,2466
2021-06-06,OM,Oman,EMRO,7433.0,222799,92.0,2558
2021-06-13,OM,Oman,EMRO,10353.0,233152,107.0,2665
2021-06-20,OM,Oman,EMRO,13254.0,246406,196.0,2861
2021-06-27,OM,Oman,EMRO,14100.0,260506,242.0,3103
2021-07-04,OM,Oman,EMRO,13388.0,273894,313.0,3416
2021-07-11,OM,Oman,EMRO,10091.0,283985,275.0,3691
2021-07-18,OM,Oman,EMRO,6459.0,290444,226.0,3917
2021-07-25,OM,Oman,EMRO,3028.0,293472,190.0,4107
2021-08-01,OM,Oman,EMRO,3098.0,296570,96.0,4203
2021-08-08,OM,Oman,EMRO,1934.0,298504,93.0,4296
2021-08-15,OM,Oman,EMRO,1463.0,299967,59.0,4355
2021-08-22,OM,Oman,EMRO,1174.0,301141,42.0,4397
2021-08-29,OM,Oman,EMRO,888.0,302029,26.0,4423
2021-09-05,OM,Oman,EMRO,570.0,302599,19.0,4442
2021-09-12,OM,Oman,EMRO,437.0,303036,12.0,4454
2021-09-19,OM,Oman,EMRO,354.0,303390,6.0,4460
2021-09-26,OM,Oman,EMRO,223.0,303613,1.0,4461
2021-10-03,OM,Oman,EMRO,200.0,303813,4.0,4465
