Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-08,PE,Peru,AMRO,9.0,9,1.0,1
2020-03-15,PE,Peru,AMRO,38.0,47,2.0,3
2020-03-22,PE,Peru,AMRO,271.0,318,23.0,26
2020-03-29,PE,Peru,AMRO,317.0,635,45.0,71
2020-04-05,PE,Peru,AMRO,960.0,1595,138.0,209
2020-04-12,PE,Peru,AMRO,4302.0,5897,441.0,650
2020-04-19,PE,Peru,AMRO,7592.0,13489,840.0,1490
2020-04-26,PE,Peru,AMRO,8159.0,21648,1420.0,2910
2020-05-03,PE,Peru,AMRO,18811.0,40459,2271.0,5181
2020-05-10,PE,Peru,AMRO,21388.0,61847,3082.0,8263
2020-05-17,PE,Peru,AMRO,22648.0,84495,3561.0,11824
2020-05-24,PE,Peru,AMRO,27203.0,111698,3759.0,15583
2020-05-31,PE,Peru,AMRO,36587.0,148285,3900.0,19483
2020-06-07,PE,Peru,AMRO,39115.0,187400,4168.0,23651
2020-06-14,PE,Peru,AMRO,33349.0,220749,4205.0,27856
2020-06-21,PE,Peru,AMRO,27176.0,247925,4164.0,32020
2020-06-28,PE,Peru,AMRO,24439.0,272364,3892.0,35912
2020-07-05,PE,Peru,AMRO,23235.0,295599,3725.0,39637
2020-07-12,PE,Peru,AMRO,24047.0,319646,3870.0,43507
2020-07-19,PE,Peru,AMRO,25891.0,345537,4136.0,47643
2020-07-26,PE,Peru,AMRO,30424.0,375961,4259.0,51902
2020-08-02,PE,Peru,AMRO,38774.0,414735,4286.0,56188
2020-08-09,PE,Peru,AMRO,49140.0,463875,4439.0,60627
2020-08-16,PE,Peru,AMRO,52421.0,516296,4409.0,65036
2020-08-23,PE,Peru,AMRO,59771.0,576067,4000.0,69036
2020-08-30,PE,Peru,AMRO,53894.0,629961,3537.0,72573
2020-09-06,PE,Peru,AMRO,46887.0,676848,2865.0,75438
2020-09-13,PE,Peru,AMRO,39822.0,716670,2361.0,77799
2020-09-20,PE,Peru,AMRO,39742.0,756412,1946.0,79745
2020-09-27,PE,Peru,AMRO,38172.0,794584,1675.0,81420
2020-10-04,PE,Peru,AMRO,26980.0,821564,1335.0,82755
2020-10-11,PE,Peru,AMRO,21791.0,843355,1190.0,83945
2020-10-18,PE,Peru,AMRO,19062.0,862417,1014.0,84959
2020-10-25,PE,Peru,AMRO,20699.0,883116,917.0,85876
2020-11-01,PE,Peru,AMRO,17064.0,900180,777.0,86653
2020-11-08,PE,Peru,AMRO,17323.0,917503,761.0,87414
2020-11-15,PE,Peru,AMRO,15147.0,932650,705.0,88119
2020-11-22,PE,Peru,AMRO,13437.0,946087,664.0,88783
2020-11-29,PE,Peru,AMRO,12237.0,958324,691.0,89474
2020-12-06,PE,Peru,AMRO,12536.0,970860,669.0,90143
2020-12-13,PE,Peru,AMRO,10083.0,980943,703.0,90846
2020-12-20,PE,Peru,AMRO,12817.0,993760,811.0,91657
2020-12-27,PE,Peru,AMRO,11786.0,1005546,866.0,92523
2021-01-03,PE,Peru,AMRO,11653.0,1017199,1005.0,93528
2021-01-10,PE,Peru,AMRO,12272.0,1029471,1295.0,94823
2021-01-17,PE,Peru,AMRO,26552.0,1056023,1798.0,96621
2021-01-24,PE,Peru,AMRO,32073.0,1088096,2654.0,99275
2021-01-31,PE,Peru,AMRO,37779.0,1125875,3584.0,102859
2021-02-07,PE,Peru,AMRO,47170.0,1173045,4093.0,106952
2021-02-14,PE,Peru,AMRO,47703.0,1220748,4578.0,111530
2021-02-21,PE,Peru,AMRO,48775.0,1269523,4912.0,116442
2021-02-28,PE,Peru,AMRO,46840.0,1316363,4818.0,121260
2021-03-07,PE,Peru,AMRO,41931.0,1358294,4832.0,126092
2021-03-14,PE,Peru,AMRO,44316.0,1402610,4522.0,130614
2021-03-21,PE,Peru,AMRO,49035.0,1451645,4627.0,135241
2021-03-28,PE,Peru,AMRO,60739.0,1512384,4724.0,139965
2021-04-04,PE,Peru,AMRO,55961.0,1568345,5142.0,145107
2021-04-11,PE,Peru,AMRO,60174.0,1628519,5341.0,150448
2021-04-18,PE,Peru,AMRO,60532.0,1689051,5634.0,156082
2021-04-25,PE,Peru,AMRO,56604.0,1745655,5727.0,161809
2021-05-02,PE,Peru,AMRO,53790.0,1799445,5363.0,167172
2021-05-09,PE,Peru,AMRO,40020.0,1839465,4869.0,172041
2021-05-16,PE,Peru,AMRO,39584.0,1879049,4243.0,176284
2021-05-23,PE,Peru,AMRO,36517.0,1915566,3628.0,179912
2021-05-30,PE,Peru,AMRO,31989.0,1947555,3131.0,183043
2021-06-06,PE,Peru,AMRO,28611.0,1976166,2770.0,185813
2021-06-13,PE,Peru,AMRO,21890.0,1998056,2287.0,188100
2021-06-20,PE,Peru,AMRO,25123.0,2023179,1833.0,189933
2021-06-27,PE,Peru,AMRO,20083.0,2043262,1514.0,191447
2021-07-04,PE,Peru,AMRO,17082.0,2060344,1455.0,192902
2021-07-11,PE,Peru,AMRO,13842.0,2074186,1007.0,193909
2021-07-18,PE,Peru,AMRO,15989.0,2090175,1026.0,194935
2021-07-25,PE,Peru,AMRO,10964.0,2101139,761.0,195696
2021-08-01,PE,Peru,AMRO,8155.0,2109294,595.0,196291
2021-08-08,PE,Peru,AMRO,13263.0,2122557,527.0,196818
2021-08-15,PE,Peru,AMRO,8780.0,2131337,461.0,197279
2021-08-22,PE,Peru,AMRO,8725.0,2140062,473.0,197752
2021-08-29,PE,Peru,AMRO,7223.0,2147285,363.0,198115
2021-09-05,PE,Peru,AMRO,5807.0,2153092,305.0,198420
2021-09-12,PE,Peru,AMRO,6214.0,2159306,253.0,198673
2021-09-19,PE,Peru,AMRO,6227.0,2165533,275.0,198948
2021-09-26,PE,Peru,AMRO,5841.0,2171374,234.0,199182
2021-10-03,PE,Peru,AMRO,5909.0,2177283,241.0,199423
2021-10-10,PE,Peru,AMRO,5742.0,2183025,192.0,199615
2021-10-17,PE,Peru,AMRO,5326.0,2188351,177.0,199792
2021-10-24,PE,Peru,AMRO,5781.0,2194132,211.0,200003
2021-10-31,PE,Peru,AMRO,5744.0,2199876,194.0,200197
2021-11-07,PE,Peru,AMRO,5610.0,2205486,176.0,200373
2021-11-14,PE,Peru,AMRO,7028.0,2212514,200.0,200573
2021-11-21,PE,Peru,AMRO,8640.0,2221154,228.0,200801
2021-11-28,PE,Peru,AMRO,10021.0,2231175,225.0,201026
2021-12-05,PE,Peru,AMRO,11471.0,2242646,334.0,201360
2021-12-12,PE,Peru,AMRO,8381.0,2251027,290.0,201650
2021-12-19,PE,Peru,AMRO,10856.0,2261883,470.0,202120
2021-12-26,PE,Peru,AMRO,11002.0,2272885,334.0,202454
2022-01-02,PE,Peru,AMRO,23946.0,2296831,236.0,202690
2022-01-09,PE,Peru,AMRO,45719.0,2342550,291.0,202981
2022-01-16,PE,Peru,AMRO,170239.0,2512789,321.0,203302
2022-01-23,PE,Peru,AMRO,326730.0,2839519,692.0,203994
2022-01-30,PE,Peru,AMRO,321213.0,3160732,1118.0,205112
2022-02-06,PE,Peru,AMRO,170558.0,3331290,1534.0,206646
2022-02-13,PE,Peru,AMRO,93604.0,3424894,1319.0,207965
2022-02-20,PE,Peru,AMRO,56858.0,3481752,1145.0,209110
