Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-15,PF,French Polynesia,WPRO,3.0,3,0.0,0
2020-03-22,PF,French Polynesia,WPRO,15.0,18,0.0,0
2020-03-29,PF,French Polynesia,WPRO,17.0,35,0.0,0
2020-04-05,PF,French Polynesia,WPRO,5.0,40,0.0,0
2020-04-12,PF,French Polynesia,WPRO,11.0,51,0.0,0
2020-04-19,PF,French Polynesia,WPRO,4.0,55,0.0,0
2020-04-26,PF,French Polynesia,WPRO,2.0,57,0.0,0
2020-05-03,PF,French Polynesia,WPRO,1.0,58,0.0,0
2020-05-10,PF,French Polynesia,WPRO,2.0,60,0.0,0
2020-05-17,PF,French Polynesia,WPRO,0.0,60,0.0,0
2020-05-24,PF,French Polynesia,WPRO,0.0,60,0.0,0
2020-05-31,PF,French Polynesia,WPRO,0.0,60,0.0,0
2020-06-07,PF,French Polynesia,WPRO,0.0,60,0.0,0
2020-06-14,PF,French Polynesia,WPRO,0.0,60,0.0,0
2020-06-21,PF,French Polynesia,WPRO,0.0,60,0.0,0
2020-06-28,PF,French Polynesia,WPRO,2.0,62,0.0,0
2020-07-05,PF,French Polynesia,WPRO,0.0,62,0.0,0
2020-07-12,PF,French Polynesia,WPRO,0.0,62,0.0,0
2020-07-19,PF,French Polynesia,WPRO,0.0,62,0.0,0
2020-07-26,PF,French Polynesia,WPRO,0.0,62,0.0,0
2020-08-02,PF,French Polynesia,WPRO,0.0,62,0.0,0
2020-08-09,PF,French Polynesia,WPRO,7.0,69,0.0,0
2020-08-16,PF,French Polynesia,WPRO,97.0,166,0.0,0
2020-08-23,PF,French Polynesia,WPRO,132.0,298,0.0,0
2020-08-30,PF,French Polynesia,WPRO,184.0,482,0.0,0
2020-09-06,PF,French Polynesia,WPRO,238.0,720,0.0,0
2020-09-13,PF,French Polynesia,WPRO,300.0,1020,2.0,2
2020-09-20,PF,French Polynesia,WPRO,298.0,1318,0.0,2
2020-09-27,PF,French Polynesia,WPRO,261.0,1579,4.0,6
2020-10-04,PF,French Polynesia,WPRO,447.0,2026,2.0,8
2020-10-11,PF,French Polynesia,WPRO,728.0,2754,2.0,10
2020-10-18,PF,French Polynesia,WPRO,1043.0,3797,4.0,14
2020-10-25,PF,French Polynesia,WPRO,2062.0,5859,6.0,20
2020-11-01,PF,French Polynesia,WPRO,1403.0,7262,9.0,29
2020-11-08,PF,French Polynesia,WPRO,2733.0,9995,10.0,39
2020-11-15,PF,French Polynesia,WPRO,1711.0,11706,14.0,53
2020-11-22,PF,French Polynesia,WPRO,1272.0,12978,10.0,63
2020-11-29,PF,French Polynesia,WPRO,1118.0,14096,10.0,73
2020-12-06,PF,French Polynesia,WPRO,1011.0,15107,6.0,79
2020-12-13,PF,French Polynesia,WPRO,511.0,15618,12.0,91
2020-12-20,PF,French Polynesia,WPRO,564.0,16182,12.0,103
2020-12-27,PF,French Polynesia,WPRO,368.0,16550,5.0,108
2021-01-03,PF,French Polynesia,WPRO,376.0,16926,6.0,114
2021-01-10,PF,French Polynesia,WPRO,315.0,17241,8.0,122
2021-01-17,PF,French Polynesia,WPRO,394.0,17635,4.0,126
2021-01-24,PF,French Polynesia,WPRO,217.0,17852,2.0,128
2021-01-31,PF,French Polynesia,WPRO,208.0,18060,3.0,131
2021-02-07,PF,French Polynesia,WPRO,125.0,18185,2.0,133
2021-02-14,PF,French Polynesia,WPRO,78.0,18263,2.0,135
2021-02-21,PF,French Polynesia,WPRO,83.0,18346,2.0,137
2021-02-28,PF,French Polynesia,WPRO,41.0,18387,2.0,139
2021-03-07,PF,French Polynesia,WPRO,72.0,18459,1.0,140
2021-03-14,PF,French Polynesia,WPRO,68.0,18527,1.0,141
2021-03-21,PF,French Polynesia,WPRO,49.0,18576,0.0,141
2021-03-28,PF,French Polynesia,WPRO,31.0,18607,0.0,141
2021-04-04,PF,French Polynesia,WPRO,26.0,18633,0.0,141
2021-04-11,PF,French Polynesia,WPRO,19.0,18652,0.0,141
2021-04-18,PF,French Polynesia,WPRO,44.0,18696,0.0,141
2021-04-25,PF,French Polynesia,WPRO,38.0,18734,0.0,141
2021-05-02,PF,French Polynesia,WPRO,24.0,18758,0.0,141
2021-05-09,PF,French Polynesia,WPRO,32.0,18790,0.0,141
2021-05-16,PF,French Polynesia,WPRO,25.0,18815,0.0,141
2021-05-23,PF,French Polynesia,WPRO,29.0,18844,0.0,141
2021-05-30,PF,French Polynesia,WPRO,16.0,18860,1.0,142
2021-06-06,PF,French Polynesia,WPRO,29.0,18889,0.0,142
2021-06-13,PF,French Polynesia,WPRO,41.0,18930,0.0,142
2021-06-20,PF,French Polynesia,WPRO,33.0,18963,0.0,142
2021-06-27,PF,French Polynesia,WPRO,31.0,18994,0.0,142
2021-07-04,PF,French Polynesia,WPRO,17.0,19011,0.0,142
2021-07-11,PF,French Polynesia,WPRO,15.0,19026,2.0,144
2021-07-18,PF,French Polynesia,WPRO,59.0,19085,0.0,144
2021-07-25,PF,French Polynesia,WPRO,200.0,19285,1.0,145
2021-08-01,PF,French Polynesia,WPRO,763.0,20048,4.0,149
2021-08-08,PF,French Polynesia,WPRO,2411.0,22459,8.0,157
2021-08-15,PF,French Polynesia,WPRO,5871.0,28330,31.0,188
2021-08-22,PF,French Polynesia,WPRO,8042.0,36372,69.0,257
2021-08-29,PF,French Polynesia,WPRO,3806.0,40178,128.0,385
2021-09-05,PF,French Polynesia,WPRO,1931.0,42109,95.0,480
2021-09-12,PF,French Polynesia,WPRO,1602.0,43711,71.0,551
2021-09-19,PF,French Polynesia,WPRO,901.0,44612,42.0,593
2021-09-26,PF,French Polynesia,WPRO,330.0,44942,18.0,611
2021-10-03,PF,French Polynesia,WPRO,239.0,45181,12.0,623
2021-10-10,PF,French Polynesia,WPRO,178.0,45359,3.0,626
2021-10-17,PF,French Polynesia,WPRO,80.0,45439,7.0,633
2021-10-24,PF,French Polynesia,WPRO,67.0,45506,2.0,635
2021-10-31,PF,French Polynesia,WPRO,35.0,45541,1.0,636
2021-11-07,PF,French Polynesia,WPRO,32.0,45573,0.0,636
2021-11-14,PF,French Polynesia,WPRO,28.0,45601,0.0,636
2021-11-21,PF,French Polynesia,WPRO,13.0,45614,0.0,636
2021-11-28,PF,French Polynesia,WPRO,17.0,45631,0.0,636
2021-12-05,PF,French Polynesia,WPRO,693.0,46324,0.0,636
2021-12-12,PF,French Polynesia,WPRO,10.0,46334,0.0,636
2021-12-19,PF,French Polynesia,WPRO,8.0,46342,0.0,636
2021-12-26,PF,French Polynesia,WPRO,40.0,46382,0.0,636
2022-01-02,PF,French Polynesia,WPRO,43.0,46425,0.0,636
2022-01-09,PF,French Polynesia,WPRO,109.0,46534,0.0,636
2022-01-16,PF,French Polynesia,WPRO,598.0,47132,0.0,636
2022-01-23,PF,French Polynesia,WPRO,524.0,47656,0.0,636
2022-01-30,PF,French Polynesia,WPRO,610.0,48266,0.0,636
2022-02-06,PF,French Polynesia,WPRO,1255.0,49521,0.0,636
2022-02-13,PF,French Polynesia,WPRO,7137.0,56658,1.0,637
2022-02-20,PF,French Polynesia,WPRO,5913.0,62571,0.0,637
2022-02-27,PF,French Polynesia,WPRO,4128.0,66699,2.0,639
2022-03-06,PF,French Polynesia,WPRO,2276.0,68975,4.0,643
2022-03-13,PF,French Polynesia,WPRO,1461.0,70436,2.0,645
2022-03-20,PF,French Polynesia,WPRO,1033.0,71469,0.0,645
2022-03-27,PF,French Polynesia,WPRO,589.0,72058,1.0,646
2022-04-03,PF,French Polynesia,WPRO,328.0,72386,1.0,647
2022-04-10,PF,French Polynesia,WPRO,184.0,72570,1.0,648
