Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-02-02,PH,Philippines,WPRO,1.0,1,1.0,1
2020-02-09,PH,Philippines,WPRO,2.0,3,0.0,1
2020-02-16,PH,Philippines,WPRO,0.0,3,0.0,1
2020-02-23,PH,Philippines,WPRO,0.0,3,0.0,1
2020-03-01,PH,Philippines,WPRO,0.0,3,0.0,1
2020-03-08,PH,Philippines,WPRO,3.0,6,0.0,1
2020-03-15,PH,Philippines,WPRO,105.0,111,10.0,11
2020-03-22,PH,Philippines,WPRO,196.0,307,14.0,25
2020-03-29,PH,Philippines,WPRO,768.0,1075,43.0,68
2020-04-05,PH,Philippines,WPRO,2019.0,3094,76.0,144
2020-04-12,PH,Philippines,WPRO,1334.0,4428,103.0,247
2020-04-19,PH,Philippines,WPRO,1659.0,6087,150.0,397
2020-04-26,PH,Philippines,WPRO,1207.0,7294,97.0,494
2020-05-03,PH,Philippines,WPRO,1634.0,8928,109.0,603
2020-05-10,PH,Philippines,WPRO,1682.0,10610,101.0,704
2020-05-17,PH,Philippines,WPRO,1695.0,12305,113.0,817
2020-05-24,PH,Philippines,WPRO,1472.0,13777,46.0,863
2020-05-31,PH,Philippines,WPRO,3447.0,17224,87.0,950
2020-06-07,PH,Philippines,WPRO,4116.0,21340,44.0,994
2020-06-14,PH,Philippines,WPRO,4051.0,25391,81.0,1075
2020-06-21,PH,Philippines,WPRO,4008.0,29399,75.0,1150
2020-06-28,PH,Philippines,WPRO,5403.0,34802,86.0,1236
2020-07-05,PH,Philippines,WPRO,7028.0,41830,54.0,1290
2020-07-12,PH,Philippines,WPRO,12305.0,54135,82.0,1372
2020-07-19,PH,Philippines,WPRO,11080.0,65215,401.0,1773
2020-07-26,PH,Philippines,WPRO,13123.0,78338,124.0,1897
2020-08-02,PH,Philippines,WPRO,19815.0,98153,142.0,2039
2020-08-09,PH,Philippines,WPRO,28651.0,126804,170.0,2209
2020-08-16,PH,Philippines,WPRO,31114.0,157918,391.0,2600
2020-08-23,PH,Philippines,WPRO,29305.0,187223,366.0,2966
2020-08-30,PH,Philippines,WPRO,25889.0,213112,453.0,3419
2020-09-06,PH,Philippines,WPRO,21414.0,234526,371.0,3790
2020-09-13,PH,Philippines,WPRO,23337.0,257863,502.0,4292
2020-09-20,PH,Philippines,WPRO,25568.0,283431,638.0,4930
2020-09-27,PH,Philippines,WPRO,17800.0,301231,354.0,5284
2020-10-04,PH,Philippines,WPRO,18076.0,319307,394.0,5678
2020-10-11,PH,Philippines,WPRO,17532.0,336839,560.0,6238
2020-10-18,PH,Philippines,WPRO,17414.0,354253,365.0,6603
2020-10-25,PH,Philippines,WPRO,13552.0,367805,331.0,6934
2020-11-01,PH,Philippines,WPRO,12912.0,380717,287.0,7221
2020-11-08,PH,Philippines,WPRO,13236.0,393953,264.0,7485
2020-11-15,PH,Philippines,WPRO,12355.0,406308,306.0,7791
2020-11-22,PH,Philippines,WPRO,10542.0,416850,289.0,8080
2020-11-29,PH,Philippines,WPRO,10940.0,427790,253.0,8333
2020-12-06,PH,Philippines,WPRO,10276.0,438066,193.0,8526
2020-12-13,PH,Philippines,WPRO,10265.0,448331,204.0,8730
2020-12-20,PH,Philippines,WPRO,9704.0,458035,181.0,8911
2020-12-27,PH,Philippines,WPRO,10968.0,469003,156.0,9067
2021-01-03,PH,Philippines,WPRO,8799.0,477802,186.0,9253
2021-01-10,PH,Philippines,WPRO,9882.0,487684,145.0,9398
2021-01-17,PH,Philippines,WPRO,12889.0,500573,486.0,9884
2021-01-24,PH,Philippines,WPRO,13046.0,513619,306.0,10190
2021-01-31,PH,Philippines,WPRO,11995.0,525614,479.0,10669
2021-02-07,PH,Philippines,WPRO,11691.0,537305,441.0,11110
2021-02-14,PH,Philippines,WPRO,11870.0,549175,397.0,11507
2021-02-21,PH,Philippines,WPRO,11993.0,561168,561.0,12068
2021-02-28,PH,Philippines,WPRO,15176.0,576344,221.0,12289
2021-03-07,PH,Philippines,WPRO,18063.0,594407,176.0,12465
2021-03-14,PH,Philippines,WPRO,27082.0,621489,301.0,12766
2021-03-21,PH,Philippines,WPRO,42284.0,663773,164.0,12930
2021-03-28,PH,Philippines,WPRO,58105.0,721878,229.0,13159
2021-04-04,PH,Philippines,WPRO,73165.0,795043,264.0,13423
2021-04-11,PH,Philippines,WPRO,69804.0,864847,1321.0,14744
2021-04-18,PH,Philippines,WPRO,71270.0,936117,1066.0,15810
2021-04-25,PH,Philippines,WPRO,61382.0,997499,864.0,16674
2021-05-02,PH,Philippines,WPRO,57471.0,1054970,757.0,17431
2021-05-09,PH,Philippines,WPRO,47010.0,1101980,1041.0,18472
2021-05-16,PH,Philippines,WPRO,41966.0,1143946,719.0,19191
2021-05-23,PH,Philippines,WPRO,35845.0,1179791,760.0,19951
2021-05-30,PH,Philippines,WPRO,43826.0,1223617,909.0,20860
2021-06-06,PH,Philippines,WPRO,45848.0,1269465,1038.0,21898
2021-06-13,PH,Philippines,WPRO,46162.0,1315627,890.0,22788
2021-06-20,PH,Philippines,WPRO,43363.0,1358990,833.0,23621
2021-06-27,PH,Philippines,WPRO,38994.0,1397984,751.0,24372
2021-07-04,PH,Philippines,WPRO,38370.0,1436354,777.0,25149
2021-07-11,PH,Philippines,WPRO,36509.0,1472863,766.0,25915
2021-07-18,PH,Philippines,WPRO,34882.0,1507745,799.0,26714
2021-07-25,PH,Philippines,WPRO,40987.0,1548732,510.0,27224
2021-08-01,PH,Philippines,WPRO,48863.0,1597595,792.0,28016
2021-08-08,PH,Philippines,WPRO,61219.0,1658814,1106.0,29122
2021-08-15,PH,Philippines,WPRO,82422.0,1741236,1218.0,30340
2021-08-22,PH,Philippines,WPRO,98078.0,1839314,1470.0,31810
2021-08-29,PH,Philippines,WPRO,114522.0,1953836,1299.0,33109
2021-09-05,PH,Philippines,WPRO,127080.0,2080916,1125.0,34234
2021-09-12,PH,Philippines,WPRO,146410.0,2227326,911.0,35145
2021-09-19,PH,Philippines,WPRO,139353.0,2366679,1643.0,36788
2021-09-26,PH,Philippines,WPRO,124120.0,2490799,617.0,37405
2021-10-03,PH,Philippines,WPRO,102493.0,2593292,1363.0,38768
2021-10-10,PH,Philippines,WPRO,73230.0,2666522,856.0,39624
2021-10-17,PH,Philippines,WPRO,53821.0,2720343,1051.0,40675
2021-10-24,PH,Philippines,WPRO,36559.0,2756902,1118.0,41793
2021-10-31,PH,Philippines,WPRO,30356.0,2787258,1379.0,43172
2021-11-07,PH,Philippines,WPRO,15949.0,2803207,1258.0,44430
2021-11-14,PH,Philippines,WPRO,13757.0,2816964,1151.0,45581
2021-11-21,PH,Philippines,WPRO,8905.0,2825869,1493.0,47074
2021-11-28,PH,Philippines,WPRO,5841.0,2831710,1287.0,48361
2021-12-05,PH,Philippines,WPRO,2901.0,2834611,1025.0,49386
2021-12-12,PH,Philippines,WPRO,1832.0,2836443,894.0,50280
2021-12-19,PH,Philippines,WPRO,1019.0,2837462,459.0,50739
2021-12-26,PH,Philippines,WPRO,1012.0,2838474,461.0,51200
2022-01-02,PH,Philippines,WPRO,13261.0,2851735,370.0,51570
2022-01-09,PH,Philippines,WPRO,113626.0,2965361,580.0,52150
2022-01-16,PH,Philippines,WPRO,239943.0,3205304,757.0,52907
2022-01-23,PH,Philippines,WPRO,211814.0,3417118,565.0,53472
2022-01-30,PH,Philippines,WPRO,128538.0,3545656,419.0,53891
2022-02-06,PH,Philippines,WPRO,63896.0,3609552,635.0,54526
2022-02-13,PH,Philippines,WPRO,27660.0,3637212,404.0,54930
2022-02-20,PH,Philippines,WPRO,14887.0,3652099,754.0,55684
2022-02-27,PH,Philippines,WPRO,8947.0,3661046,717.0,56401
2022-03-06,PH,Philippines,WPRO,6489.0,3667535,622.0,57023
2022-03-13,PH,Philippines,WPRO,3204.0,3670739,587.0,57610
2022-03-20,PH,Philippines,WPRO,3540.0,3674279,653.0,58263
2022-03-27,PH,Philippines,WPRO,2710.0,3676989,752.0,59015
2022-04-03,PH,Philippines,WPRO,2186.0,3679175,328.0,59343
2022-04-10,PH,Philippines,WPRO,1871.0,3681046,426.0,59769
2022-04-17,PH,Philippines,WPRO,1647.0,3682693,200.0,59969
2022-04-24,PH,Philippines,WPRO,1437.0,3684130,213.0,60182
2022-05-01,PH,Philippines,WPRO,1377.0,3685507,215.0,60397
2022-05-08,PH,Philippines,WPRO,1117.0,3686624,42.0,60439
2022-05-15,PH,Philippines,WPRO,1105.0,3687729,13.0,60452
2022-05-22,PH,Philippines,WPRO,1212.0,3688941,3.0,60455
2022-05-29,PH,Philippines,WPRO,1313.0,3690254,0.0,60455
2022-06-05,PH,Philippines,WPRO,1291.0,3691545,1.0,60456
2022-06-12,PH,Philippines,WPRO,1677.0,3693222,5.0,60461
2022-06-19,PH,Philippines,WPRO,3042.0,3696264,6.0,60467
2022-06-26,PH,Philippines,WPRO,4612.0,3700876,51.0,60518
2022-07-03,PH,Philippines,WPRO,6072.0,3706948,84.0,60602
2022-07-10,PH,Philippines,WPRO,9501.0,3716449,38.0,60640
2022-07-17,PH,Philippines,WPRO,14092.0,3730541,1.0,60641
2022-07-24,PH,Philippines,WPRO,18336.0,3748877,53.0,60694
2022-07-31,PH,Philippines,WPRO,23591.0,3772468,43.0,60737
2022-08-07,PH,Philippines,WPRO,26866.0,3799334,100.0,60837
2022-08-14,PH,Philippines,WPRO,28425.0,3827759,241.0,61078
2022-08-21,PH,Philippines,WPRO,24402.0,3852161,308.0,61386
2022-08-28,PH,Philippines,WPRO,20162.0,3872323,334.0,61720
2022-09-04,PH,Philippines,WPRO,16774.0,3889097,342.0,62062
2022-09-11,PH,Philippines,WPRO,17160.0,3906257,280.0,62342
2022-09-18,PH,Philippines,WPRO,12069.0,3918326,245.0,62587
2022-09-25,PH,Philippines,WPRO,16357.0,3934683,232.0,62819
2022-10-02,PH,Philippines,WPRO,17086.0,3951769,223.0,63042
2022-10-09,PH,Philippines,WPRO,13995.0,3965764,255.0,63297
2022-10-16,PH,Philippines,WPRO,14880.0,3980644,250.0,63547
2022-10-23,PH,Philippines,WPRO,12405.0,3993049,267.0,63814
2022-10-30,PH,Philippines,WPRO,9040.0,4002089,260.0,64074
