Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-02-23,PT,Portugal,EURO,1.0,1,0.0,0
2020-03-01,PT,Portugal,EURO,1.0,2,0.0,0
2020-03-08,PT,Portugal,EURO,27.0,29,0.0,0
2020-03-15,PT,Portugal,EURO,289.0,318,0.0,0
2020-03-22,PT,Portugal,EURO,1405.0,1723,26.0,26
2020-03-29,PT,Portugal,EURO,3726.0,5449,124.0,150
2020-04-05,PT,Portugal,EURO,5045.0,10494,206.0,356
2020-04-12,PT,Portugal,EURO,4433.0,14927,246.0,602
2020-04-19,PT,Portugal,EURO,4241.0,19168,217.0,819
2020-04-26,PT,Portugal,EURO,3181.0,22349,187.0,1006
2020-05-03,PT,Portugal,EURO,2371.0,24720,140.0,1146
2020-05-10,PT,Portugal,EURO,2326.0,27046,80.0,1226
2020-05-17,PT,Portugal,EURO,1853.0,28899,69.0,1295
2020-05-24,PT,Portugal,EURO,2008.0,30907,68.0,1363
2020-05-31,PT,Portugal,EURO,1956.0,32863,69.0,1432
2020-06-07,PT,Portugal,EURO,2111.0,34974,50.0,1482
2020-06-14,PT,Portugal,EURO,1959.0,36933,31.0,1513
2020-06-21,PT,Portugal,EURO,2461.0,39394,20.0,1533
2020-06-28,PT,Portugal,EURO,2673.0,42067,38.0,1571
2020-07-05,PT,Portugal,EURO,2457.0,44524,54.0,1625
2020-07-12,PT,Portugal,EURO,2566.0,47090,41.0,1666
2020-07-19,PT,Portugal,EURO,2143.0,49233,29.0,1695
2020-07-26,PT,Portugal,EURO,1700.0,50933,29.0,1724
2020-08-02,PT,Portugal,EURO,1444.0,52377,18.0,1742
2020-08-09,PT,Portugal,EURO,1484.0,53861,22.0,1764
2020-08-16,PT,Portugal,EURO,1597.0,55458,19.0,1783
2020-08-23,PT,Portugal,EURO,1524.0,56982,23.0,1806
2020-08-30,PT,Portugal,EURO,2322.0,59304,21.0,1827
2020-09-06,PT,Portugal,EURO,2566.0,61870,22.0,1849
2020-09-13,PT,Portugal,EURO,3818.0,65688,28.0,1877
2020-09-20,PT,Portugal,EURO,4518.0,70206,49.0,1926
2020-09-27,PT,Portugal,EURO,4815.0,75021,37.0,1963
2020-10-04,PT,Portugal,EURO,5383.0,80404,61.0,2024
2020-10-11,PT,Portugal,EURO,7508.0,87912,81.0,2105
2020-10-18,PT,Portugal,EURO,12995.0,100907,105.0,2210
2020-10-25,PT,Portugal,EURO,17475.0,118382,146.0,2356
2020-11-01,PT,Portugal,EURO,23294.0,141676,245.0,2601
2020-11-08,PT,Portugal,EURO,32323.0,173999,377.0,2978
2020-11-15,PT,Portugal,EURO,34571.0,208570,527.0,3505
2020-11-22,PT,Portugal,EURO,36869.0,245439,480.0,3985
2020-11-29,PT,Portugal,EURO,33275.0,278714,532.0,4517
2020-12-06,PT,Portugal,EURO,26465.0,305179,534.0,5051
2020-12-13,PT,Portugal,EURO,25959.0,331138,609.0,5660
2020-12-20,PT,Portugal,EURO,26186.0,357324,543.0,6203
2020-12-27,PT,Portugal,EURO,20150.0,377474,492.0,6695
2021-01-03,PT,Portugal,EURO,32506.0,409980,530.0,7225
2021-01-10,PT,Portugal,EURO,53049.0,463029,745.0,7970
2021-01-17,PT,Portugal,EURO,62101.0,525130,1109.0,9079
2021-01-24,PT,Portugal,EURO,81676.0,606806,1698.0,10777
2021-01-31,PT,Portugal,EURO,78867.0,685673,2014.0,12791
2021-02-07,PT,Portugal,EURO,44485.0,730158,1587.0,14378
2021-02-14,PT,Portugal,EURO,22830.0,752988,1034.0,15412
2021-02-21,PT,Portugal,EURO,13874.0,766862,608.0,16020
2021-02-28,PT,Portugal,EURO,8805.0,775667,326.0,16346
2021-03-07,PT,Portugal,EURO,8816.0,784483,209.0,16555
2021-03-14,PT,Portugal,EURO,7577.0,792060,130.0,16685
2021-03-21,PT,Portugal,EURO,4789.0,796849,88.0,16773
2021-03-28,PT,Portugal,EURO,4960.0,801809,59.0,16832
2021-04-04,PT,Portugal,EURO,4342.0,806151,42.0,16874
2021-04-11,PT,Portugal,EURO,4479.0,810630,34.0,16908
2021-04-18,PT,Portugal,EURO,4181.0,814811,27.0,16935
2021-04-25,PT,Portugal,EURO,4125.0,818936,19.0,16954
2021-05-02,PT,Portugal,EURO,3760.0,822696,13.0,16967
2021-05-09,PT,Portugal,EURO,3480.0,826176,15.0,16982
2021-05-16,PT,Portugal,EURO,3228.0,829404,17.0,16999
2021-05-23,PT,Portugal,EURO,3653.0,833057,7.0,17006
2021-05-30,PT,Portugal,EURO,3887.0,836944,7.0,17013
2021-06-06,PT,Portugal,EURO,4288.0,841232,12.0,17025
2021-06-13,PT,Portugal,EURO,5133.0,846365,10.0,17035
2021-06-20,PT,Portugal,EURO,7841.0,854206,22.0,17057
2021-06-27,PT,Portugal,EURO,9700.0,863906,19.0,17076
2021-07-04,PT,Portugal,EURO,14651.0,878557,31.0,17107
2021-07-11,PT,Portugal,EURO,19512.0,898069,49.0,17156
2021-07-18,PT,Portugal,EURO,25787.0,923856,52.0,17208
2021-07-25,PT,Portugal,EURO,23120.0,946976,86.0,17294
2021-08-01,PT,Portugal,EURO,18721.0,965697,79.0,17373
2021-08-08,PT,Portugal,EURO,16062.0,981759,103.0,17476
2021-08-15,PT,Portugal,EURO,16530.0,998289,89.0,17565
2021-08-22,PT,Portugal,EURO,16297.0,1014586,70.0,17635
2021-08-29,PT,Portugal,EURO,16168.0,1030754,83.0,17718
2021-09-05,PT,Portugal,EURO,12570.0,1043324,80.0,17798
2021-09-12,PT,Portugal,EURO,9003.0,1052327,56.0,17854
2021-09-19,PT,Portugal,EURO,6887.0,1059214,48.0,17902
