Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-15,PY,Paraguay,AMRO,7.0,7,0.0,0
2020-03-22,PY,Paraguay,AMRO,11.0,18,1.0,1
2020-03-29,PY,Paraguay,AMRO,38.0,56,2.0,3
2020-04-05,PY,Paraguay,AMRO,40.0,96,0.0,3
2020-04-12,PY,Paraguay,AMRO,37.0,133,3.0,6
2020-04-19,PY,Paraguay,AMRO,69.0,202,2.0,8
2020-04-26,PY,Paraguay,AMRO,21.0,223,1.0,9
2020-05-03,PY,Paraguay,AMRO,110.0,333,1.0,10
2020-05-10,PY,Paraguay,AMRO,356.0,689,0.0,10
2020-05-17,PY,Paraguay,AMRO,89.0,778,1.0,11
2020-05-24,PY,Paraguay,AMRO,72.0,850,0.0,11
2020-05-31,PY,Paraguay,AMRO,114.0,964,0.0,11
2020-06-07,PY,Paraguay,AMRO,126.0,1090,0.0,11
2020-06-14,PY,Paraguay,AMRO,171.0,1261,0.0,11
2020-06-21,PY,Paraguay,AMRO,101.0,1362,2.0,13
2020-06-28,PY,Paraguay,AMRO,349.0,1711,0.0,13
2020-07-05,PY,Paraguay,AMRO,674.0,2385,7.0,20
2020-07-12,PY,Paraguay,AMRO,351.0,2736,0.0,20
2020-07-19,PY,Paraguay,AMRO,721.0,3457,8.0,28
2020-07-26,PY,Paraguay,AMRO,767.0,4224,10.0,38
2020-08-02,PY,Paraguay,AMRO,1114.0,5338,11.0,49
2020-08-09,PY,Paraguay,AMRO,1170.0,6508,20.0,69
2020-08-16,PY,Paraguay,AMRO,2514.0,9022,39.0,108
2020-08-23,PY,Paraguay,AMRO,3514.0,12536,74.0,182
2020-08-30,PY,Paraguay,AMRO,3338.0,15874,98.0,280
2020-09-06,PY,Paraguay,AMRO,4780.0,20654,118.0,398
2020-09-13,PY,Paraguay,AMRO,5858.0,26512,98.0,496
2020-09-20,PY,Paraguay,AMRO,5615.0,32127,115.0,611
2020-09-27,PY,Paraguay,AMRO,5099.0,37226,150.0,761
2020-10-04,PY,Paraguay,AMRO,5458.0,42684,129.0,890
2020-10-11,PY,Paraguay,AMRO,5591.0,48275,155.0,1045
2020-10-18,PY,Paraguay,AMRO,5207.0,53482,121.0,1166
2020-10-25,PY,Paraguay,AMRO,4777.0,58259,112.0,1278
2020-11-01,PY,Paraguay,AMRO,4337.0,62596,109.0,1387
2020-11-08,PY,Paraguay,AMRO,3885.0,66481,85.0,1472
2020-11-15,PY,Paraguay,AMRO,3911.0,70392,84.0,1556
2020-11-22,PY,Paraguay,AMRO,4666.0,75058,91.0,1647
2020-11-29,PY,Paraguay,AMRO,5378.0,80436,73.0,1720
2020-12-06,PY,Paraguay,AMRO,6063.0,86499,93.0,1813
2020-12-13,PY,Paraguay,AMRO,5614.0,92113,114.0,1927
2020-12-20,PY,Paraguay,AMRO,6183.0,98296,123.0,2050
2020-12-27,PY,Paraguay,AMRO,5592.0,103888,104.0,2154
2021-01-03,PY,Paraguay,AMRO,4461.0,108349,108.0,2262
2021-01-10,PY,Paraguay,AMRO,5645.0,113994,110.0,2372
2021-01-17,PY,Paraguay,AMRO,6795.0,120789,107.0,2479
2021-01-24,PY,Paraguay,AMRO,5581.0,126370,106.0,2585
2021-01-31,PY,Paraguay,AMRO,5516.0,131886,108.0,2693
2021-02-07,PY,Paraguay,AMRO,5004.0,136890,98.0,2791
2021-02-14,PY,Paraguay,AMRO,5708.0,142598,113.0,2904
2021-02-21,PY,Paraguay,AMRO,7086.0,149684,122.0,3026
2021-02-28,PY,Paraguay,AMRO,7919.0,157603,126.0,3152
2021-03-07,PY,Paraguay,AMRO,8208.0,165811,126.0,3278
2021-03-14,PY,Paraguay,AMRO,11782.0,177593,158.0,3436
2021-03-21,PY,Paraguay,AMRO,12906.0,190499,226.0,3662
2021-03-28,PY,Paraguay,AMRO,14205.0,204704,296.0,3958
2021-04-04,PY,Paraguay,AMRO,13182.0,217886,336.0,4294
2021-04-11,PY,Paraguay,AMRO,14256.0,232142,404.0,4698
2021-04-18,PY,Paraguay,AMRO,14664.0,246806,479.0,5177
2021-04-25,PY,Paraguay,AMRO,16328.0,263134,538.0,5715
2021-05-02,PY,Paraguay,AMRO,15943.0,279077,670.0,6385
2021-05-09,PY,Paraguay,AMRO,15156.0,294233,589.0,6974
2021-05-16,PY,Paraguay,AMRO,15405.0,309638,508.0,7482
2021-05-23,PY,Paraguay,AMRO,17591.0,327229,633.0,8115
2021-05-30,PY,Paraguay,AMRO,20955.0,348184,777.0,8892
2021-06-06,PY,Paraguay,AMRO,19999.0,368183,717.0,9609
2021-06-13,PY,Paraguay,AMRO,19504.0,387687,952.0,10561
2021-06-20,PY,Paraguay,AMRO,15705.0,403392,850.0,11411
2021-06-27,PY,Paraguay,AMRO,11928.0,415320,804.0,12215
2021-07-04,PY,Paraguay,AMRO,10998.0,426318,912.0,13127
2021-07-11,PY,Paraguay,AMRO,9204.0,435522,679.0,13806
2021-07-18,PY,Paraguay,AMRO,7856.0,443378,372.0,14178
2021-07-25,PY,Paraguay,AMRO,5130.0,448508,372.0,14550
2021-08-01,PY,Paraguay,AMRO,3577.0,452085,379.0,14929
