Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-08,QA,Qatar,EMRO,12.0,12,0.0,0
2020-03-15,QA,Qatar,EMRO,325.0,337,0.0,0
2020-03-22,QA,Qatar,EMRO,144.0,481,0.0,0
2020-03-29,QA,Qatar,EMRO,109.0,590,0.0,0
2020-04-05,QA,Qatar,EMRO,735.0,1325,3.0,3
2020-04-12,QA,Qatar,EMRO,1403.0,2728,3.0,6
2020-04-19,QA,Qatar,EMRO,2280.0,5008,2.0,8
2020-04-26,QA,Qatar,EMRO,4350.0,9358,2.0,10
2020-05-03,QA,Qatar,EMRO,5514.0,14872,2.0,12
2020-05-10,QA,Qatar,EMRO,6459.0,21331,1.0,13
2020-05-17,QA,Qatar,EMRO,9641.0,30972,2.0,15
2020-05-24,QA,Qatar,EMRO,11241.0,42213,6.0,21
2020-05-31,QA,Qatar,EMRO,13049.0,55262,15.0,36
2020-06-07,QA,Qatar,EMRO,11933.0,67195,15.0,51
2020-06-14,QA,Qatar,EMRO,11221.0,78416,19.0,70
2020-06-21,QA,Qatar,EMRO,8072.0,86488,24.0,94
2020-06-28,QA,Qatar,EMRO,7175.0,93663,16.0,110
2020-07-05,QA,Qatar,EMRO,5520.0,99183,13.0,123
2020-07-12,QA,Qatar,EMRO,3945.0,103128,23.0,146
2020-07-19,QA,Qatar,EMRO,3180.0,106308,8.0,154
2020-07-26,QA,Qatar,EMRO,2728.0,109036,10.0,164
2020-08-02,QA,Qatar,EMRO,1875.0,110911,10.0,174
2020-08-09,QA,Qatar,EMRO,1739.0,112650,8.0,182
2020-08-16,QA,Qatar,EMRO,2159.0,114809,10.0,192
2020-08-23,QA,Qatar,EMRO,1956.0,116765,1.0,193
2020-08-30,QA,Qatar,EMRO,1642.0,118407,3.0,196
2020-09-06,QA,Qatar,EMRO,1457.0,119864,6.0,202
2020-09-13,QA,Qatar,EMRO,1659.0,121523,3.0,205
2020-09-20,QA,Qatar,EMRO,1623.0,123146,4.0,209
2020-09-27,QA,Qatar,EMRO,1704.0,124850,5.0,214
2020-10-04,QA,Qatar,EMRO,1489.0,126339,2.0,216
2020-10-11,QA,Qatar,EMRO,1439.0,127778,3.0,219
2020-10-18,QA,Qatar,EMRO,1449.0,129227,4.0,223
2020-10-25,QA,Qatar,EMRO,1738.0,130965,6.0,229
2020-11-01,QA,Qatar,EMRO,1591.0,132556,3.0,232
2020-11-08,QA,Qatar,EMRO,1457.0,134013,0.0,232
2020-11-15,QA,Qatar,EMRO,1557.0,135570,2.0,234
2020-11-22,QA,Qatar,EMRO,1492.0,137062,1.0,235
2020-11-29,QA,Qatar,EMRO,1415.0,138477,2.0,237
2020-12-06,QA,Qatar,EMRO,1306.0,139783,2.0,239
2020-12-13,QA,Qatar,EMRO,1044.0,140827,1.0,240
2020-12-20,QA,Qatar,EMRO,1031.0,141858,3.0,243
2020-12-27,QA,Qatar,EMRO,1045.0,142903,1.0,244
2021-01-03,QA,Qatar,EMRO,1337.0,144240,1.0,245
2021-01-10,QA,Qatar,EMRO,1432.0,145672,1.0,246
2021-01-17,QA,Qatar,EMRO,1417.0,147089,0.0,246
2021-01-24,QA,Qatar,EMRO,1683.0,148772,2.0,248
2021-01-31,QA,Qatar,EMRO,2212.0,150984,0.0,248
2021-02-07,QA,Qatar,EMRO,2706.0,153690,2.0,250
2021-02-14,QA,Qatar,EMRO,3114.0,156804,5.0,255
2021-02-21,QA,Qatar,EMRO,3163.0,159967,1.0,256
2021-02-28,QA,Qatar,EMRO,3230.0,163197,1.0,257
2021-03-07,QA,Qatar,EMRO,3278.0,166475,5.0,262
2021-03-14,QA,Qatar,EMRO,3292.0,169767,3.0,265
2021-03-21,QA,Qatar,EMRO,3439.0,173206,7.0,272
2021-03-28,QA,Qatar,EMRO,3929.0,177135,12.0,284
2021-04-04,QA,Qatar,EMRO,5413.0,182548,17.0,301
2021-04-11,QA,Qatar,EMRO,6516.0,189064,30.0,331
2021-04-18,QA,Qatar,EMRO,6693.0,195757,45.0,376
2021-04-25,QA,Qatar,EMRO,5739.0,201496,42.0,418
2021-05-02,QA,Qatar,EMRO,4806.0,206302,47.0,465
2021-05-09,QA,Qatar,EMRO,4301.0,210603,37.0,502
2021-05-16,QA,Qatar,EMRO,2324.0,212927,24.0,526
2021-05-23,QA,Qatar,EMRO,2233.0,215160,17.0,543
2021-05-30,QA,Qatar,EMRO,1881.0,217041,11.0,554
2021-06-06,QA,Qatar,EMRO,1414.0,218455,12.0,566
2021-06-13,QA,Qatar,EMRO,1158.0,219613,10.0,576
2021-06-20,QA,Qatar,EMRO,1080.0,220693,6.0,582
2021-06-27,QA,Qatar,EMRO,897.0,221590,6.0,588
2021-07-04,QA,Qatar,EMRO,863.0,222453,4.0,592
2021-07-11,QA,Qatar,EMRO,819.0,223272,7.0,599
2021-07-18,QA,Qatar,EMRO,888.0,224160,0.0,599
2021-07-25,QA,Qatar,EMRO,912.0,225072,1.0,600
2021-08-01,QA,Qatar,EMRO,1167.0,226239,1.0,601
2021-08-08,QA,Qatar,EMRO,1233.0,227472,0.0,601
2021-08-15,QA,Qatar,EMRO,1509.0,228981,0.0,601
2021-08-22,QA,Qatar,EMRO,1651.0,230632,0.0,601
2021-08-29,QA,Qatar,EMRO,1555.0,232187,1.0,602
2021-09-05,QA,Qatar,EMRO,1250.0,233437,0.0,602
2021-09-12,QA,Qatar,EMRO,1072.0,234509,2.0,604
2021-09-19,QA,Qatar,EMRO,877.0,235386,0.0,604
2021-09-26,QA,Qatar,EMRO,845.0,236231,0.0,604
2021-10-03,QA,Qatar,EMRO,603.0,236834,2.0,606
2021-10-10,QA,Qatar,EMRO,525.0,237359,1.0,607
2021-10-17,QA,Qatar,EMRO,508.0,237867,1.0,608
2021-10-24,QA,Qatar,EMRO,569.0,238436,0.0,608
2021-10-31,QA,Qatar,EMRO,707.0,239143,2.0,610
2021-11-07,QA,Qatar,EMRO,852.0,239995,1.0,611
2021-11-14,QA,Qatar,EMRO,970.0,240965,0.0,611
2021-11-21,QA,Qatar,EMRO,1004.0,241969,0.0,611
2021-11-28,QA,Qatar,EMRO,1010.0,242979,0.0,611
2021-12-05,QA,Qatar,EMRO,1092.0,244071,0.0,611
2021-12-12,QA,Qatar,EMRO,1117.0,245188,1.0,612
2021-12-19,QA,Qatar,EMRO,1179.0,246367,2.0,614
2021-12-26,QA,Qatar,EMRO,1429.0,247796,0.0,614
2022-01-02,QA,Qatar,EMRO,3565.0,251361,4.0,618
2022-01-09,QA,Qatar,EMRO,15601.0,266962,0.0,618
2022-01-16,QA,Qatar,EMRO,28259.0,295221,6.0,624
2022-01-23,QA,Qatar,EMRO,25143.0,320364,9.0,633
2022-01-30,QA,Qatar,EMRO,15717.0,336081,12.0,645
2022-02-06,QA,Qatar,EMRO,8630.0,344711,7.0,652
2022-02-13,QA,Qatar,EMRO,5477.0,350188,4.0,656
2022-02-20,QA,Qatar,EMRO,3592.0,353780,6.0,662
2022-02-27,QA,Qatar,EMRO,2583.0,356363,5.0,667
2022-03-06,QA,Qatar,EMRO,1720.0,358083,3.0,670
2022-03-13,QA,Qatar,EMRO,945.0,359028,5.0,675
2022-03-20,QA,Qatar,EMRO,778.0,359806,2.0,677
2022-03-27,QA,Qatar,EMRO,898.0,360704,0.0,677
2022-04-03,QA,Qatar,EMRO,963.0,361667,0.0,677
2022-04-10,QA,Qatar,EMRO,956.0,362623,0.0,677
2022-04-17,QA,Qatar,EMRO,820.0,363443,0.0,677
2022-04-24,QA,Qatar,EMRO,646.0,364089,0.0,677
2022-05-01,QA,Qatar,EMRO,513.0,364602,0.0,677
2022-05-08,QA,Qatar,EMRO,456.0,365058,0.0,677
2022-05-15,QA,Qatar,EMRO,976.0,366034,0.0,677
2022-05-22,QA,Qatar,EMRO,918.0,366952,0.0,677
2022-05-29,QA,Qatar,EMRO,1135.0,368087,0.0,677
2022-06-05,QA,Qatar,EMRO,1549.0,369636,0.0,677
2022-06-12,QA,Qatar,EMRO,2210.0,371846,0.0,677
2022-06-19,QA,Qatar,EMRO,3077.0,374923,1.0,678
2022-06-26,QA,Qatar,EMRO,4354.0,379277,0.0,678
2022-07-03,QA,Qatar,EMRO,4530.0,383807,1.0,679
2022-07-10,QA,Qatar,EMRO,4574.0,388381,0.0,679
2022-07-17,QA,Qatar,EMRO,5453.0,393834,1.0,680
2022-07-24,QA,Qatar,EMRO,7488.0,401322,0.0,680
2022-07-31,QA,Qatar,EMRO,6427.0,407749,1.0,681
2022-08-07,QA,Qatar,EMRO,5740.0,413489,0.0,681
2022-08-14,QA,Qatar,EMRO,5133.0,418622,0.0,681
2022-08-21,QA,Qatar,EMRO,4496.0,423118,0.0,681
2022-08-28,QA,Qatar,EMRO,3883.0,427001,0.0,681
2022-09-04,QA,Qatar,EMRO,3944.0,430945,0.0,681
2022-09-11,QA,Qatar,EMRO,4247.0,435192,1.0,682
2022-09-18,QA,Qatar,EMRO,5388.0,440580,0.0,682
2022-09-25,QA,Qatar,EMRO,5697.0,446277,0.0,682
2022-10-02,QA,Qatar,EMRO,5398.0,451675,0.0,682
2022-10-09,QA,Qatar,EMRO,5144.0,456819,0.0,682
2022-10-16,QA,Qatar,EMRO,4579.0,461398,0.0,682
2022-10-23,QA,Qatar,EMRO,3732.0,465130,2.0,684
2022-10-30,QA,Qatar,EMRO,3172.0,468302,0.0,684
2022-11-06,QA,Qatar,EMRO,2702.0,471004,0.0,684
2022-11-13,QA,Qatar,EMRO,2436.0,473440,0.0,684
2022-11-20,QA,Qatar,EMRO,2186.0,475626,0.0,684
2022-11-27,QA,Qatar,EMRO,1794.0,477420,1.0,685
2022-12-04,QA,Qatar,EMRO,2679.0,480099,0.0,685
2022-12-11,QA,Qatar,EMRO,3722.0,483821,0.0,685
2022-12-18,QA,Qatar,EMRO,2406.0,486227,0.0,685
2022-12-25,QA,Qatar,EMRO,1760.0,487987,0.0,685
2023-01-01,QA,Qatar,EMRO,1441.0,489428,0.0,685
2023-01-08,QA,Qatar,EMRO,1065.0,490493,0.0,685
2023-01-15,QA,Qatar,EMRO,811.0,491304,0.0,685
2023-01-22,QA,Qatar,EMRO,606.0,491910,1.0,686
2023-01-29,QA,Qatar,EMRO,344.0,492254,0.0,686
2023-02-05,QA,Qatar,EMRO,341.0,492595,0.0,686
2023-02-12,QA,Qatar,EMRO,330.0,492925,0.0,686
2023-02-19,QA,Qatar,EMRO,427.0,493352,0.0,686
2023-02-26,QA,Qatar,EMRO,372.0,493724,0.0,686
2023-03-05,QA,Qatar,EMRO,653.0,494377,1.0,687
2023-03-12,QA,Qatar,EMRO,713.0,495090,1.0,688
2023-03-19,QA,Qatar,EMRO,766.0,495856,0.0,688
2023-03-26,QA,Qatar,EMRO,2056.0,497912,0.0,688
2023-04-02,QA,Qatar,EMRO,1939.0,499851,0.0,688
2023-04-09,QA,Qatar,EMRO,2257.0,502108,0.0,688
2023-04-16,QA,Qatar,EMRO,2744.0,504852,2.0,690
2023-04-23,QA,Qatar,EMRO,1471.0,506323,0.0,690
2023-04-30,QA,Qatar,EMRO,1684.0,508007,0.0,690
2023-05-07,QA,Qatar,EMRO,1433.0,509440,0.0,690
2023-05-14,QA,Qatar,EMRO,1539.0,510979,0.0,690
2023-05-21,QA,Qatar,EMRO,953.0,511932,0.0,690
2023-05-28,QA,Qatar,EMRO,1183.0,513115,0.0,690
2023-06-04,QA,Qatar,EMRO,465.0,513580,0.0,690
2023-06-11,QA,Qatar,EMRO,465.0,514045,0.0,690
2023-06-18,QA,Qatar,EMRO,291.0,514336,0.0,690
2023-06-25,QA,Qatar,EMRO,188.0,514524,0.0,690
2023-07-02,QA,Qatar,EMRO,0.0,514524,0.0,690
2023-07-09,QA,Qatar,EMRO,0.0,514524,0.0,690
2023-07-16,QA,Qatar,EMRO,0.0,514524,0.0,690
2023-07-23,QA,Qatar,EMRO,0.0,514524,0.0,690
2023-07-30,QA,Qatar,EMRO,0.0,514524,0.0,690
2023-08-06,QA,Qatar,EMRO,0.0,514524,0.0,690
