Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-15,RE,Réunion,,13.0,13,0.0,0
2020-03-22,RE,Réunion,,34.0,47,0.0,0
2020-03-29,RE,Réunion,,96.0,143,0.0,0
2020-04-05,RE,Réunion,,191.0,334,0.0,0
2020-04-12,RE,Réunion,,54.0,388,0.0,0
2020-04-19,RE,Réunion,,19.0,407,0.0,0
2020-04-26,RE,Réunion,,4.0,411,0.0,0
2020-05-03,RE,Réunion,,9.0,420,0.0,0
2020-05-10,RE,Réunion,,10.0,430,0.0,0
2020-05-17,RE,Réunion,,13.0,443,0.0,0
2020-05-24,RE,Réunion,,9.0,452,1.0,1
2020-05-31,RE,Réunion,,19.0,471,0.0,1
2020-06-07,RE,Réunion,,9.0,480,0.0,1
2020-06-14,RE,Réunion,,9.0,489,0.0,1
2020-06-21,RE,Réunion,,16.0,505,0.0,1
2020-06-28,RE,Réunion,,15.0,520,1.0,2
2020-07-05,RE,Réunion,,16.0,536,0.0,2
2020-07-12,RE,Réunion,,41.0,577,1.0,3
2020-07-19,RE,Réunion,,47.0,624,0.0,3
2020-07-26,RE,Réunion,,33.0,657,0.0,3
2020-08-02,RE,Réunion,,7.0,664,1.0,4
2020-08-09,RE,Réunion,,17.0,681,1.0,5
2020-08-16,RE,Réunion,,107.0,788,0.0,5
2020-08-23,RE,Réunion,,329.0,1117,1.0,6
2020-08-30,RE,Réunion,,440.0,1557,-3.0,3
2020-09-06,RE,Réunion,,558.0,2115,3.0,6
2020-09-13,RE,Réunion,,608.0,2723,4.0,10
2020-09-20,RE,Réunion,,471.0,3194,0.0,10
2020-09-27,RE,Réunion,,491.0,3685,1.0,11
2020-10-04,RE,Réunion,,493.0,4178,5.0,16
2020-10-11,RE,Réunion,,313.0,4491,0.0,16
2020-10-18,RE,Réunion,,285.0,4776,1.0,17
2020-10-25,RE,Réunion,,373.0,5149,3.0,20
2020-11-01,RE,Réunion,,510.0,5659,2.0,22
2020-11-08,RE,Réunion,,605.0,6264,5.0,27
2020-11-15,RE,Réunion,,617.0,6881,2.0,29
2020-11-22,RE,Réunion,,620.0,7501,6.0,35
2020-11-29,RE,Réunion,,439.0,7940,5.0,40
2020-12-06,RE,Réunion,,260.0,8200,1.0,41
2020-12-13,RE,Réunion,,145.0,8345,0.0,41
2020-12-20,RE,Réunion,,359.0,8704,1.0,42
