Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-08,RS,Serbia,EURO,1.0,1,0.0,0
2020-03-15,RS,Serbia,EURO,45.0,46,0.0,0
2020-03-22,RS,Serbia,EURO,125.0,171,1.0,1
2020-03-29,RS,Serbia,EURO,488.0,659,9.0,10
2020-04-05,RS,Serbia,EURO,965.0,1624,34.0,44
2020-04-12,RS,Serbia,EURO,1756.0,3380,30.0,74
2020-04-19,RS,Serbia,EURO,2614.0,5994,43.0,117
2020-04-26,RS,Serbia,EURO,1785.0,7779,34.0,151
2020-05-03,RS,Serbia,EURO,1583.0,9362,38.0,189
2020-05-10,RS,Serbia,EURO,670.0,10032,24.0,213
2020-05-17,RS,Serbia,EURO,464.0,10496,15.0,228
2020-05-24,RS,Serbia,EURO,596.0,11092,10.0,238
2020-05-31,RS,Serbia,EURO,289.0,11381,4.0,242
2020-06-07,RS,Serbia,EURO,360.0,11741,6.0,248
2020-06-14,RS,Serbia,EURO,510.0,12251,5.0,253
2020-06-21,RS,Serbia,EURO,552.0,12803,7.0,260
2020-06-28,RS,Serbia,EURO,989.0,13792,7.0,267
2020-07-05,RS,Serbia,EURO,2037.0,15829,39.0,306
2020-07-12,RS,Serbia,EURO,2244.0,18073,76.0,382
2020-07-19,RS,Serbia,EURO,2425.0,20498,79.0,461
2020-07-26,RS,Serbia,EURO,2765.0,23263,65.0,526
2020-08-02,RS,Serbia,EURO,2619.0,25882,56.0,582
2020-08-09,RS,Serbia,EURO,1981.0,27863,50.0,632
2020-08-16,RS,Serbia,EURO,1608.0,29471,38.0,670
2020-08-23,RS,Serbia,EURO,1077.0,30548,25.0,695
2020-08-30,RS,Serbia,EURO,734.0,31282,15.0,710
2020-09-06,RS,Serbia,EURO,567.0,31849,13.0,723
2020-09-13,RS,Serbia,EURO,451.0,32300,8.0,731
2020-09-20,RS,Serbia,EURO,540.0,32840,9.0,740
2020-09-27,RS,Serbia,EURO,472.0,33312,6.0,746
2020-10-04,RS,Serbia,EURO,530.0,33842,7.0,753
2020-10-11,RS,Serbia,EURO,843.0,34685,9.0,762
2020-10-18,RS,Serbia,EURO,1261.0,35946,12.0,774
2020-10-25,RS,Serbia,EURO,2926.0,38872,15.0,789
2020-11-01,RS,Serbia,EURO,8082.0,46954,31.0,820
2020-11-08,RS,Serbia,EURO,13681.0,60635,60.0,880
2020-11-15,RS,Serbia,EURO,20451.0,81086,109.0,989
2020-11-22,RS,Serbia,EURO,35039.0,116125,179.0,1168
2020-11-29,RS,Serbia,EURO,46910.0,163035,316.0,1484
2020-12-06,RS,Serbia,EURO,50808.0,213843,407.0,1891
2020-12-13,RS,Serbia,EURO,47594.0,261437,384.0,2275
2020-12-20,RS,Serbia,EURO,35091.0,296528,357.0,2632
2020-12-27,RS,Serbia,EURO,26839.0,323367,351.0,2983
